.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
M145_1_1_trimmed_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
M145_1_1_trimmed_R2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	1
M145_1_2_trimmed_R1	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
M145_1_2_trimmed_R2	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	1
M145_1_3_trimmed_R1	1	1	0.5	1	0.5	1	1	0.5	0.25	0.5	1
M145_1_3_trimmed_R2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
M145_2_1_trimmed_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
M145_2_1_trimmed_R2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
M145_2_3_trimmed_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
M145_2_3_trimmed_R2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
M145_2_4_trimmed_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
M145_2_4_trimmed_R2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
M145_3_2_trimmed_R1	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.25	1
M145_3_2_trimmed_R2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
M145_3_3_trimmed_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
M145_3_3_trimmed_R2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
M145_3_4_trimmed_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
M145_3_4_trimmed_R2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
