Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
M145_1_1_trimmed_R1	(1, 0.0)	(2, 0.2843997337414537)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.001028188419330731)	(8, 0.0002535259116157967)	(9, 0.0)	(10, 5.6339091470177045e-06)	(15, 0.00014929859239596919)	(20, 3.943736402912393e-05)	(25, 0.016239743116278533)	(30, 4.5071273176141636e-05)	(35, 0.03251892359658619)	(40, 0.0004816992320700137)	(45, 0.03195271572731091)	(50, 0.000464811095700041)	(55, 0.01626683743746994)	(60, 1.12700825122186e-05)	(65, 6.199124210273842e-05)	(70, 0.03023259739635)	(75, 0.014582830703876653)	(80, 0.05613763804390366)	(85, 0.0001240491176992407)	(90, 4.229735787016223e-05)	(95, 1.6923200288867747e-05)	(100, 0.0)	(105, 0.0005108939238002559)	(110, 0.00026547614360768185)	(115, 0.0)	(120, 0.0)	(125, 0.0010993312977382137)	(130, 0.0)	(135, 0.0)	(140, 2.8691526382317573e-05)	(145, 4.953458614071814e-05)	(150, 0.0)
M145_1_1_trimmed_R2	(1, 0.0)	(2, 0.30855511920929213)	(3, 2.8169545735088522e-05)	(4, 9.859341007280982e-05)	(5, 0.0)	(6, 0.0)	(7, 0.007253658026785294)	(8, 0.0015774945611649572)	(9, 1.4084772867544261e-05)	(10, 6.760690976421245e-05)	(15, 0.033831624427841316)	(20, 1.6901727441053113e-05)	(25, 1.6901727441053113e-05)	(30, 7.887472805824786e-05)	(35, 0.049037545215642096)	(40, 0.0)	(45, 2.8169545735088522e-06)	(50, 0.0)	(55, 8.451795102117124e-06)	(60, 0.0)	(65, 2.817782302760452e-05)	(70, 0.00030153637857458345)	(75, 0.00020574856414982338)	(80, 0.00011839385208915113)	(85, 0.04097710576903179)	(90, 0.00028199727161999763)	(95, 0.013248872266260078)	(100, 0.012395495014925807)	(105, 2.5405451959179535e-05)	(110, 0.00023160126374076884)	(115, 0.03146435569283949)	(120, 0.0003989203799906178)	(125, 0.031092037047429903)	(130, 0.010335041846416964)	(135, 5.694236470366026e-06)	(140, 0.0003922446981615491)	(145, 4.642165625970503e-05)	(150, 0.0)
M145_1_2_trimmed_R1	(1, 0.0)	(2, 0.2893682152000858)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0009780959850048995)	(8, 0.00045940872022957397)	(9, 0.0)	(10, 8.891781681862722e-06)	(15, 0.0001481963613643787)	(20, 4.4458908409313605e-05)	(25, 0.016411265057491294)	(30, 8.298996236405207e-05)	(35, 0.03290848400457393)	(40, 0.000480156210820587)	(45, 0.032108223653206286)	(50, 0.00044756513599192554)	(55, 0.016166909857027782)	(60, 1.1857931193583483e-05)	(65, 4.150656989706371e-05)	(70, 0.02884116455801293)	(75, 0.014868634399258833)	(80, 0.056546543668888394)	(85, 0.00010975293339186426)	(90, 4.747014958318835e-05)	(95, 1.7805937009835943e-05)	(100, 0.0)	(105, 0.0004454959865712066)	(110, 0.000285281693384585)	(115, 0.0)	(120, 2.9770696863838688e-06)	(125, 0.0011240285948104108)	(130, 0.0)	(135, 0.0)	(140, 2.717498954064847e-05)	(145, 7.664901307037366e-05)	(150, 0.0)
M145_1_2_trimmed_R2	(1, 0.0)	(2, 0.3175699827677271)	(3, 0.0)	(4, 0.00010373745295506508)	(5, 1.481963613643787e-05)	(6, 4.4458908409313605e-05)	(7, 0.00772103042708413)	(8, 0.0016301599750081655)	(9, 2.963927227287574e-05)	(10, 5.63146173184639e-05)	(15, 0.033934002825215435)	(20, 1.7783563363725444e-05)	(25, 2.6675345045588165e-05)	(30, 8.002603513676449e-05)	(35, 0.048329797368151184)	(40, 2.963927227287574e-06)	(45, 0.0)	(50, 0.0)	(55, 2.9642418466823565e-06)	(60, 0.0)	(65, 8.894290556252786e-06)	(70, 0.0002787161881682962)	(75, 0.00018089093113102676)	(80, 0.00010380510052589741)	(85, 0.040683955582790914)	(90, 0.0002640644822916429)	(95, 0.012687493704480465)	(100, 0.012507863803524706)	(105, 1.1880799816631736e-05)	(110, 0.00017831667454380577)	(115, 0.03078915806434583)	(120, 0.0004495547472832454)	(125, 0.030475547636378594)	(130, 0.010238028944912414)	(135, 1.4983357385617501e-05)	(140, 0.00045809642791173096)	(145, 6.719574765760969e-05)	(150, 0.0)
M145_1_3_trimmed_R1	(1, 0.0)	(2, 0.20850222449794154)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0002845281447843089)	(8, 0.0011267314533458632)	(9, 2.276225158274471e-05)	(10, 0.00018665046297850664)	(15, 0.04996769467444119)	(20, 0.0)	(25, 9.104900633097885e-06)	(30, 2.276225158274471e-06)	(35, 1.5933576107921298e-05)	(40, 0.017167290143706063)	(45, 0.0)	(50, 0.00010470933655595287)	(55, 2.504110155350441e-05)	(60, 0.015579292531645052)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 6.833352481905511e-06)	(85, 0.0006561105914497535)	(90, 4.5572711352107715e-05)	(95, 0.02595813826837451)	(100, 4.7880039434000474e-05)	(105, 0.0009260945102714146)	(110, 0.0001597628206810689)	(115, 0.0)	(120, 9.145997303439886e-06)	(125, 0.0003114279850149097)	(130, 0.010082098067854149)	(135, 0.0)	(140, 0.00020873918609251517)	(145, 8.715793132581607e-05)	(150, 0.0)
M145_1_3_trimmed_R2	(1, 0.0)	(2, 0.0770274593560081)	(3, 3.4143377374117064e-05)	(4, 2.276225158274471e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0036647225048218983)	(8, 0.0011722559565113526)	(9, 3.4143377374117064e-05)	(10, 0.00026176589320156416)	(15, 0.0033323936317138257)	(20, 6.828675474823413e-06)	(25, 0.0)	(30, 0.00017071688687058534)	(35, 8.877278117270437e-05)	(40, 2.276225158274471e-05)	(45, 2.9590927057568122e-05)	(50, 0.0)	(55, 8.878162045625058e-05)	(60, 2.2766538797642624e-06)	(65, 1.3661260974005556e-05)	(70, 0.00037344630964683323)	(75, 0.014629964827961271)	(80, 0.0)	(85, 2.2781457907144466e-06)	(90, 0.0009091708680690532)	(95, 1.1396156071998452e-05)	(100, 6.840016550104044e-06)	(105, 8.211638186006242e-05)	(110, 0.0002236626859957786)	(115, 5.7099325921901734e-05)	(120, 0.020392501704557094)	(125, 0.0008470130325774718)	(130, 0.020551057335844416)	(135, 4.600873107689647e-06)	(140, 0.0014201800413586958)	(145, 0.00021086707204533587)	(150, 0.0)
M145_2_1_trimmed_R1	(1, 0.0)	(2, 0.20758791065125354)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00044454257310132163)	(8, 0.0013201567322402884)	(9, 0.0)	(10, 0.00016165184476411696)	(15, 0.05105234677392087)	(20, 0.0)	(25, 5.388394825470565e-06)	(30, 0.0)	(35, 1.8859381889146977e-05)	(40, 0.018034957480849982)	(45, 0.0)	(50, 5.3885188069140404e-05)	(55, 1.6166647527152287e-05)	(60, 0.015677555211105636)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 2.6957819746430434e-06)	(85, 0.000620126831035687)	(90, 2.966407431422323e-05)	(95, 0.02561447219837125)	(100, 9.713569500427883e-05)	(105, 0.0009069651114545402)	(110, 0.00013503595669937013)	(115, 0.0)	(120, 1.0820593797397582e-05)	(125, 0.0002790056207172129)	(130, 0.010137169060784637)	(135, 0.0)	(140, 0.00020812841698594067)	(145, 8.606119083924708e-05)	(150, 0.0)
M145_2_1_trimmed_R2	(1, 0.0)	(2, 0.07678462626295555)	(3, 5.388394825470565e-05)	(4, 4.041296119102924e-05)	(5, 1.3470987063676413e-05)	(6, 0.0)	(7, 0.0034889856494921914)	(8, 0.0008890851462026433)	(9, 0.0)	(10, 0.00026133714903532244)	(15, 0.0033461931866172207)	(20, 8.082592238205847e-06)	(25, 0.0)	(30, 0.00021284159560608734)	(35, 0.00012932147581129355)	(40, 1.3470987063676413e-05)	(45, 3.502456636555867e-05)	(50, 5.388531292480992e-06)	(55, 8.08336013640832e-05)	(60, 8.084053460815623e-06)	(65, 1.8864533996962487e-05)	(70, 0.00035307051411109645)	(75, 0.014472088196447344)	(80, 0.0)	(85, 0.0)	(90, 0.0009007459416945534)	(95, 2.697531534750586e-06)	(100, 5.3968101829605e-06)	(105, 7.828677016213676e-05)	(110, 0.0001674643145025204)	(115, 5.6762008009551806e-05)	(120, 0.020030824311165814)	(125, 0.0008722561854340802)	(130, 0.01979724527098901)	(135, 5.442909553022009e-06)	(140, 0.001589875932759139)	(145, 0.0001993568471227311)	(150, 0.0)
M145_2_3_trimmed_R1	(1, 0.0)	(2, 0.20753056673034906)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00022559305029025553)	(8, 0.0010377280313351755)	(9, 0.0)	(10, 0.00018649025490661124)	(15, 0.05099004518027216)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 2.7071166034830662e-05)	(40, 0.017990293783813577)	(45, 0.0)	(50, 6.316784960998364e-05)	(55, 3.008248195397031e-05)	(60, 0.01573454386429807)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 3.0098872387884406e-06)	(85, 0.0006773378994938931)	(90, 4.2153593361989345e-05)	(95, 0.0251265641873487)	(100, 7.832803388952764e-05)	(105, 0.0009644233566580126)	(110, 0.00016886153492843558)	(115, 0.0)	(120, 2.4162731161828683e-05)	(125, 0.00030545298602219917)	(130, 0.009906162669554778)	(135, 3.0400283573845178e-06)	(140, 0.0001835375504674732)	(145, 7.447114086591754e-05)	(150, 0.0)
M145_2_3_trimmed_R2	(1, 0.0)	(2, 0.07835598613414876)	(3, 4.5118610058051104e-05)	(4, 4.5118610058051104e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0038050027815623097)	(8, 0.0014137164484856013)	(9, 0.0)	(10, 0.00030981445573195093)	(15, 0.0035192515845279865)	(20, 6.015814674406814e-06)	(25, 0.0)	(30, 0.00020754560626703512)	(35, 0.00012031629348813629)	(40, 2.7071166034830662e-05)	(45, 2.7071166034830662e-05)	(50, 0.0)	(55, 6.61819819193232e-05)	(60, 0.0)	(65, 3.0088676746333256e-06)	(70, 0.00030693759305738463)	(75, 0.014117748037712777)	(80, 3.0099934189503884e-06)	(85, 6.021068078470653e-06)	(90, 0.0009695948310116656)	(95, 1.8071448725396626e-05)	(100, 3.0128921655765015e-06)	(105, 9.645334131404355e-05)	(110, 0.00021412010509376652)	(115, 7.846424468869491e-05)	(120, 0.02028011079936138)	(125, 0.0008891510775649127)	(130, 0.020233318828445392)	(135, 6.076625887848213e-06)	(140, 0.0016126888804582455)	(145, 0.00020100669720298563)	(150, 0.0)
