Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
M145_1_1_trimmed_R1	(1, 39.24843806911285)	(2, 39.044106325386984)	(3, 39.30280233457927)	(4, 39.29639277699044)	(5, 39.31808191872917)	(6, 39.327922949531725)	(7, 39.36721495870486)	(8, 39.29837112418741)	(9, 39.31172926362272)	(10, 39.36645669087276)	(15, 39.47087128123263)	(20, 39.47061113547777)	(25, 39.439694044929865)	(30, 39.38688107634707)	(35, 39.373556684027555)	(40, 39.34326825323182)	(45, 39.28500763253842)	(50, 39.259167521908076)	(55, 39.20103288550433)	(60, 39.14933876427617)	(65, 39.08992077501328)	(70, 39.019803101744856)	(75, 38.97186051689887)	(80, 38.888852278017076)	(85, 38.84348462207258)	(90, 38.78558997770038)	(95, 38.72536896053923)	(100, 38.67139643246443)	(105, 38.53225788512416)	(110, 38.524670211496414)	(115, 38.45926908578301)	(120, 38.29663783003142)	(125, 38.29609128345568)	(130, 38.27123690876522)	(135, 38.214349743784865)	(140, 38.23191066697642)	(145, 38.38346056213027)	(150, 38.380106436163345)
M145_1_1_trimmed_R2	(1, 39.23043801108359)	(2, 39.0111973944297)	(3, 39.34320802674304)	(4, 39.30578309506123)	(5, 39.42999205900506)	(6, 39.45191500797339)	(7, 39.35818760523086)	(8, 39.36648508577486)	(9, 39.447662110806036)	(10, 39.42573775336042)	(15, 39.39883899217253)	(20, 39.4026621065806)	(25, 39.406349162082776)	(30, 39.40090556638675)	(35, 39.353981920222154)	(40, 39.33269994109748)	(45, 39.31272508523401)	(50, 39.292545018717085)	(55, 39.25028834997112)	(60, 39.20994476658188)	(65, 39.13129528829971)	(70, 39.13445827010515)	(75, 39.09041219582535)	(80, 39.043462538800114)	(85, 38.986083793363775)	(90, 38.950425618951535)	(95, 38.9012072768923)	(100, 38.859324954880115)	(105, 38.79074513101206)	(110, 38.74218169374494)	(115, 38.68614044605098)	(120, 38.62717481997463)	(125, 38.57983015500422)	(130, 38.49538240183752)	(135, 38.51197424489086)	(140, 38.510570006729395)	(145, 38.59436160847762)	(150, 38.58910789133194)
M145_1_2_trimmed_R1	(1, 39.320763169766046)	(2, 39.018998328937826)	(3, 39.26530379364902)	(4, 39.29994899081242)	(5, 39.27317050109932)	(6, 39.317293744750145)	(7, 39.34377065486787)	(8, 39.31103022553708)	(9, 39.32495090254548)	(10, 39.34332751810812)	(15, 39.45946669464614)	(20, 39.45175058433826)	(25, 39.42651547081095)	(30, 39.38230900008358)	(35, 39.36989050067251)	(40, 39.34019224624782)	(45, 39.28036107747054)	(50, 39.25435177444935)	(55, 39.19306475703528)	(60, 39.147662493047896)	(65, 39.08529948260517)	(70, 39.023222173707865)	(75, 38.974633953823144)	(80, 38.887068602046675)	(85, 38.83697699335068)	(90, 38.782288490635686)	(95, 38.72569489718397)	(100, 38.669961367075196)	(105, 38.5349180814818)	(110, 38.527909060829806)	(115, 38.46372261929743)	(120, 38.30003816610334)	(125, 38.30176375685679)	(130, 38.27479068649842)	(135, 38.21698274449928)	(140, 38.22597335589774)	(145, 38.36896423865799)	(150, 38.367834970783534)
M145_1_2_trimmed_R2	(1, 39.21762946878718)	(2, 38.99620602495271)	(3, 39.339530164183785)	(4, 39.30594546018231)	(5, 39.43995720681869)	(6, 39.451235690900326)	(7, 39.36449354486289)	(8, 39.37080922919516)	(9, 39.44731930565855)	(10, 39.42823872774017)	(15, 39.39805317404003)	(20, 39.40362183015393)	(25, 39.40625237484669)	(30, 39.40097059724912)	(35, 39.35307353325614)	(40, 39.329414962260316)	(45, 39.311691536980035)	(50, 39.29283946489566)	(55, 39.25019072671334)	(60, 39.21005325045991)	(65, 39.13272221705408)	(70, 39.13689716354543)	(75, 39.09200324636255)	(80, 39.0429108461944)	(85, 38.98620698634141)	(90, 38.951394007414684)	(95, 38.90499905083516)	(100, 38.86198516946078)	(105, 38.79537133131787)	(110, 38.747960810568735)	(115, 38.690088955026994)	(120, 38.632942710382906)	(125, 38.58140313665118)	(130, 38.49894863029548)	(135, 38.514219052103705)	(140, 38.51095755814553)	(145, 38.59162878149146)	(150, 38.579143363764075)
M145_1_3_trimmed_R1	(1, 39.26645503083887)	(2, 39.08831992617747)	(3, 39.25067919713442)	(4, 39.29099034800865)	(5, 39.26458499806009)	(6, 39.267398981412)	(7, 39.3227057898177)	(8, 39.24750898454523)	(9, 39.2411267906352)	(10, 39.30180473926011)	(15, 39.432453826488135)	(20, 39.450759502358)	(25, 39.43230990077138)	(30, 39.376499477549416)	(35, 39.38578424549453)	(40, 39.328337785440056)	(45, 39.29836190318372)	(50, 39.25034351752434)	(55, 39.196375678346826)	(60, 39.14511992507603)	(65, 39.089204276721674)	(70, 39.030165867451565)	(75, 38.96972688840377)	(80, 38.90982768663425)	(85, 38.83250614248321)	(90, 38.7686328753761)	(95, 38.685132825467626)	(100, 38.65179742223895)	(105, 38.52265592041232)	(110, 38.50545476134697)	(115, 38.4280296315139)	(120, 38.27381100258128)	(125, 38.27174913298661)	(130, 38.227635416308416)	(135, 38.18471884818596)	(140, 38.17742442645833)	(145, 38.349733104193724)	(150, 38.378678991670995)
M145_1_3_trimmed_R2	(1, 39.23502184094945)	(2, 39.104031797954974)	(3, 39.34043439708543)	(4, 39.31575727108829)	(5, 39.42547337231976)	(6, 39.44013510762049)	(7, 39.34422522246402)	(8, 39.36931821479758)	(9, 39.44464044007627)	(10, 39.4144123975969)	(15, 39.40689955712626)	(20, 39.407759879187076)	(25, 39.42229956329483)	(30, 39.40577237042788)	(35, 39.37659751456699)	(40, 39.35878762329885)	(45, 39.32540129565012)	(50, 39.31067427524043)	(55, 39.26746502413545)	(60, 39.2284941598227)	(65, 39.17722637681324)	(70, 39.16198756863246)	(75, 39.11970861385763)	(80, 39.07047535166424)	(85, 39.026563372800524)	(90, 38.97853956344965)	(95, 38.93237984619937)	(100, 38.887166541152226)	(105, 38.83668688656438)	(110, 38.77669784003639)	(115, 38.733084573905)	(120, 38.64078081667494)	(125, 38.61880416584083)	(130, 38.49570854610791)	(135, 38.54376050948082)	(140, 38.535416767851125)	(145, 38.63316478405577)	(150, 38.620724377552364)
M145_2_1_trimmed_R1	(1, 39.29473967384855)	(2, 39.122109917596624)	(3, 39.242318674788955)	(4, 39.21736973319767)	(5, 39.203206876238404)	(6, 39.24476029119425)	(7, 39.238672617430296)	(8, 39.246005818658155)	(9, 39.26783730442316)	(10, 39.29339513462972)	(15, 39.43411419705979)	(20, 39.45832611400685)	(25, 39.44714945157591)	(30, 39.38442842803954)	(35, 39.40238530767936)	(40, 39.35978807981991)	(45, 39.3372497444217)	(50, 39.286294271808366)	(55, 39.23965313515721)	(60, 39.19799148351386)	(65, 39.15024863587444)	(70, 39.10162509526699)	(75, 39.04537301973902)	(80, 38.992939448673326)	(85, 38.8999227989042)	(90, 38.853232647896974)	(95, 38.790014313575384)	(100, 38.766231993841636)	(105, 38.65143997045798)	(110, 38.62534697487488)	(115, 38.55786704683601)	(120, 38.391165903425104)	(125, 38.40833100487174)	(130, 38.388893511689886)	(135, 38.32754285555171)	(140, 38.308497001092604)	(145, 38.443981137013296)	(150, 38.466637068388046)
M145_2_1_trimmed_R2	(1, 39.26705625659321)	(2, 39.111313595014444)	(3, 39.34596781700365)	(4, 39.339142876117705)	(5, 39.43916697571356)	(6, 39.459740001867075)	(7, 39.38105906475517)	(8, 39.38724992628002)	(9, 39.46164951428335)	(10, 39.42978666940756)	(15, 39.43057941005429)	(20, 39.42124544394379)	(25, 39.428658608950855)	(30, 39.41234712955493)	(35, 39.38246182558008)	(40, 39.36132856801656)	(45, 39.326355649415405)	(50, 39.31113805971611)	(55, 39.26555127691292)	(60, 39.22164753309924)	(65, 39.167758783423366)	(70, 39.16740183113987)	(75, 39.12848933242175)	(80, 39.079456709080254)	(85, 39.03680555555896)	(90, 38.99157291643462)	(95, 38.95860217457797)	(100, 38.914906486220914)	(105, 38.86622070940623)	(110, 38.801669502402085)	(115, 38.7590267887649)	(120, 38.669794195750235)	(125, 38.64477135812631)	(130, 38.52287567663385)	(135, 38.57842801813777)	(140, 38.57128316990943)	(145, 38.67036232397275)	(150, 38.65774943056191)
M145_2_3_trimmed_R1	(1, 39.24146141584304)	(2, 39.067496387879274)	(3, 39.20573439486394)	(4, 39.24005266244166)	(5, 39.230767102096344)	(6, 39.22055961815218)	(7, 39.24394880481554)	(8, 39.26057395985436)	(9, 39.24330150315657)	(10, 39.30203675933478)	(15, 39.43914117628127)	(20, 39.459908761146735)	(25, 39.4453088902762)	(30, 39.38581964196578)	(35, 39.39511539911697)	(40, 39.350204394823336)	(45, 39.3233948565687)	(50, 39.271973468727495)	(55, 39.226614440749344)	(60, 39.175198595298355)	(65, 39.12579179483102)	(70, 39.07044013253094)	(75, 39.0114165090646)	(80, 38.96003355936486)	(85, 38.87692558384889)	(90, 38.834279231157936)	(95, 38.75650915946015)	(100, 38.720256447131696)	(105, 38.59596179746726)	(110, 38.57056260637635)	(115, 38.5009279493417)	(120, 38.342790511664624)	(125, 38.35317303179299)	(130, 38.324746002457275)	(135, 38.26460967372966)	(140, 38.24619039569467)	(145, 38.396209120951745)	(150, 38.416712582151334)
M145_2_3_trimmed_R2	(1, 39.2679883010452)	(2, 39.101955275125015)	(3, 39.34994896333225)	(4, 39.30634754173509)	(5, 39.42407267344759)	(6, 39.447780397497965)	(7, 39.360824653891385)	(8, 39.36106333133859)	(9, 39.45966764729459)	(10, 39.4267692623754)	(15, 39.41868596259277)	(20, 39.41099985697401)	(25, 39.41794586699244)	(30, 39.40448349643962)	(35, 39.37757202020532)	(40, 39.35993846423169)	(45, 39.326426496294786)	(50, 39.309370404414324)	(55, 39.26799194058071)	(60, 39.228949641257735)	(65, 39.18528289962195)	(70, 39.173234095281884)	(75, 39.12786913425761)	(80, 39.07186581319074)	(85, 39.027179908595)	(90, 38.99238650636927)	(95, 38.951087498721726)	(100, 38.89862075485686)	(105, 38.849881547906335)	(110, 38.78565555545188)	(115, 38.74406134453237)	(120, 38.648565709300456)	(125, 38.629036771531176)	(130, 38.51547510221808)	(135, 38.56489026421688)	(140, 38.555199103655944)	(145, 38.646286306001905)	(150, 38.6458698219194)
