Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
M145_1_1_trimmed_R1	(1.0, 27.422700938238954)	(2.0, 10.746897859392488)	(3.0, 5.981383365083959)	(4.0, 3.921540225465272)	(5.0, 3.0935242973570816)	(6.0, 2.342839288975192)	(7.0, 1.9966874568897734)	(8.0, 1.6412869449520675)	(9.0, 1.3984750730238058)	('>10', 17.20366355695148)	('>50', 5.776770249680847)	('>100', 8.079367943054352)	('>500', 2.020272779704021)	('>1k', 4.459848564071995)	('>5k', 0.8351737882801786)	('>10k+', 3.079567668878494)
M145_1_1_trimmed_R2	(1.0, 19.595581089863966)	(2.0, 8.703797846787047)	(3.0, 5.543133115123641)	(4.0, 3.990895451601534)	(5.0, 3.0940333453413658)	(6.0, 2.5079819722889227)	(7.0, 2.0810781453854594)	(8.0, 1.7650403346985466)	(9.0, 1.5469847609800529)	('>10', 21.008626533097942)	('>50', 7.862326304476462)	('>100', 10.258825740521297)	('>500', 1.9579237874705353)	('>1k', 5.325543932151856)	('>5k', 2.0612170382342567)	('>10k+', 2.6970106019771616)
M145_1_2_trimmed_R1	(1.0, 27.71703069667444)	(2.0, 11.014816617637022)	(3.0, 5.957054160639562)	(4.0, 4.0018842585600565)	(5.0, 3.0267802785435847)	(6.0, 2.370214761845034)	(7.0, 2.0230679660028033)	(8.0, 1.5748289281103902)	(9.0, 1.4130940373483307)	('>10', 17.181531896763495)	('>50', 5.669374539207447)	('>100', 8.093324776595615)	('>500', 1.9213031878833033)	('>1k', 4.224533247015339)	('>5k', 0.8014498856534441)	('>10k+', 3.0097107615202163)
M145_1_2_trimmed_R2	(1.0, 19.676218862201956)	(2.0, 8.95839224283629)	(3.0, 5.525037404199254)	(4.0, 3.936267742613813)	(5.0, 3.081968519709676)	(6.0, 2.5151557910381848)	(7.0, 2.1009843527904533)	(8.0, 1.81117585740199)	(9.0, 1.561231461378946)	('>10', 21.328342059264525)	('>50', 7.769998712348043)	('>100', 10.031743404860814)	('>500', 1.873928027925135)	('>1k', 5.284434954583247)	('>5k', 1.8899169390291706)	('>10k+', 2.655203667818484)
M145_1_3_trimmed_R1	(1.0, 24.189495822381684)	(2.0, 10.46776947505538)	(3.0, 5.834164249808703)	(4.0, 4.0384821426814055)	(5.0, 3.0859348675784117)	(6.0, 2.312895952212019)	(7.0, 1.954870196346732)	(8.0, 1.6497715832600748)	(9.0, 1.4955690727389015)	('>10', 17.703745724322214)	('>50', 6.094763175250694)	('>100', 9.486524391495948)	('>500', 2.177070559611753)	('>1k', 4.601996843147922)	('>5k', 1.4384166124691748)	('>10k+', 3.468529331638974)
M145_1_3_trimmed_R2	(1.0, 17.08265389691934)	(2.0, 8.158005397780668)	(3.0, 5.231189957969839)	(4.0, 3.8073610392866386)	(5.0, 2.969828406016651)	(6.0, 2.3905131016558783)	(7.0, 2.0332567965507997)	(8.0, 1.7594772046829588)	(9.0, 1.5729219421507665)	('>10', 21.04542332587208)	('>50', 8.174984760158472)	('>100', 12.267242160532561)	('>500', 2.2524624808218983)	('>1k', 4.976500694962871)	('>5k', 2.8262871817163435)	('>10k+', 3.4518916529222192)
M145_2_1_trimmed_R1	(1.0, 25.767800812352704)	(2.0, 10.998558458933815)	(3.0, 5.913893775864769)	(4.0, 3.9568382258433816)	(5.0, 2.967796930178518)	(6.0, 2.2682745678652783)	(7.0, 1.8650995854595458)	(8.0, 1.5683299029117668)	(9.0, 1.336022574246796)	('>10', 14.214019842361687)	('>50', 3.3427871779227063)	('>100', 5.428120407956078)	('>500', 2.0628900490013384)	('>1k', 5.626871196340604)	('>5k', 3.634236310860195)	('>10k+', 9.04846018190084)
M145_2_1_trimmed_R2	(1.0, 17.9815687145555)	(2.0, 8.745483269385906)	(3.0, 5.579655106800787)	(4.0, 4.034145937279425)	(5.0, 3.207166351272113)	(6.0, 2.6375850654696644)	(7.0, 2.239247989001728)	(8.0, 1.9049621482256525)	(9.0, 1.6470494724009992)	('>10', 18.98650373918392)	('>50', 4.432282700655459)	('>100', 5.821314881270453)	('>500', 1.4456162765061096)	('>1k', 5.696166861869804)	('>5k', 4.082895161379172)	('>10k+', 11.55835632474325)
M145_2_3_trimmed_R1	(1.0, 25.31875472470328)	(2.0, 10.588160374904232)	(3.0, 5.969575759003249)	(4.0, 3.8819491019129413)	(5.0, 2.9296384090275933)	(6.0, 2.322211856034213)	(7.0, 1.9959278240370928)	(8.0, 1.5410991417905102)	(9.0, 1.352390434196452)	('>10', 14.917122919871998)	('>50', 3.7380108280192017)	('>100', 5.63218765571007)	('>500', 2.2696190692517404)	('>1k', 5.640874035587408)	('>5k', 3.8881257574218515)	('>10k+', 8.01435210852815)
M145_2_3_trimmed_R2	(1.0, 17.894642596304273)	(2.0, 8.687631916434373)	(3.0, 5.509473990124004)	(4.0, 4.083600577378861)	(5.0, 3.271136469028615)	(6.0, 2.715487209752707)	(7.0, 2.3411522474863546)	(8.0, 1.9760709389072268)	(9.0, 1.702198860245973)	('>10', 19.49824048692004)	('>50', 4.515342916412799)	('>100', 5.583713426108425)	('>500', 1.5800298201689928)	('>1k', 6.028186476280819)	('>5k', 5.584734372983603)	('>10k+', 9.02835769546299)
M145_2_4_trimmed_R1	(1.0, 23.542831197170493)	(2.0, 9.956609518076137)	(3.0, 5.68265885933861)	(4.0, 3.8438335355049293)	(5.0, 2.9798382021393914)	(6.0, 2.29056077963877)	(7.0, 1.9566237520756788)	(8.0, 1.6029275277164938)	(9.0, 1.327669852478951)	('>10', 16.173222967675844)	('>50', 4.030898181725893)	('>100', 6.227537526219448)	('>500', 2.0384617458167815)	('>1k', 5.69499427413272)	('>5k', 3.104704509423954)	('>10k+', 9.546627570865864)
M145_2_4_trimmed_R2	(1.0, 16.392706291098087)	(2.0, 8.339542708404272)	(3.0, 5.484838710339321)	(4.0, 4.231848786605775)	(5.0, 3.320556605711183)	(6.0, 2.740102856990039)	(7.0, 2.31777750724393)	(8.0, 2.0331682420618358)	(9.0, 1.747263480796858)	('>10', 20.710065018713596)	('>50', 4.605555416724091)	('>100', 5.286500741920623)	('>500', 1.5768227630886704)	('>1k', 5.06601828222019)	('>5k', 5.073955261990173)	('>10k+', 11.073277326091366)
M145_3_2_trimmed_R1	(1.0, 29.199142650618327)	(2.0, 11.211573619762797)	(3.0, 5.418764268331135)	(4.0, 3.262926936424976)	(5.0, 2.3119448267280593)	(6.0, 1.8088489847223757)	(7.0, 1.380989378773481)	(8.0, 1.2087075803902512)	(9.0, 1.008445858756697)	('>10', 11.348269429573145)	('>50', 2.705240227897055)	('>100', 4.628891848835734)	('>500', 2.070137521369066)	('>1k', 5.985676562124008)	('>5k', 4.005646616887567)	('>10k+', 12.444793688805332)
M145_3_2_trimmed_R2	(1.0, 23.80372491210993)	(2.0, 9.841187436902864)	(3.0, 5.240749870647054)	(4.0, 3.4363675698893057)	(5.0, 2.5162748090408327)	(6.0, 2.025930403264181)	(7.0, 1.6946284740114983)	(8.0, 1.4261132380789494)	(9.0, 1.238022117671433)	('>10', 14.123902210319757)	('>50', 3.3704791322640775)	('>100', 4.635558037434824)	('>500', 1.3189312176988284)	('>1k', 5.5586904686378915)	('>5k', 4.572245870788834)	('>10k+', 15.197194231239736)
M145_3_3_trimmed_R1	(1.0, 23.35275498471615)	(2.0, 9.236198619231176)	(3.0, 4.919555127737409)	(4.0, 3.2809246862686012)	(5.0, 2.399999766409733)	(6.0, 1.9192328066225655)	(7.0, 1.4693651964130123)	(8.0, 1.335565541201302)	(9.0, 1.0903026312261295)	('>10', 13.261441048460581)	('>50', 3.433129428269592)	('>100', 5.719819073365121)	('>500', 2.4337082462626203)	('>1k', 6.901698589332596)	('>5k', 3.8171386177083586)	('>10k+', 15.429165636775055)
M145_3_3_trimmed_R2	(1.0, 17.466351831968403)	(2.0, 7.84189928232595)	(3.0, 4.895138317043517)	(4.0, 3.5098047243279833)	(5.0, 2.6564843742237696)	(6.0, 2.1540594708682876)	(7.0, 1.8051046926771028)	(8.0, 1.539566214555516)	(9.0, 1.3853271973893233)	('>10', 16.35290647098572)	('>50', 4.043808142044423)	('>100', 5.604726656403596)	('>500', 1.519153428204914)	('>1k', 5.992516349371161)	('>5k', 5.174801127031369)	('>10k+', 18.058351720578933)
M145_3_4_trimmed_R1	(1.0, 29.535936111692674)	(2.0, 10.55777287488858)	(3.0, 5.010893953723077)	(4.0, 3.062588913060307)	(5.0, 2.192173112016756)	(6.0, 1.682839129033605)	(7.0, 1.3446632357904498)	(8.0, 1.1506211445090726)	(9.0, 0.91527293205127)	('>10', 10.187033216608715)	('>50', 2.4884833962899466)	('>100', 4.972454225328985)	('>500', 2.3578664636209137)	('>1k', 7.061116731580294)	('>5k', 3.817012280286595)	('>10k+', 13.663272279518818)
M145_3_4_trimmed_R2	(1.0, 23.984464654906954)	(2.0, 9.469321533176544)	(3.0, 5.025723999903656)	(4.0, 3.22134478119237)	(5.0, 2.401141376967514)	(6.0, 1.8893516482437196)	(7.0, 1.5971971489896721)	(8.0, 1.3217890160188608)	(9.0, 1.1254250759566267)	('>10', 12.939280165024616)	('>50', 3.1075457021115267)	('>100', 4.435440549019864)	('>500', 1.4681683648771529)	('>1k', 6.680750395850316)	('>5k', 5.598659298971713)	('>10k+', 15.73439628878879)
