Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
M145_1_1_trimmed_R1	(50, 527.0)	(55, 623.0)	(60, 686.0)	(65, 655.0)	(70, 1019.0)	(75, 888.0)	(80, 1047.0)	(85, 1192.0)	(90, 1567.0)	(95, 2137.0)	(100, 2560.0)	(105, 3575.0)	(110, 4722.0)	(115, 6447.0)	(120, 8634.0)	(125, 12891.0)	(130, 20176.0)	(135, 34666.0)	(140, 78702.0)	(145, 88270.0)	(150, 6828882.0)
M145_1_1_trimmed_R2	(50, 551.0)	(55, 595.0)	(60, 666.0)	(65, 711.0)	(70, 914.0)	(75, 998.0)	(80, 1192.0)	(85, 1347.0)	(90, 1636.0)	(95, 2202.0)	(100, 2634.0)	(105, 3569.0)	(110, 4553.0)	(115, 6217.0)	(120, 8026.0)	(125, 11709.0)	(130, 17397.0)	(135, 28821.0)	(140, 66341.0)	(145, 78930.0)	(150, 6860857.0)
M145_1_2_trimmed_R1	(50, 489.0)	(55, 546.0)	(60, 601.0)	(65, 629.0)	(70, 813.0)	(75, 848.0)	(80, 1015.0)	(85, 1177.0)	(90, 1584.0)	(95, 2079.0)	(100, 2599.0)	(105, 3499.0)	(110, 4582.0)	(115, 6187.0)	(120, 8442.0)	(125, 12613.0)	(130, 19081.0)	(135, 33322.0)	(140, 74582.0)	(145, 83453.0)	(150, 6489663.0)
M145_1_2_trimmed_R2	(50, 511.0)	(55, 524.0)	(60, 605.0)	(65, 648.0)	(70, 771.0)	(75, 895.0)	(80, 1136.0)	(85, 1273.0)	(90, 1730.0)	(95, 2103.0)	(100, 2720.0)	(105, 3511.0)	(110, 4664.0)	(115, 6030.0)	(120, 7965.0)	(125, 11763.0)	(130, 17004.0)	(135, 28049.0)	(140, 63189.0)	(145, 76715.0)	(150, 6515998.0)
M145_1_3_trimmed_R1	(50, 646.0)	(55, 750.0)	(60, 896.0)	(65, 848.0)	(70, 1082.0)	(75, 1235.0)	(80, 1393.0)	(85, 1663.0)	(90, 2051.0)	(95, 2616.0)	(100, 3593.0)	(105, 4477.0)	(110, 5991.0)	(115, 8102.0)	(120, 11054.0)	(125, 16510.0)	(130, 25233.0)	(135, 43642.0)	(140, 98326.0)	(145, 102660.0)	(150, 8453709.0)
M145_1_3_trimmed_R2	(50, 607.0)	(55, 708.0)	(60, 871.0)	(65, 861.0)	(70, 950.0)	(75, 1316.0)	(80, 1441.0)	(85, 1711.0)	(90, 2088.0)	(95, 2660.0)	(100, 3543.0)	(105, 4391.0)	(110, 5743.0)	(115, 7594.0)	(120, 9903.0)	(125, 14676.0)	(130, 21009.0)	(135, 34899.0)	(140, 79404.0)	(145, 90182.0)	(150, 8501920.0)
M145_2_1_trimmed_R1	(50, 459.0)	(55, 568.0)	(60, 654.0)	(65, 664.0)	(70, 743.0)	(75, 865.0)	(80, 1053.0)	(85, 1358.0)	(90, 1652.0)	(95, 2060.0)	(100, 2683.0)	(105, 3412.0)	(110, 4642.0)	(115, 6146.0)	(120, 8404.0)	(125, 12422.0)	(130, 18278.0)	(135, 31492.0)	(140, 70817.0)	(145, 78896.0)	(150, 7176093.0)
M145_2_1_trimmed_R2	(50, 491.0)	(55, 582.0)	(60, 677.0)	(65, 693.0)	(70, 764.0)	(75, 936.0)	(80, 1105.0)	(85, 1424.0)	(90, 1662.0)	(95, 2180.0)	(100, 2824.0)	(105, 3627.0)	(110, 4804.0)	(115, 5953.0)	(120, 8109.0)	(125, 11679.0)	(130, 16722.0)	(135, 28740.0)	(140, 62995.0)	(145, 71704.0)	(150, 7195690.0)
M145_2_3_trimmed_R1	(50, 527.0)	(55, 540.0)	(60, 690.0)	(65, 689.0)	(70, 669.0)	(75, 895.0)	(80, 1009.0)	(85, 1165.0)	(90, 1494.0)	(95, 1806.0)	(100, 2439.0)	(105, 3022.0)	(110, 4058.0)	(115, 5560.0)	(120, 7379.0)	(125, 11144.0)	(130, 16850.0)	(135, 29696.0)	(140, 66760.0)	(145, 73346.0)	(150, 6419403.0)
M145_2_3_trimmed_R2	(50, 568.0)	(55, 583.0)	(60, 686.0)	(65, 731.0)	(70, 681.0)	(75, 972.0)	(80, 1056.0)	(85, 1316.0)	(90, 1524.0)	(95, 1924.0)	(100, 2557.0)	(105, 3169.0)	(110, 4143.0)	(115, 5349.0)	(120, 6942.0)	(125, 10518.0)	(130, 14856.0)	(135, 25466.0)	(140, 56142.0)	(145, 67875.0)	(150, 6442083.0)
M145_2_4_trimmed_R1	(50, 449.0)	(55, 590.0)	(60, 804.0)	(65, 798.0)	(70, 918.0)	(75, 984.0)	(80, 1354.0)	(85, 1591.0)	(90, 1976.0)	(95, 2391.0)	(100, 3400.0)	(105, 4026.0)	(110, 5241.0)	(115, 7319.0)	(120, 9720.0)	(125, 14153.0)	(130, 20482.0)	(135, 35062.0)	(140, 74606.0)	(145, 84314.0)	(150, 7134787.0)
M145_2_4_trimmed_R2	(50, 460.0)	(55, 596.0)	(60, 803.0)	(65, 839.0)	(70, 921.0)	(75, 1039.0)	(80, 1434.0)	(85, 1699.0)	(90, 1936.0)	(95, 2392.0)	(100, 3359.0)	(105, 4118.0)	(110, 5437.0)	(115, 7212.0)	(120, 9351.0)	(125, 13324.0)	(130, 18628.0)	(135, 30430.0)	(140, 65313.0)	(145, 74458.0)	(150, 7161216.0)
M145_3_2_trimmed_R1	(50, 527.0)	(55, 636.0)	(60, 794.0)	(65, 776.0)	(70, 911.0)	(75, 990.0)	(80, 1145.0)	(85, 1335.0)	(90, 1905.0)	(95, 2335.0)	(100, 2985.0)	(105, 3748.0)	(110, 4863.0)	(115, 6402.0)	(120, 8605.0)	(125, 12714.0)	(130, 18968.0)	(135, 33091.0)	(140, 73800.0)	(145, 82647.0)	(150, 7475358.0)
