Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
M145_1_1_trimmed_R1	M145_1_1_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7099866.0	1 Gbp	0.0	50-150	68.0	38.48365368598461	149.96902603513925	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
M145_1_1_trimmed_R2	M145_1_1_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7099866.0	1 Gbp	0.0	50-150	68.0	29.789616386457347	150.01047505685318	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
M145_1_2_trimmed_R1	M145_1_2_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6747804.0	1 Gbp	0.0	50-150	68.0	38.9063035212928	149.96544927801696	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
M145_1_2_trimmed_R2	M145_1_2_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6747804.0	1 Gbp	0.0	50-150	68.0	30.005746638842584	149.99996384008782	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
M145_1_3_trimmed_R1	M145_1_3_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8786477.0	1.3 Gbp	0.0	50-150	68.0	35.12302918603788	149.95988670999765	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
M145_1_3_trimmed_R2	M145_1_3_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8786477.0	1.3 Gbp	0.0	50-150	68.0	26.825695943456186	150.01813172674326	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
M145_2_1_trimmed_R1	M145_2_1_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7423361.0	1.1 Gbp	0.0	50-150	68.0	36.69390877547514	150.02383926903192	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
M145_2_1_trimmed_R2	M145_2_1_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7423361.0	1.1 Gbp	0.0	50-150	68.0	28.207271768480236	150.04228906555937	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
M145_2_3_trimmed_R1	M145_2_3_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6649141.0	994.1 Mbp	0.0	50-150	68.0	36.093889760963386	150.00856388817743	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
M145_2_3_trimmed_R2	M145_2_3_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6649141.0	994.3 Mbp	0.0	50-150	68.0	28.155866296546932	150.03616895776463	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
M145_2_4_trimmed_R1	M145_2_4_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7404965.0	1.1 Gbp	0.0	50-150	68.0	33.963047660929476	149.96023066955752	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
M145_2_4_trimmed_R2	M145_2_4_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7404965.0	1.1 Gbp	0.0	50-150	68.0	26.598343956161912	149.98926949688487	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
M145_3_2_trimmed_R1	M145_3_2_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7734535.0	1.1 Gbp	0.0	50-150	68.0	39.35290466064241	150.01412534819482	150	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
M145_3_2_trimmed_R2	M145_3_2_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7734535.0	1.1 Gbp	0.0	50-150	67.0	33.59033906785654	150.04929805088477	150	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
M145_3_3_trimmed_R1	M145_3_3_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6976378.0	1 Gbp	0.0	50-150	67.0	32.53868623768004	150.02709894733343	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
M145_3_3_trimmed_R2	M145_3_3_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6976378.0	1 Gbp	0.0	50-150	67.0	26.37773425691587	150.06408153342608	150	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
M145_3_4_trimmed_R1	M145_3_4_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6828711.0	1 Gbp	0.0	50-150	68.0	39.04305942397937	150.0029024511361	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
M145_3_4_trimmed_R2	M145_3_4_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6828711.0	1 Gbp	0.0	50-150	67.0	33.31112031630375	150.02936923234853	150	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
