Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
M145_1_1	18.4542	94.7726	2011.92626	14.199732	68.5874	98.4362755890621	1.0863965154564508	150.0	150.0						
M145_1_1_trimmed_R1										61.51634631401539	68.0	149.96902603513925	150	9.090909090909092	7.099866
M145_1_1_trimmed_R2										70.21038361354266	68.0	150.01047505685318	150	18.181818181818183	7.099866
M145_1_2	17.941	94.7568	1911.7570409999998	13.495607999999999	68.61319999999999	98.48702430793999	1.187570833391107	150.0	150.0						
M145_1_2_trimmed_R1										61.0936964787072	68.0	149.96544927801696	150	9.090909090909092	6.7478039999999995
M145_1_2_trimmed_R2										69.99425336115742	68.0	149.99996384008782	150	18.181818181818183	6.7478039999999995
M145_1_3	21.2181	94.77250000000001	2489.828705	17.572954	68.54599999999999	98.35337009351234	1.163738389313131	150.0	150.0						
M145_1_3_trimmed_R1										64.87697081396212	68.0	149.95988670999765	150	9.090909090909092	8.786477
M145_1_3_trimmed_R2										73.17430405654382	68.0	150.01813172674326	150	9.090909090909092	8.786477
M145_2_1	25.3845	94.9612	2108.344956	14.846722	68.475	98.18083970360166	1.309399958153163	150.0	150.0						
M145_2_1_trimmed_R1										63.30609122452486	68.0	150.02383926903192	150	36.36363636363637	7.423361
M145_2_1_trimmed_R2										71.79272823151976	68.0	150.04228906555937	150	18.181818181818183	7.423361
M145_2_3	26.523200000000003	94.88069999999999	1886.722967	13.298281999999999	68.4797	95.07840620568987	2.7620341914660327	150.0	150.0						
M145_2_3_trimmed_R1										63.906110239036614	68.0	150.00856388817743	150	36.36363636363637	6.649140999999999
M145_2_3_trimmed_R2										71.84413370345307	68.0	150.03616895776463	150	9.090909090909092	6.649140999999999
M145_2_4	25.757	94.9915	2102.9985899999997	14.80993	68.4168	98.55795914184294	1.347867983618405	150.0	150.0						
M145_2_4_trimmed_R1										66.03695233907052	68.0	149.96023066955752	150	27.27272727272727	7.404965
M145_2_4_trimmed_R2										73.40165604383809	68.0	149.98926949688487	150	18.181818181818183	7.404965
M145_3_2	27.961399999999998	94.9822	2197.1879759999997	15.469069999999999	68.17309999999999	98.00065379932163	1.3277574556563145	150.0	150.0						
M145_3_2_trimmed_R1										60.64709533935759	68.0	150.01412534819482	150	27.27272727272727	7.734534999999999
M145_3_2_trimmed_R2										66.40966093214345	67.0	150.04929805088477	150	27.27272727272727	7.734534999999999
M145_3_3	33.4776	95.0717	1983.860812	13.952755999999999	67.738	93.99238508921786	3.310559558518407	150.0	150.0						
M145_3_3_trimmed_R1										67.46131376231996	67.0	150.02709894733343	150	36.36363636363637	6.9763779999999995
M145_3_3_trimmed_R2										73.62226574308413	67.0	150.06408153342608	150	27.27272727272727	6.9763779999999995
M145_3_4	31.3408	95.0568	1941.186857	13.657421999999999	68.094	93.61847069558904	3.5333043056722393	150.0	150.0						
M145_3_4_trimmed_R1										60.95694057602063	68.0	150.0029024511361	150	36.36363636363637	6.828710999999999
M145_3_4_trimmed_R2										66.68887968369626	67.0	150.02936923234853	150	27.27272727272727	6.828710999999999
