.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
M145_1_1_1	1	1	0.25	1	0.5	0.5	1	1	0.25	0.5	1
M145_1_1_2	1	1	0.25	1	0.5	0.5	1	1	0.25	0.5	1
M145_1_2_1	1	1	0.25	1	0.5	1	1	1	0.25	0.5	1
M145_1_2_2	1	1	0.25	1	0.5	1	1	1	0.25	0.5	1
M145_1_3_1	1	1	0.5	1	0.5	1	1	1	0.25	0.5	1
M145_1_3_2	1	1	0.25	1	0.5	0.5	1	1	0.25	0.5	1
M145_2_1_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
M145_2_1_2	1	1	0.25	1	0.5	0.5	1	1	0.25	0.25	1
M145_2_3_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
M145_2_3_2	1	1	0.25	1	0.5	0.25	1	1	0.25	0.25	1
M145_2_4_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	1
M145_2_4_2	1	1	0.25	1	0.5	0.5	1	1	0.25	0.25	1
M145_3_2_1	1	1	0.5	1	0.5	0.25	1	1	0.25	0.25	1
M145_3_2_2	1	1	0.25	1	0.5	0.25	1	1	0.25	0.25	1
M145_3_3_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
M145_3_3_2	1	1	0.25	1	0.5	0.25	1	1	0.25	0.25	1
M145_3_4_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
M145_3_4_2	1	1	0.25	1	0.5	0.25	1	1	0.25	0.25	1
