Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
M145_1_1_1	(1, 39.124497757551595)	(2, 38.94183165914562)	(3, 39.20184406512334)	(4, 39.1935478101536)	(5, 39.231346112359226)	(6, 39.24301297220495)	(7, 39.28431345363675)	(8, 39.216620599468826)	(9, 39.229940804020494)	(10, 39.28731248922033)	(15, 39.39436662132042)	(20, 39.391040272010905)	(25, 39.344108602494615)	(30, 39.27318808671207)	(35, 39.2451962468174)	(40, 39.19975878497951)	(45, 39.127315112388615)	(50, 39.09047163234827)	(55, 39.02224188828187)	(60, 38.96117971586595)	(65, 38.89543080686549)	(70, 38.817915047058975)	(75, 38.76654512099017)	(80, 38.674855185027646)	(85, 38.629291750108)	(90, 38.56622171706052)	(95, 38.49988165240747)	(100, 38.43905725660964)	(105, 38.288231540908946)	(110, 38.27062531229844)	(115, 38.1908908678805)	(120, 38.005189602936625)	(125, 37.982563750476245)	(130, 37.92125331986071)	(135, 37.802477036185856)	(140, 37.695837009743435)	(145, 37.57232521408214)	(150, 37.49469654157722)
M145_1_1_2	(1, 39.06952227835198)	(2, 38.86533732668649)	(3, 39.194748616736256)	(4, 39.154739199950306)	(5, 39.295080644400976)	(6, 39.31735774857847)	(7, 39.218426176668444)	(8, 39.22167421913604)	(9, 39.30045564377708)	(10, 39.270791631150374)	(15, 39.22903819565952)	(20, 39.21933862884276)	(25, 39.211300919550816)	(30, 39.19657169096748)	(35, 39.13865546265091)	(40, 39.10950205278169)	(45, 39.08106493977527)	(50, 39.0545110175841)	(55, 39.00673693947802)	(60, 38.961623269776496)	(65, 38.878298966870986)	(70, 38.87877635022458)	(75, 38.83256832576977)	(80, 38.7830994480255)	(85, 38.7195060845858)	(90, 38.68418085331165)	(95, 38.629440516470225)	(100, 38.582358139558096)	(105, 38.50724720948689)	(110, 38.448974773772534)	(115, 38.373159747621266)	(120, 38.304115462662004)	(125, 38.22716812068571)	(130, 38.11263244088305)	(135, 38.07958107503315)	(140, 37.97769710780445)	(145, 37.85046651356533)	(150, 37.78575661213102)
M145_1_2_1	(1, 39.20144757362112)	(2, 38.91670759465311)	(3, 39.16306439571683)	(4, 39.19857213019405)	(5, 39.18491490506045)	(6, 39.232626890745266)	(7, 39.25933986381015)	(8, 39.22862380527376)	(9, 39.243303585437566)	(10, 39.26257061810868)	(15, 39.381425636706894)	(20, 39.370539410184534)	(25, 39.329251422870875)	(30, 39.268651916050075)	(35, 39.24209245759848)	(40, 39.1981286046123)	(45, 39.1246639660277)	(50, 39.08782209352306)	(55, 39.0160403650898)	(60, 38.96269501486178)	(65, 38.89411531694317)	(70, 38.824263832625576)	(75, 38.77250786510622)	(80, 38.67615115891273)	(85, 38.626191420375065)	(90, 38.5666585759396)	(95, 38.503954380559485)	(100, 38.44138799512221)	(105, 38.294398526446535)	(110, 38.27792920200278)	(115, 38.199612491635)	(120, 38.01358039484986)	(125, 37.99359914996282)	(130, 37.93358509457467)	(135, 37.81479342009336)	(140, 37.70460790502469)	(145, 37.581414836097096)	(150, 37.50841608327562)
M145_1_2_2	(1, 39.05604480209707)	(2, 38.84899185794571)	(3, 39.18845093713534)	(4, 39.1526591758113)	(5, 39.30192155984158)	(6, 39.314190322799575)	(7, 39.22205615879232)	(8, 39.22443550393967)	(9, 39.29983280947943)	(10, 39.27401444800491)	(15, 39.22919801823405)	(20, 39.221975533699734)	(25, 39.21333084238188)	(30, 39.19863944426484)	(35, 39.139943705470294)	(40, 39.10806077240415)	(45, 39.08241992041118)	(50, 39.05684889290101)	(55, 39.00813910601602)	(60, 38.96306051333547)	(65, 38.88093253048801)	(70, 38.88244601701972)	(75, 38.83540080844024)	(80, 38.783717818014104)	(85, 38.7201517923539)	(90, 38.686386604908584)	(95, 38.63425895045804)	(100, 38.58550596113387)	(105, 38.51280051784545)	(110, 38.45523787978191)	(115, 38.37718642655257)	(120, 38.310136474462034)	(125, 38.229792956688826)	(130, 38.11639644951846)	(135, 38.082796277876334)	(140, 37.97919688708911)	(145, 37.85076058915867)	(150, 37.77820276393443)
M145_1_3_1	(1, 39.17224528128701)	(2, 38.983021700147084)	(3, 39.14440761710311)	(4, 39.18429241132894)	(5, 39.17139836437352)	(6, 39.17895591688886)	(7, 39.23386055758162)	(8, 39.15910116660958)	(9, 39.15218747691295)	(10, 39.21469478081575)	(15, 39.348146163128334)	(20, 39.362880211516554)	(25, 39.32796139957329)	(30, 39.254184839672334)	(35, 39.250058990908464)	(40, 39.176700382153626)	(45, 39.1344846746769)	(50, 39.074751174780985)	(55, 39.011175004869266)	(60, 38.94970406041027)	(65, 38.88780401585926)	(70, 38.8237880670459)	(75, 38.75783618661276)	(80, 38.69301037210167)	(85, 38.611256293669506)	(90, 38.542115926649785)	(95, 38.44790464740898)	(100, 38.41085296152271)	(105, 38.27020999420166)	(110, 38.242181991989774)	(115, 38.150552566832104)	(120, 37.97354332753498)	(125, 37.94945855972634)	(130, 37.86549325130575)	(135, 37.76389008661702)	(140, 37.63287132370226)	(145, 37.532756946263426)	(150, 37.48854356260312)
M145_1_3_2	(1, 39.0911251704244)	(2, 38.94677923072273)	(3, 39.17834518748363)	(4, 39.15097889088137)	(5, 39.27684567664922)	(6, 39.290967003149916)	(7, 39.18857188271667)	(8, 39.212418425759886)	(9, 39.284632028817114)	(10, 39.246659480297936)	(15, 39.21372240467987)	(20, 39.189885555398845)	(25, 39.19447077207569)	(30, 39.16888577703451)	(35, 39.12973229097406)	(40, 39.09774334589268)	(45, 39.05692971910477)	(50, 39.04248972976119)	(55, 39.006617772494344)	(60, 38.95036267655296)	(65, 38.895308084776765)	(70, 38.871773174919795)	(75, 38.82630569155926)	(80, 38.77523756433591)	(85, 38.73501042135404)	(90, 38.683442651210385)	(95, 38.63351726855303)	(100, 38.577138481997146)	(105, 38.520263186762755)	(110, 38.456412121456346)	(115, 38.39489226043759)	(120, 38.28601727414989)	(125, 38.24349501543614)	(130, 38.08598709587869)	(135, 38.09143324400744)	(140, 37.98242003765567)	(145, 37.89412307272113)	(150, 37.8141854665207)
M145_2_1_1	(1, 39.210232609689896)	(2, 39.02761507681751)	(3, 39.14637809278412)	(4, 39.12002212433272)	(5, 39.11954493284271)	(6, 39.16512174599182)	(7, 39.15833340607594)	(8, 39.168330356176895)	(9, 39.189560616148384)	(10, 39.21662218787009)	(15, 39.360762771022415)	(20, 39.382175654610705)	(25, 39.35613668520678)	(30, 39.27854439666358)	(35, 39.286770871109894)	(40, 39.23289645447252)	(45, 39.201382400468944)	(50, 39.14201885329616)	(55, 39.087166194104256)	(60, 39.038217218941746)	(65, 38.985357310354075)	(70, 38.932386727199095)	(75, 38.871061219382966)	(80, 38.81468480100136)	(85, 38.71647733750426)	(90, 38.66543422177183)	(95, 38.59263826319226)	(100, 38.56650822004665)	(105, 38.44139477464738)	(110, 38.40695667953021)	(115, 38.32715542290831)	(120, 38.1420823906553)	(125, 38.139457546489794)	(130, 38.08661395869755)	(135, 37.97638579291952)	(140, 37.85402103927757)	(145, 37.758680877662016)	(150, 37.717663465198484)
M145_2_1_2	(1, 39.1364505788063)	(2, 38.97540982522465)	(3, 39.19671597557224)	(4, 39.185221189100886)	(5, 39.30588358061851)	(6, 39.326520260931694)	(7, 39.24394245874767)	(8, 39.25127954242521)	(9, 39.32359296623976)	(10, 39.28634690075502)	(15, 39.263298710498454)	(20, 39.23165014880492)	(25, 39.229182349311046)	(30, 39.20315853682085)	(35, 39.164549751048355)	(40, 39.13041736003595)	(45, 39.08814105082116)	(50, 39.0727543498094)	(55, 39.03467684957332)	(60, 38.974192510791696)	(65, 38.91460996869952)	(70, 38.90503701540529)	(75, 38.86276628753221)	(80, 38.81338733744342)	(85, 38.775336156804485)	(90, 38.727145953143705)	(95, 38.689811273939924)	(100, 38.63415863125398)	(105, 38.581712694219455)	(110, 38.5144060513383)	(115, 38.45334220528598)	(120, 38.35007190937171)	(125, 38.305918840943136)	(130, 38.151088030984646)	(135, 38.16641479208973)	(140, 38.06099602349242)	(145, 37.981597866710686)	(150, 37.900957504299086)
M145_2_3_1	(1, 39.15538562205898)	(2, 38.96709190078995)	(3, 39.10537506913737)	(4, 39.13813659999165)	(5, 39.14212468920359)	(6, 39.134729350449085)	(7, 39.159220994193895)	(8, 39.179474453064095)	(9, 39.162269187013216)	(10, 39.22272867666362)	(15, 39.364207206758905)	(20, 39.383971885186504)	(25, 39.35497108385083)	(30, 39.28118574228793)	(35, 39.28001971594624)	(40, 39.2238480013224)	(45, 39.18896773551462)	(50, 39.12832827422267)	(55, 39.076416479488145)	(60, 39.018955792696005)	(65, 38.965220744813195)	(70, 38.90587345874437)	(75, 38.842486977580336)	(80, 38.78924522873528)	(85, 38.69911192445824)	(90, 38.654091073143476)	(95, 38.56910622187675)	(100, 38.53183679177455)	(105, 38.39953315476303)	(110, 38.366371070466634)	(115, 38.28408447828243)	(120, 38.106894175073265)	(125, 38.099211619538856)	(130, 38.04167197172618)	(135, 37.927336270992164)	(140, 37.79994334596824)	(145, 37.70275253942189)	(150, 37.65938586571993)
M145_2_3_2	(1, 39.13417181872311)	(2, 38.960959623778336)	(3, 39.19253162015659)	(4, 39.15493218961398)	(5, 39.28839104265725)	(6, 39.31484884727205)	(7, 39.22625721330801)	(8, 39.21352735837779)	(9, 39.31445761700731)	(10, 39.26810143502575)	(15, 39.24547110930367)	(20, 39.21560428202669)	(25, 39.21135966244378)	(30, 39.190465821403386)	(35, 39.15556041733517)	(40, 39.124906696729624)	(45, 39.08404012169321)	(50, 39.066457695939725)	(55, 39.03503584275518)	(60, 38.965849201324005)	(65, 38.926408071469304)	(70, 38.90249718159777)	(75, 38.85733628243164)	(80, 38.807457226349015)	(85, 38.7691595870576)	(90, 38.719286794091055)	(95, 38.68204441836243)	(100, 38.62671101753615)	(105, 38.57281970633707)	(110, 38.5062396365448)	(115, 38.44850586073232)	(120, 38.3446101739316)	(125, 38.300854643657296)	(130, 38.14580977515128)	(135, 38.16180528744271)	(140, 38.05554694734578)	(145, 37.9777290169882)	(150, 37.90222174748374)
