Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
M145_1_1_1	(12.0, 1.0)	(13.0, 85.0)	(14.0, 513.0)	(15.0, 1554.0)	(16.0, 2940.0)	(17.0, 4969.0)	(18.0, 7571.0)	(19.0, 10451.0)	(20.0, 13054.0)	(21.0, 14939.0)	(22.0, 17470.0)	(23.0, 20105.0)	(24.0, 21735.0)	(25.0, 24241.0)	(26.0, 26119.0)	(27.0, 28795.0)	(28.0, 32179.0)	(29.0, 35254.0)	(30.0, 40769.0)	(31.0, 45726.0)	(32.0, 53813.0)	(33.0, 63447.0)	(34.0, 78339.0)	(35.0, 104529.0)	(36.0, 146396.0)	(37.0, 254253.0)	(38.0, 528089.0)	(39.0, 3917271.0)	(40.0, 1718045.0)								
M145_1_1_2	(10.0, 3.0)	(11.0, 31.0)	(12.0, 178.0)	(13.0, 1059.0)	(14.0, 3761.0)	(15.0, 7511.0)	(16.0, 9711.0)	(17.0, 9962.0)	(18.0, 9814.0)	(19.0, 10334.0)	(20.0, 11425.0)	(21.0, 12640.0)	(22.0, 13774.0)	(23.0, 15247.0)	(24.0, 16482.0)	(25.0, 18709.0)	(26.0, 20521.0)	(27.0, 22715.0)	(28.0, 25021.0)	(29.0, 27807.0)	(30.0, 32578.0)	(31.0, 36213.0)	(32.0, 43553.0)	(33.0, 51750.0)	(34.0, 64714.0)	(35.0, 90105.0)	(36.0, 132348.0)	(37.0, 242736.0)	(38.0, 551104.0)	(39.0, 4186477.0)	(40.0, 1544369.0)						
M145_1_2_1	(12.0, 9.0)	(13.0, 105.0)	(14.0, 635.0)	(15.0, 1620.0)	(16.0, 2940.0)	(17.0, 4738.0)	(18.0, 6999.0)	(19.0, 9704.0)	(20.0, 11880.0)	(21.0, 14112.0)	(22.0, 16276.0)	(23.0, 18531.0)	(24.0, 20329.0)	(25.0, 22896.0)	(26.0, 24532.0)	(27.0, 26640.0)	(28.0, 29893.0)	(29.0, 32826.0)	(30.0, 37850.0)	(31.0, 42871.0)	(32.0, 50139.0)	(33.0, 59863.0)	(34.0, 73328.0)	(35.0, 98424.0)	(36.0, 138837.0)	(37.0, 243776.0)	(38.0, 514303.0)	(39.0, 3884846.0)	(40.0, 1462563.0)								
M145_1_2_2	(11.0, 24.0)	(12.0, 170.0)	(13.0, 1045.0)	(14.0, 3753.0)	(15.0, 7535.0)	(16.0, 9364.0)	(17.0, 9190.0)	(18.0, 9365.0)	(19.0, 9895.0)	(20.0, 10916.0)	(21.0, 11774.0)	(22.0, 13197.0)	(23.0, 14224.0)	(24.0, 15810.0)	(25.0, 17530.0)	(26.0, 19080.0)	(27.0, 20972.0)	(28.0, 23259.0)	(29.0, 25735.0)	(30.0, 30680.0)	(31.0, 34070.0)	(32.0, 40823.0)	(33.0, 48326.0)	(34.0, 60758.0)	(35.0, 84350.0)	(36.0, 124848.0)	(37.0, 230975.0)	(38.0, 529799.0)	(39.0, 4020741.0)	(40.0, 1423257.0)							
M145_1_3_1	(11.0, 1.0)	(12.0, 15.0)	(13.0, 216.0)	(14.0, 1306.0)	(15.0, 3057.0)	(16.0, 4567.0)	(17.0, 6763.0)	(18.0, 9648.0)	(19.0, 12915.0)	(20.0, 16022.0)	(21.0, 18455.0)	(22.0, 21279.0)	(23.0, 23998.0)	(24.0, 26372.0)	(25.0, 29917.0)	(26.0, 31864.0)	(27.0, 35122.0)	(28.0, 39557.0)	(29.0, 43078.0)	(30.0, 50007.0)	(31.0, 56430.0)	(32.0, 66616.0)	(33.0, 78564.0)	(34.0, 97030.0)	(35.0, 131138.0)	(36.0, 183955.0)	(37.0, 327045.0)	(38.0, 697163.0)	(39.0, 5056126.0)	(40.0, 1865354.0)							
M145_1_3_2	(4.0, 3.0)	(5.0, 29.0)	(6.0, 31.0)	(7.0, 55.0)	(8.0, 89.0)	(9.0, 325.0)	(10.0, 3163.0)	(11.0, 3915.0)	(12.0, 260.0)	(13.0, 1674.0)	(14.0, 5867.0)	(15.0, 10712.0)	(16.0, 12581.0)	(17.0, 12103.0)	(18.0, 11725.0)	(19.0, 12396.0)	(20.0, 13156.0)	(21.0, 14485.0)	(22.0, 16321.0)	(23.0, 17375.0)	(24.0, 19404.0)	(25.0, 22177.0)	(26.0, 24167.0)	(27.0, 26499.0)	(28.0, 29617.0)	(29.0, 32687.0)	(30.0, 38259.0)	(31.0, 42984.0)	(32.0, 51888.0)	(33.0, 61666.0)	(34.0, 78810.0)	(35.0, 109608.0)	(36.0, 162778.0)	(37.0, 303026.0)	(38.0, 695323.0)	(39.0, 5157278.0)	(40.0, 1941144.0)
M145_2_1_1	(12.0, 9.0)	(13.0, 119.0)	(14.0, 701.0)	(15.0, 1778.0)	(16.0, 3032.0)	(17.0, 4895.0)	(18.0, 6844.0)	(19.0, 9141.0)	(20.0, 11099.0)	(21.0, 12974.0)	(22.0, 15167.0)	(23.0, 17187.0)	(24.0, 18948.0)	(25.0, 21878.0)	(26.0, 24039.0)	(27.0, 27141.0)	(28.0, 30797.0)	(29.0, 33158.0)	(30.0, 38731.0)	(31.0, 42882.0)	(32.0, 50716.0)	(33.0, 60506.0)	(34.0, 75838.0)	(35.0, 103821.0)	(36.0, 147378.0)	(37.0, 264622.0)	(38.0, 584047.0)	(39.0, 4425557.0)	(40.0, 1527901.0)								
M145_2_1_2	(4.0, 5.0)	(5.0, 21.0)	(6.0, 18.0)	(7.0, 32.0)	(8.0, 67.0)	(9.0, 224.0)	(10.0, 2590.0)	(11.0, 3121.0)	(12.0, 184.0)	(13.0, 1126.0)	(14.0, 3918.0)	(15.0, 7604.0)	(16.0, 9358.0)	(17.0, 9393.0)	(18.0, 9455.0)	(19.0, 10034.0)	(20.0, 10939.0)	(21.0, 11667.0)	(22.0, 13139.0)	(23.0, 14621.0)	(24.0, 15865.0)	(25.0, 17923.0)	(26.0, 19829.0)	(27.0, 22324.0)	(28.0, 24899.0)	(29.0, 27323.0)	(30.0, 31356.0)	(31.0, 35004.0)	(32.0, 41698.0)	(33.0, 49973.0)	(34.0, 63073.0)	(35.0, 87413.0)	(36.0, 129838.0)	(37.0, 244140.0)	(38.0, 577957.0)	(39.0, 4465983.0)	(40.0, 1598792.0)
M145_2_3_1	(12.0, 6.0)	(13.0, 132.0)	(14.0, 719.0)	(15.0, 1792.0)	(16.0, 3062.0)	(17.0, 4716.0)	(18.0, 6543.0)	(19.0, 8787.0)	(20.0, 10847.0)	(21.0, 12428.0)	(22.0, 14524.0)	(23.0, 16237.0)	(24.0, 18140.0)	(25.0, 20883.0)	(26.0, 22745.0)	(27.0, 25587.0)	(28.0, 29267.0)	(29.0, 31736.0)	(30.0, 36663.0)	(31.0, 40972.0)	(32.0, 48908.0)	(33.0, 58085.0)	(34.0, 72612.0)	(35.0, 99254.0)	(36.0, 139260.0)	(37.0, 249976.0)	(38.0, 541712.0)	(39.0, 3946548.0)	(40.0, 1531183.0)								
M145_2_3_2	(4.0, 3.0)	(5.0, 12.0)	(6.0, 22.0)	(7.0, 37.0)	(8.0, 60.0)	(9.0, 225.0)	(10.0, 2312.0)	(11.0, 3179.0)	(12.0, 209.0)	(13.0, 1131.0)	(14.0, 4024.0)	(15.0, 7256.0)	(16.0, 8893.0)	(17.0, 8629.0)	(18.0, 8896.0)	(19.0, 9144.0)	(20.0, 9993.0)	(21.0, 10769.0)	(22.0, 12159.0)	(23.0, 13401.0)	(24.0, 14875.0)	(25.0, 16630.0)	(26.0, 18472.0)	(27.0, 20467.0)	(28.0, 23118.0)	(29.0, 25120.0)	(30.0, 29484.0)	(31.0, 32970.0)	(32.0, 39311.0)	(33.0, 46853.0)	(34.0, 59450.0)	(35.0, 82435.0)	(36.0, 122380.0)	(37.0, 229712.0)	(38.0, 536725.0)	(39.0, 4067594.0)	(40.0, 1527374.0)
