Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
M145_1_1_1	(1.0, 27.87714915687152)	(2.0, 10.721447962378534)	(3.0, 5.918434574725589)	(4.0, 3.929539985846262)	(5.0, 3.060078213270594)	(6.0, 2.3272808329743375)	(7.0, 1.9613882008148298)	(8.0, 1.628343702262058)	(9.0, 1.4045569659090835)	('>10', 17.120787750243544)	('>50', 5.704395121409987)	('>100', 8.054146087304828)	('>500', 1.968270665656675)	('>1k', 4.452341886408646)	('>5k', 0.8217873607432076)	('>10k+', 3.050051533180355)
M145_1_1_2	(1.0, 20.62186838989455)	(2.0, 8.597099618942973)	(3.0, 5.4849461815603835)	(4.0, 3.9048316381126007)	(5.0, 3.0543746983531324)	(6.0, 2.491247892532953)	(7.0, 2.048921053794136)	(8.0, 1.730399152505192)	(9.0, 1.5269424325679637)	('>10', 20.669924377285838)	('>50', 7.716859816468558)	('>100', 10.161207000939445)	('>500', 1.9060656845405688)	('>1k', 5.247408114240847)	('>5k', 2.026378732884603)	('>10k+', 2.8115252153762875)
M145_1_2_1	(1.0, 28.26323516859474)	(2.0, 10.938069777488533)	(3.0, 5.933387012210782)	(4.0, 3.986468484345281)	(5.0, 2.9656920228903303)	(6.0, 2.3646529321091023)	(7.0, 1.982852853741957)	(8.0, 1.5625464780144123)	(9.0, 1.3982474796035458)	('>10', 17.06594877377274)	('>50', 5.632597561957273)	('>100', 8.039513349363919)	('>500', 1.8920880292703626)	('>1k', 4.205877368420042)	('>5k', 0.7892714399612023)	('>10k+', 2.9795512682558116)
M145_1_2_2	(1.0, 20.687271644572952)	(2.0, 8.853778606722983)	(3.0, 5.411243121953809)	(4.0, 3.898627900407798)	(5.0, 3.055364285364615)	(6.0, 2.4789792768061303)	(7.0, 2.0808755068238813)	(8.0, 1.7794829779024919)	(9.0, 1.5685032498831402)	('>10', 20.954960572999326)	('>50', 7.646698462947178)	('>100', 9.901002111482246)	('>500', 1.876595676791792)	('>1k', 5.180067140717035)	('>5k', 1.8589006399721317)	('>10k+', 2.7676488246525315)
M145_1_3_1	(1.0, 24.78136433418665)	(2.0, 10.432610530936596)	(3.0, 5.765043884461698)	(4.0, 3.994716051068134)	(5.0, 3.075949203152826)	(6.0, 2.2690576050967604)	(7.0, 1.9546609428745505)	(8.0, 1.644089487525036)	(9.0, 1.4702842523698907)	('>10', 17.584127538321276)	('>50', 6.002424155655228)	('>100', 9.444747293711542)	('>500', 2.152956990246448)	('>1k', 4.573291802389039)	('>5k', 1.4192255672719962)	('>10k+', 3.435450360732337)
M145_1_3_2	(1.0, 18.027027314040904)	(2.0, 8.059894368753378)	(3.0, 5.183923796552238)	(4.0, 3.7569860766063017)	(5.0, 2.931494063988603)	(6.0, 2.3574494157614994)	(7.0, 2.0167712209275956)	(8.0, 1.756713980016381)	(9.0, 1.5596619332778565)	('>10', 20.725192407493527)	('>50', 8.045852029741111)	('>100', 12.093441772160105)	('>500', 2.2112630983150354)	('>1k', 4.918384471508461)	('>5k', 2.777581677011243)	('>10k+', 3.578362373845763)
M145_2_1_1	(1.0, 26.087091043440275)	(2.0, 10.90371808337441)	(3.0, 5.843011757325846)	(4.0, 3.932422786645693)	(5.0, 2.919393137042035)	(6.0, 2.2516569375950533)	(7.0, 1.8630435574292856)	(8.0, 1.5432606463625032)	(9.0, 1.3274460359983409)	('>10', 14.127361920024622)	('>50', 3.3323617077302234)	('>100', 5.405127076723973)	('>500', 2.033220696431176)	('>1k', 5.720625686521257)	('>5k', 3.7254638871690635)	('>10k+', 8.984795040186151)
M145_2_1_2	(1.0, 18.737690610378323)	(2.0, 8.616956499864186)	(3.0, 5.530528552226696)	(4.0, 3.9517078037969173)	(5.0, 3.1712478553555687)	(6.0, 2.597660639082079)	(7.0, 2.1959338467806644)	(8.0, 1.8764404060487465)	(9.0, 1.6397332287801534)	('>10', 18.722131852425026)	('>50', 4.360868690906024)	('>100', 5.739743806221083)	('>500', 1.4278680731610305)	('>1k', 5.642382351252971)	('>5k', 4.277532214958491)	('>10k+', 11.511573568761996)
M145_2_3_1	(1.0, 24.82637136786131)	(2.0, 10.168316111824314)	(3.0, 5.73016716859218)	(4.0, 3.737127096119383)	(5.0, 2.8243347603535316)	(6.0, 2.2080199718389584)	(7.0, 1.9217717384649724)	(8.0, 1.4667288146816417)	(9.0, 1.2972319676796715)	('>10', 14.407969689154454)	('>50', 3.643761103271717)	('>100', 5.706088778114136)	('>500', 2.179227632098535)	('>1k', 6.2238298720732645)	('>5k', 4.160457993521006)	('>10k+', 9.498595934350886)
M145_2_3_2	(1.0, 18.029211222418176)	(2.0, 8.298475582417119)	(3.0, 5.272243032068022)	(4.0, 3.9001690348724063)	(5.0, 3.1574719082461717)	(6.0, 2.5812903120774817)	(7.0, 2.245411025809855)	(8.0, 1.8803460874065516)	(9.0, 1.6185688015099813)	('>10', 18.623800371213868)	('>50', 4.345966793347556)	('>100', 5.3328448572738045)	('>500', 1.5273543719788931)	('>1k', 5.830590853001706)	('>5k', 5.48315250741653)	('>10k+', 11.873103238941955)
