bgc_name	gene_id	old_locus_tag	gene_name	product	known_name	is_known	corr	sign	corr_rank
act	SC_RS22135	SCO4005	NA	SigE family RNA polymerase sigma factor	NA	FALSE	0.9731183843223594	+	1
act	SC_RS37205	SCO6996	NA	RNA polymerase sigma factor	NA	FALSE	0.9716730401458666	+	2
act	SC_RS11030	SCO1801	NA	response regulator	NA	FALSE	0.9703359965854726	+	3
act	SC_RS11035	SCO1802	NA	GAF domain-containing sensor histidine kinase	NA	FALSE	0.9692320026160227	+	4
act	SC_RS35025	SCO6566	NA	ROK family transcriptional regulator	NA	FALSE	0.9678974248760343	+	5
act	SC_RS37305	SCO7016	NA	LacI family DNA-binding transcriptional regulator	NA	FALSE	-0.9545682846138375	-	6
act	SC_RS27570	SCO5082	actII	TetR family transcriptional regulator ActII	actII-orf4	TRUE	0.9535598964902903	+	7
act	SC_RS29845	SCO5532	NA	TetR/AcrR family transcriptional regulator	NA	FALSE	-0.9484378098696032	-	8
act	SC_RS12415	SCO2075	NA	TraR/DksA family transcriptional regulator	NA	FALSE	0.9474427626258486	+	9
act	SC_RS07840	SCO1177	NA	FadR/GntR family transcriptional regulator	NA	FALSE	0.9470114083308392	+	10
act	SC_RS27500	SCO5068	NA	TetR/AcrR family transcriptional regulator	NA	FALSE	-0.9468663466110636	-	11
act	SC_RS37190	SCO6993	NA	LuxR family transcriptional regulator AbsR2	NA	FALSE	0.9460620413005001	+	12
act	SC_RS26925	SCO4952	NA	TetR/AcrR family transcriptional regulator	NA	FALSE	-0.9445564044951743	-	13
act	SC_RS36895	SCO6937	NA	LuxR C-terminal-related transcriptional regulator	NA	FALSE	0.9384450607535804	+	14
act	SC_RS21290	SCO3832	NA	Lrp/AsnC family transcriptional regulator	NA	FALSE	-0.9347762210944014	-	15
act	SC_RS13905	SCO2374	NA	TetR family transcriptional regulator	NA	FALSE	-0.9276780791277468	-	16
act	SC_RS08340	SCO1276	NA	RNA polymerase sigma factor	NA	FALSE	0.9246137308546705	+	17
act	SC_RS07125	SCO1034	NA	TetR/AcrR family transcriptional regulator	NA	FALSE	0.9201346431870207	+	18
act	SC_RS27585	SCO5085	NA	AfsR/SARP family transcriptional regulator	SCO5085_SARP	TRUE	0.9171614488278715	+	19
act	SC_RS03330	SCO0282	NA	DeoR/GlpR family DNA-binding transcription regulator	NA	FALSE	-0.9128400442876342	-	20
act	SC_RS28630	SCO5289	NA	sensor histidine kinase	NA	FALSE	-0.9126317347785668	-	21
act	SC_RS37295	SCO7014	NA	LacI family DNA-binding transcriptional regulator	NA	FALSE	-0.9111969896486747	-	22
act	SC_RS36925	SCO6943	NA	sensor histidine kinase	NA	FALSE	0.9103537775264477	+	23
act	SC_RS34300	SCO6421	NA	sensor histidine kinase	NA	FALSE	0.9069871985647472	+	24
act	SC_RS31445	SCO5840	NA	GntR family transcriptional regulator	NA	FALSE	-0.9055856521849197	-	25
act	SC_RS21740	SCO3919	NA	LysR family transcriptional regulator	NA	FALSE	0.9033823788186499	+	26
act	SC_RS21855	SCO3943	NA	LacI family DNA-binding transcriptional regulator	NA	FALSE	0.9032547189410808	+	27
act	SC_RS05075	SCO0632	NA	sigma-70 family RNA polymerase sigma factor	NA	FALSE	0.901494573549242	+	28
act	SC_RS30630	SCO5683	NA	sensor histidine kinase	NA	FALSE	0.8992932724321406	+	29
act	SC_RS38220	SCO7201	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	FALSE	-0.8977141054401655	-	30
red	SC_RS02220	SCO0037	NA	RNA polymerase sigma-70 factor	NA	FALSE	0.9824791532745725	+	1
red	SC_RS27395	SCO5046	NA	WhiB family transcriptional regulator	NA	FALSE	0.9820447780280942	+	2
red	SC_RS16870	SCO2953	rsuA	anti-sigma U factor RsuA	NA	FALSE	0.9817914574904927	+	3
red	SC_RS34305	SCO6422	NA	response regulator	NA	FALSE	0.9761203495944014	+	4
red	SC_RS29825	SCO5528	NA	TetR/AcrR family transcriptional regulator	NA	FALSE	-0.9739021059079253	-	5
red	SC_RS18240	SCO3225	NA	sensor histidine kinase	absA1	TRUE	0.9707789830200417	+	6
red	SC_RS16875	SCO2954	NA	sigma-70 family RNA polymerase sigma factor	NA	FALSE	0.9663177535003409	+	7
red	SC_RS36185	SCO6801	NA	LysR family transcriptional regulator	NA	FALSE	-0.9617168015077366	-	8
red	SC_RS32155	SCO5982	NA	PaaX family transcriptional regulator	NA	FALSE	-0.9616507431634819	-	9
red	SC_RS14640	SCO2518	NA	sensor histidine kinase	NA	FALSE	0.9577655241626155	+	10
red	SC_RS24425	SCO4452	NA	RNA polymerase sigma factor	NA	FALSE	0.9569188347059279	+	11
red	SC_RS31650	SCO5881	NA	response regulator transcription factor	redZ	TRUE	0.9534209055415878	+	12
red	SC_RS13430	SCO2281	NA	response regulator transcription factor	NA	FALSE	-0.9512375280705153	-	13
red	SC_RS33220	SCO6194	NA	helix-turn-helix transcriptional regulator	NA	FALSE	0.9505818070689912	+	14
red	SC_RS29960	SCO5550	NA	MerR family transcriptional regulator	NA	FALSE	-0.9505674011986619	-	15
