bgc_class	gene_id	old_locus_tag	gene_name	product	is_known	known_name	TF_score_act	corr_act	abs_corr_act	act_specificity	abs_corr_red	abs_corr_cda	abs_corr_cpk	log2FC_3_vs_1	padj_3_vs_1	delta_2_vs_1	delta_3_vs_2	phase_preference	mean_rlog_1	mean_rlog_2	mean_rlog_3
act_late	SC_RS37190	SCO6993	NA	LuxR family transcriptional regulator AbsR2	FALSE	NA	1.6109175340375717	0.9460620413005	0.9460620413005	0.13945187583461016	0.8066101654658898	0.5813008513987172	0.334615759087756	4.9188259136627765	1.0832989045776765e-56	0.8230173244274122	3.817987086174024	late	4.321672572390357	5.144689896817769	8.962676982991793
act_late	SC_RS36895	SCO6937	NA	LuxR C-terminal-related transcriptional regulator	FALSE	NA	1.6097607402209786	0.9384450607535804	0.9384450607535804	0.24148981474765518	0.6969552460059252	0.44971021481979784	0.1873756487595608	4.176179534892843	3.1479694686071686e-18	0.0669138916116232	3.6407772186407326	late	2.6206316334605604	2.6875455250721836	6.328322743712916
act_late	SC_RS27570	SCO5082	actII	TetR family transcriptional regulator ActII	TRUE	actII-orf4	1.6002391666905804	0.9535598964902904	0.9535598964902904	0.38195420279615866	0.5716056936941317	0.25019143894453316	0.02451334426953332	2.5950361467035115	1.200981940624837e-24	-0.8381659711656706	3.320937524056223	late	9.224674243006358	8.386508271840688	11.707445795896911
act_late	SC_RS07840	SCO1177	NA	FadR/GntR family transcriptional regulator	FALSE	NA	1.59361061492704	0.9470114083308392	0.9470114083308392	0.25401990948090114	0.692991498849938	0.4225319109707204	0.16159931992234747	3.6598208642625014	3.478391996550185e-27	-0.15310215832034668	3.7002909264907906	late	4.49804247562838	4.344940317308033	8.045231243798824
act_late	SC_RS35025	SCO6566	NA	ROK family transcriptional regulator	FALSE	NA	1.5714260574292143	0.9678974248760344	0.9678974248760344	0.30378437824601034	0.664113046630024	0.3723021728975673	0.10334228806572604	2.527274057169578	3.415231934219088e-31	-0.3085883371837177	2.7428964757381324	late	7.812761543983492	7.504173206799774	10.247069682537907
act_late	SC_RS08340	SCO1276	NA	RNA polymerase sigma factor	FALSE	NA	1.5713063286783941	0.9246137308546704	0.9246137308546704	0.14891525955990814	0.7756984712947622	0.5647357889411893	0.321557324484343	4.537249467396161	1.243364185018769e-18	0.720277683703535	3.2768815093031196	late	2.4902504049729495	3.2105280886764844	6.487409597979604
act_late	SC_RS22135	SCO4005	NA	SigE family RNA polymerase sigma factor	FALSE	NA	1.5607501449237804	0.9731183843223594	0.9731183843223594	0.18745059178832058	0.7856677925340388	0.526704088559127	0.27389202543423313	3.231774411787676	2.953692798045434e-33	0.25603641418420864	2.8379028018644332	late	6.9475583285524065	7.203594742736615	10.041497544601048
act_late	SC_RS36925	SCO6943	NA	sensor histidine kinase	FALSE	NA	1.547889192265081	0.9103537775264476	0.9103537775264476	0.07507082947726673	0.8352829480491809	0.641236035757948	0.41132113464054887	6.49610753566928	1.0416854033744664e-50	1.6013160960927668	4.3273803977042915	late	2.850204196977853	4.45152029307062	8.778900690774911
act_late	SC_RS37205	SCO6996	NA	RNA polymerase sigma factor	FALSE	NA	1.5455320055581918	0.9716730401458666	0.9716730401458666	0.3492986137750661	0.6223744263708005	0.3118586924261227	0.0412998203071133	1.6534943087465372	1.4524439835855503e-11	-0.4216948966420526	2.0044400355868888	late	7.320612046692436	6.898917150050384	8.903357185637272
act_late	SC_RS11035	SCO1802	NA	GAF domain-containing sensor histidine kinase	FALSE	NA	1.5406822152804391	0.9692320026160228	0.9692320026160228	0.3419101141203955	0.6273218884956273	0.31513003103892157	0.04386309145618873	1.6749192600703109	8.954490382808945e-14	-0.3570511329873547	1.9720320126617237	late	6.90818937274535	6.551138239757996	8.52317025241972
