global_role	gene_id	old_locus_tag	gene_name	product	is_known	known_name	corr_act	corr_red	corr_cda	corr_cpk	abs_corr_act	abs_corr_red	abs_corr_cda	abs_corr_cpk	n_high_corr	mean_abs_corr	n_high_090	n_high_080	log2FC_3_vs_1	padj_3_vs_1	delta_2_vs_1	delta_3_vs_2	phase_preference
global_activator	SC_RS16870	SCO2953	rsuA	anti-sigma U factor RsuA	FALSE	NA	0.6913598303877893	0.9817914574904928	0.9572172914156272	0.8531235433674452	0.6913598303877893	0.9817914574904928	0.9572172914156272	0.8531235433674452	2	0.8708730306653386	2	3	1.5695413540350536	1.0948187502499826e-9	1.2004106089993112	0.30570791113356144	early_mid
global_activator	SC_RS18240	SCO3225	NA	sensor histidine kinase	TRUE	absA1	0.6512194835990697	0.9707789830200416	0.9717189681358	0.8709657486236603	0.6512194835990697	0.9707789830200416	0.9717189681358	0.8709657486236603	2	0.866170795844643	2	3	2.7250091300866304	5.104086381675095e-26	2.151567027385312	0.45663212356628335	early_mid
global_activator	SC_RS34305	SCO6422	NA	response regulator	FALSE	NA	0.7157906749810744	0.9761203495944014	0.9380805340511192	0.8143264034893347	0.7157906749810744	0.9761203495944014	0.9380805340511192	0.8143264034893347	2	0.8610794905289825	2	3	2.4691172309878913	1.0707999566419259e-17	1.7072994693804482	0.6550650578584785	early_mid
not_global	SC_RS29825	SCO5528	NA	TetR/AcrR family transcriptional regulator	FALSE	NA	-0.7481327654996671	-0.9739021059079253	-0.9245909779412232	-0.7946890228217526	0.7481327654996671	0.9739021059079253	0.9245909779412232	0.7946890228217526	2	0.860328718042642	2	2	-1.2083170970885082	1.345087334269902e-7	-0.8271110529366705	-0.3879853242125	early_mid
global_activator	SC_RS02220	SCO0037	NA	RNA polymerase sigma-70 factor	FALSE	NA	0.8002240448569938	0.9824791532745724	0.9007390845597762	0.7557099592614763	0.8002240448569938	0.9824791532745724	0.9007390845597762	0.7557099592614763	2	0.8597880604882048	2	3	1.2469573380375325	5.7470673031810194e-8	0.76640033498908	0.43197857349013	early_mid
global_activator	SC_RS31650	SCO5881	NA	response regulator transcription factor	TRUE	redZ	0.5779101282272001	0.9534209055415878	0.9760000105202414	0.9180076192695203	0.5779101282272001	0.9534209055415878	0.9760000105202414	0.9180076192695203	3	0.8563346658896375	3	3	0.9663293723417876	6.189143763629263e-6	0.8982201737531064	0.035283924537415245	early_mid
global_repressor	SC_RS32155	SCO5982	NA	PaaX family transcriptional regulator	FALSE	NA	-0.6774120874403243	-0.961650743163482	-0.9461386075579544	-0.8316767366584233	0.6774120874403243	0.961650743163482	0.9461386075579544	0.8316767366584233	2	0.854219543705046	2	3	-3.226676420006456	2.243524409581782e-55	-2.44697880579882	-0.7304481963682017	early_mid
global_repressor	SC_RS36185	SCO6801	NA	LysR family transcriptional regulator	FALSE	NA	-0.713694943136887	-0.9617168015077366	-0.9327999143582124	-0.8016057705243432	0.713694943136887	0.9617168015077366	0.9327999143582124	0.8016057705243432	2	0.8524543573817949	2	3	-2.280550694703683	3.853136355797251e-28	-1.6065358499164821	-0.6374450199967612	early_mid
global_activator	SC_RS14640	SCO2518	NA	sensor histidine kinase	FALSE	NA	0.6538625038143131	0.9577655241626156	0.9512303936685632	0.8438880447166511	0.6538625038143131	0.9577655241626156	0.9512303936685632	0.8438880447166511	2	0.8516866165905357	2	3	4.157825422496734	8.476451778443317e-70	3.1822045307125375	0.8139650780655874	early_mid
global_repressor	SC_RS06045	SCO0823	NA	GntR family transcriptional regulator	FALSE	NA	-0.5910590796560362	-0.9442476389559276	-0.9735742420314512	-0.8924123279747539	0.5910590796560362	0.9442476389559276	0.9735742420314512	0.8924123279747539	2	0.8503233221545422	2	3	-1.4690041024017018	5.252261329043032e-10	-1.2868414308249339	-0.15233565466240773	early_mid
