gene_id,old_locus_tag,product,mod_type,T1_sites,T2_sites,T1_mean_freq,T2_mean_freq,methyl_change,methyl_category,log2FC,padj,baseMean,expr_category,coordination
SC_RS02090,SCO0005,Mu transposase C-terminal domain-containing protein,4mC,0,1,0.0,90.8,90.8,Gained,9.68,6.467811215071488e-13,37.6,Up,Gained_Up
SC_RS02290,SCO0055,oxidoreductase,6mA,1,1,52.7,55.0,2.3,Stable,1.18,1.8913036207927137e-11,208.1,Up,Stable_Up
SC_RS02290,SCO0055,oxidoreductase,4mC,1,1,54.3,55.8,1.5,Stable,1.18,1.8913036207927137e-11,208.1,Up,Stable_Up
SC_RS02295,SCO0057,hypothetical protein,6mA,1,1,52.7,55.0,2.3,Stable,2.43,0.0006062496291587187,10.1,Up,Stable_Up
SC_RS02295,SCO0057,hypothetical protein,4mC,1,1,54.3,55.8,1.5,Stable,2.43,0.0006062496291587187,10.1,Up,Stable_Up
SC_RS02455,SCO0089,LysR family transcriptional regulator,4mC,0,1,0.0,78.6,78.6,Gained,1.96,2.5249380577013426e-17,102.0,Up,Gained_Up
SC_RS02600,SCO0126,type I polyketide synthase,6mA,1,0,52.5,0.0,-52.5,Lost,1.75,4.300573352600123e-07,137.5,Up,Lost_Up
SC_RS02810,SCO0172,universal stress protein,6mA,0,1,0.0,53.8,53.8,Gained,3.52,1.7887814434037213e-11,74.7,Up,Gained_Up
SC_RS02875,SCO0185,polyprenyl synthetase family protein,6mA,1,1,52.6,52.0,-0.7,Stable,-1.12,1.06510786581979e-05,227.0,Down,Stable_Down
SC_RS02875,SCO0185,polyprenyl synthetase family protein,4mC,0,1,0.0,83.7,83.7,Gained,-1.12,1.06510786581979e-05,227.0,Down,Gained_Down
SC_RS03040,SCO0219,respiratory nitrate reductase subunit gamma,6mA,0,1,0.0,59.7,59.7,Gained,6.32,8.075013626398953e-26,156.5,Up,Gained_Up
SC_RS03150,SCO0244,serine hydrolase,6mA,0,1,0.0,51.6,51.6,Gained,-0.78,0.0005578750504042022,133.2,Mild,Gained_Mild
SC_RS03150,SCO0244,serine hydrolase,4mC,0,1,0.0,62.8,62.8,Gained,-0.78,0.0005578750504042022,133.2,Mild,Gained_Mild
SC_RS03390,SCO0294,CatB-related O-acetyltransferase,4mC,0,1,0.0,77.4,77.4,Gained,1.11,0.0107800859092979,25.7,Up,Gained_Up
SC_RS03485,SCO0314,alkyl/aryl-sulfatase,6mA,1,0,55.4,0.0,-55.4,Lost,2.5,6.21404469956789e-06,46.5,Up,Lost_Up
SC_RS03540,SCO0324,esterase-like activity of phytase family protein,6mA,1,1,65.5,57.4,-8.0,Stable,10.95,1.5156487716504137e-208,7437.3,Up,Stable_Up
SC_RS03540,SCO0324,esterase-like activity of phytase family protein,4mC,0,1,0.0,66.8,66.8,Gained,10.95,1.5156487716504137e-208,7437.3,Up,Gained_Up
SC_RS03545,SCO0325,hypothetical protein,6mA,1,1,65.5,57.4,-8.0,Stable,4.32,0.00017161880378304358,13.3,Up,Stable_Up
SC_RS03545,SCO0325,hypothetical protein,4mC,0,1,0.0,66.8,66.8,Gained,4.32,0.00017161880378304358,13.3,Up,Gained_Up
SC_RS03550,SCO0326,DUF3500 domain-containing protein,4mC,0,1,0.0,65.4,65.4,Gained,2.17,3.3676448750042387e-17,101.9,Up,Gained_Up
SC_RS03615,SCO0340,hypothetical protein,6mA,0,1,0.0,50.4,50.4,Gained,-0.64,0.0123809873316563,66.3,Mild,Gained_Mild
SC_RS03785,SCO0375,MFS transporter,4mC,0,1,0.0,67.1,67.1,Gained,1.97,4.6966459956759076e-12,109.2,Up,Gained_Up
SC_RS03820,SCO0382,nucleotide sugar dehydrogenase,4mC,0,1,0.0,75.2,75.2,Gained,9.25,2.6645209861139977e-128,2916.2,Up,Gained_Up
SC_RS03920,SCO0402,phosphatase PAP2 family protein,6mA,1,0,52.9,0.0,-52.9,Lost,3.81,3.166332051850108e-61,916.6,Up,Lost_Up
SC_RS03925,SCO0403,CGNR zinc finger domain-containing protein,4mC,0,1,0.0,52.8,52.8,Gained,1.11,5.969635233895051e-05,70.4,Up,Gained_Up
SC_RS04040,SCO0426,hypothetical protein,6mA,1,1,51.2,57.9,6.7,Stable,3.27,1.3082118576144657e-12,33.0,Up,Stable_Up
SC_RS04055,SCO0429,aldo/keto reductase,6mA,0,1,0.0,50.0,50.0,Gained,-0.91,0.0008242200313904188,71.1,Mild,Gained_Mild
SC_RS04100,SCO0438,pyroglutamyl-peptidase I,4mC,1,0,93.3,0.0,-93.3,Lost,-1.17,0.0010063165715781,35.3,Down,Lost_Down
SC_RS04125,SCO0443,5-oxoprolinase subunit C family protein,6mA,2,1,62.6,74.8,12.2,Increased,-4.49,1.3171677023517122e-23,73.8,Down,Increased_Down
SC_RS04250,SCO0467,HD domain-containing protein,4mC,1,1,60.6,61.7,1.1,Stable,1.47,3.501340586809286e-05,38.1,Up,Stable_Up
SC_RS04270,SCO0471,helix-turn-helix domain-containing protein,6mA,1,0,59.6,0.0,-59.6,Lost,1.17,0.0002421652039553491,54.1,Up,Lost_Up
SC_RS04370,SCO0490,alpha/beta fold hydrolase,4mC,0,1,0.0,81.3,81.3,Gained,4.57,4.749468740529724e-87,1888.8,Up,Gained_Up
SC_RS04395,SCO0495,ABC transporter ATP-binding protein,6mA,2,2,59.8,60.2,0.4,Stable,2.46,3.64298966909933e-38,834.9,Up,Stable_Up
SC_RS04425,SCO0501,CocE/NonD family hydrolase,6mA,1,1,55.1,54.6,-0.5,Stable,4.56,3.69470213865431e-50,179.8,Up,Stable_Up
SC_RS04460,SCO0508,acyl-CoA-like ligand-binding transcription factor,6mA,1,1,66.4,56.6,-9.9,Stable,-2.46,3.6894128924960835e-10,42.0,Down,Stable_Down
SC_RS04640,SCO0545,discoidin domain-containing protein,6mA,1,0,60.3,0.0,-60.3,Lost,2.21,1.0596267000646396e-11,105.5,Up,Lost_Up
SC_RS04645,SCO0546,pyruvate carboxylase,6mA,0,1,0.0,54.4,54.4,Gained,4.36,1.0343198929431425e-131,1152.1,Up,Gained_Up
SC_RS04660,SCO0549,acyl carrier protein,6mA,0,1,0.0,52.8,52.8,Gained,3.34,0.0022587061462784,10.4,Up,Gained_Up
SC_RS04710,SCO0558,hypothetical protein,6mA,1,0,55.6,0.0,-55.6,Lost,-2.2,2.339821344534882e-12,67.2,Down,Lost_Down
SC_RS04780,SCO0571,M20/M25/M40 family metallo-hydrolase,6mA,1,0,53.6,0.0,-53.6,Lost,1.86,3.5965879423487526e-08,56.3,Up,Lost_Up
SC_RS04780,SCO0571,M20/M25/M40 family metallo-hydrolase,4mC,1,1,89.1,93.3,4.2,Stable,1.86,3.5965879423487526e-08,56.3,Up,Stable_Up
SC_RS04840,SCO0583,cytochrome P450,4mC,0,1,0.0,80.1,80.1,Gained,2.86,6.73010202104824e-42,195.5,Up,Gained_Up
SC_RS04860,SCO0587,roadblock/LC7 domain-containing protein,6mA,0,1,0.0,52.8,52.8,Gained,7.53,1.609764913148607e-68,346.1,Up,Gained_Up
SC_RS04865,SCO0588,sensor histidine kinase,6mA,1,1,50.1,54.8,4.7,Stable,6.98,1.0360769982654961e-199,1920.1,Up,Stable_Up
SC_RS04900,SCO0595,flavodoxin family protein,4mC,0,1,0.0,95.2,95.2,Gained,1.44,0.0103375678422322,17.2,Up,Gained_Up
SC_RS04960,SCO0607,SCO0607 family lipoprotein,6mA,1,1,76.2,74.5,-1.7,Stable,2.63,8.52842599836044e-20,1046.0,Up,Stable_Up
SC_RS04960,SCO0607,SCO0607 family lipoprotein,4mC,1,1,88.4,100.0,11.6,Increased,2.63,8.52842599836044e-20,1046.0,Up,Increased_Up
SC_RS04975,SCO0610,GntR family transcriptional regulator,6mA,1,1,65.5,60.9,-4.6,Stable,-1.8,1.88335959238973e-09,77.9,Down,Stable_Down
SC_RS05035,SCO0623,MDR family MFS transporter,4mC,0,1,0.0,88.6,88.6,Gained,-0.57,0.0010808997935371,388.9,Mild,Gained_Mild
SC_RS05135,SCO0643,lytic polysaccharide monooxygenase auxiliary activity family 9 protein,6mA,0,1,0.0,52.2,52.2,Gained,-2.04,0.0069588712887171,16.2,Down,Gained_Down
SC_RS05295,SCO0675,SpoIIE family protein phosphatase,6mA,1,1,67.0,59.4,-7.7,Stable,0.95,0.0300956883305645,57.3,Mild,Stable_Mild
SC_RS05300,SCO0676,SpoIIE family protein phosphatase/ATP-binding protein,6mA,0,1,0.0,58.3,58.3,Gained,1.62,5.338315364504786e-20,671.1,Up,Gained_Up
SC_RS05310,SCO0678,CsbD family protein,4mC,1,1,83.8,93.7,10.0,Stable,1.68,0.0038905522649724,17.9,Up,Stable_Up
SC_RS05315,SCO0679,hypothetical protein,4mC,1,1,83.8,93.7,10.0,Stable,1.15,0.0047924473016676,38.4,Up,Stable_Up
SC_RS05330,SCO0682,roadblock/LC7 domain-containing protein,6mA,1,0,52.3,0.0,-52.3,Lost,5.03,4.385055683555202e-91,3448.2,Up,Lost_Up
SC_RS05370,SCO0690,FAD binding domain-containing protein,6mA,1,0,54.7,0.0,-54.7,Lost,-1.6,0.0095235671868863,22.0,Down,Lost_Down
SC_RS05430,SCO0701,hypothetical protein,4mC,1,1,97.0,97.9,1.0,Stable,2.06,7.358220758126989e-19,801.8,Up,Stable_Up
SC_RS05450,SCO0705,SAM-dependent methyltransferase,4mC,1,2,85.5,65.5,-20.1,Decreased,2.73,7.290030420962506e-33,3778.4,Up,Decreased_Up
SC_RS05515,SCO0718,hypothetical protein,4mC,1,1,65.5,71.6,6.1,Stable,1.79,0.0089805103244591,9.0,Up,Stable_Up
SC_RS05530,SCO0721,glycoside hydrolase family 65 protein,6mA,1,1,63.3,59.8,-3.4,Stable,1.86,4.136629975236012e-08,87.9,Up,Stable_Up
SC_RS05555,SCO0725,hypothetical protein,6mA,1,1,76.3,71.0,-5.3,Stable,1.16,0.0002964907747386518,49.1,Up,Stable_Up
SC_RS05585,SCO0731,MalY/PatB family protein,6mA,1,0,62.2,0.0,-62.2,Lost,1.4,1.045062206635053e-13,162.3,Up,Lost_Up
SC_RS05610,SCO0736,L%2CD-transpeptidase family protein,6mA,1,1,72.0,62.4,-9.6,Stable,0.86,0.000685382070589596,5281.0,Mild,Stable_Mild
SC_RS05825,SCO0779,VOC family protein,6mA,1,1,63.9,53.5,-10.4,Decreased,1.25,3.821529206333973e-06,63.5,Up,Decreased_Up
SC_RS05830,SCO0780,NADP-dependent oxidoreductase,6mA,1,1,63.9,53.5,-10.4,Decreased,2.01,2.4744149038777826e-18,116.7,Up,Decreased_Up
SC_RS05945,SCO0803,RNA polymerase sigma factor SigJ,6mA,2,1,62.5,55.1,-7.4,Stable,0.86,5.183747671411858e-06,302.0,Mild,Stable_Mild
SC_RS06110,SCO0836,mechanosensitive ion channel family protein,6mA,0,1,0.0,50.6,50.6,Gained,-1.65,0.0012194531083653,31.4,Down,Gained_Down
SC_RS06225,SCO0859,copper chaperone PCu(A)C,4mC,0,1,0.0,86.8,86.8,Gained,2.74,1.5616113423258453e-15,81.3,Up,Gained_Up
SC_RS06230,SCO0860,heavy metal translocating P-type ATPase,6mA,1,0,51.6,0.0,-51.6,Lost,3.17,1.45020125237929e-38,1330.6,Up,Lost_Up
SC_RS06230,SCO0860,heavy metal translocating P-type ATPase,4mC,0,1,0.0,63.8,63.8,Gained,3.17,1.45020125237929e-38,1330.6,Up,Gained_Up
SC_RS06245,SCO0863,PepSY-associated TM helix domain-containing protein,6mA,0,1,0.0,59.1,59.1,Gained,3.99,3.6567861703059943e-47,2825.5,Up,Gained_Up
SC_RS06245,SCO0863,PepSY-associated TM helix domain-containing protein,4mC,1,1,80.9,94.1,13.2,Increased,3.99,3.6567861703059943e-47,2825.5,Up,Increased_Up
SC_RS06255,SCO0865,hypothetical protein,4mC,0,1,0.0,87.8,87.8,Gained,2.04,2.2757792949275656e-11,857.0,Up,Gained_Up
SC_RS06310,SCO0877,helix-turn-helix transcriptional regulator,6mA,0,1,0.0,53.1,53.1,Gained,1.69,3.741050281151121e-24,654.9,Up,Gained_Up
SC_RS06430,SCO0897,PPC domain-containing DNA-binding protein,6mA,1,0,59.5,0.0,-59.5,Lost,0.8,0.0366907775739251,30.6,Mild,Lost_Mild
SC_RS06510,SCO0912,ergothioneine biosynthesis protein EgtC,4mC,1,1,96.2,96.5,0.3,Stable,4.96,1.5492100661302076e-102,546.0,Up,Stable_Up
SC_RS06530,SCO0916,phosphatase domain-containing protein,4mC,1,1,89.2,89.1,-0.0,Stable,1.93,5.2348487996514775e-14,73.4,Up,Stable_Up
SC_RS06535,SCO0917,LLM class flavin-dependent oxidoreductase,4mC,1,1,89.2,89.1,-0.0,Stable,2.9,2.8551528532779728e-28,233.8,Up,Stable_Up
SC_RS06595,SCO0929,SAM-dependent methyltransferase,6mA,1,1,59.5,60.2,0.8,Stable,2.66,1.812753700778313e-41,259.7,Up,Stable_Up
SC_RS06595,SCO0929,SAM-dependent methyltransferase,4mC,0,1,0.0,51.8,51.8,Gained,2.66,1.812753700778313e-41,259.7,Up,Gained_Up
SC_RS06675,SCO0945,Fpg/Nei family DNA glycosylase,6mA,1,1,57.3,64.0,6.6,Stable,1.85,1.1649916813416757e-12,91.3,Up,Stable_Up
SC_RS06690,SCO0948,alpha-mannosidase,4mC,1,1,85.8,90.5,4.7,Stable,1.62,1.971098882147859e-09,128.4,Up,Stable_Up
SC_RS06765,SCO0962,glycogen synthase,6mA,1,1,52.4,54.4,1.9,Stable,1.31,0.00013867414588694752,55.3,Up,Stable_Up
