gene_id,old_locus_tag,product,mod_type,T1_sites,T2_sites,T1_mean_freq,T2_mean_freq,methyl_change,methyl_category,log2FC,padj,baseMean,expr_category,coordination
SC_RS10145,SCO1627,GTP-binding protein,6mA,1,0,52.2,0.0,-52.2,Lost,9.62,2.1059570455051947e-113,1884.1,Up,Lost_Up
SC_RS13380,SCO2271,HtaA domain-containing protein,6mA,1,0,52.1,0.0,-52.1,Lost,6.69,3.7992908162962394e-92,1347.0,Up,Lost_Up
SC_RS18280,SCO3233,alpha/beta fold hydrolase,4mC,1,1,90.9,77.2,-13.7,Decreased,6.59,1.5504478801806883e-79,826.2,Up,Decreased_Up
SC_RS28275,SCO5219,HD-GYP domain-containing protein,4mC,1,1,82.2,70.3,-11.9,Decreased,5.54,4.001425761464134e-89,471.4,Up,Decreased_Up
SC_RS15915,SCO2766,endonuclease I family protein,4mC,1,0,62.8,0.0,-62.8,Lost,5.46,6.519351016219366e-48,186.2,Up,Lost_Up
SC_RS36055,SCO6774,SGNH/GDSL hydrolase family protein,6mA,1,0,51.4,0.0,-51.4,Lost,5.39,2.649975978960972e-135,1981.9,Up,Lost_Up
SC_RS05330,SCO0682,roadblock/LC7 domain-containing protein,6mA,1,0,52.3,0.0,-52.3,Lost,5.03,4.385055683555202e-91,3448.2,Up,Lost_Up
SC_RS21125,SCO3800,acyl-CoA dehydrogenase,6mA,0,1,0.0,50.7,50.7,Gained,-4.56,3.631472669398576e-99,2718.5,Down,Gained_Down
SC_RS04125,SCO0443,5-oxoprolinase subunit C family protein,6mA,2,1,62.6,74.8,12.2,Increased,-4.49,1.3171677023517122e-23,73.8,Down,Increased_Down
SC_RS23320,SCO4227,hypothetical protein,4mC,1,1,63.3,50.3,-12.9,Decreased,4.48,2.270043796807783e-42,482.8,Up,Decreased_Up
SC_RS12380,SCO2068,alkaline phosphatase D family protein,4mC,1,1,92.4,79.7,-12.7,Decreased,4.44,3.902837576067351e-95,3803.2,Up,Decreased_Up
SC_RS13370,SCO2269,hypothetical protein,6mA,1,0,52.8,0.0,-52.8,Lost,4.16,1.3358382710448433e-42,399.6,Up,Lost_Up
SC_RS03920,SCO0402,phosphatase PAP2 family protein,6mA,1,0,52.9,0.0,-52.9,Lost,3.81,3.166332051850108e-61,916.6,Up,Lost_Up
SC_RS35055,SCO6572,ThuA domain-containing protein,6mA,1,0,51.2,0.0,-51.2,Lost,3.68,6.642139933225504e-22,905.5,Up,Lost_Up
SC_RS32330,SCO6019,PLL family lectin,4mC,0,1,0.0,90.6,90.6,Gained,-3.66,7.280974464883806e-96,863.1,Down,Gained_Down
SC_RS09835,SCO1564,sigma-70 family RNA polymerase sigma factor,6mA,1,0,50.3,0.0,-50.3,Lost,3.56,2.6224452530615437e-26,74.9,Up,Lost_Up
SC_RS36280,SCO6818,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,6mA,1,0,53.8,0.0,-53.8,Lost,3.56,9.703507526755393e-30,166.1,Up,Lost_Up
