gene_id,old_locus_tag,product,mod_type,T1_sites,T2_sites,T1_mean_freq,T2_mean_freq,methyl_change,methyl_category,log2FC,padj,baseMean,expr_category,coordination
SC_RS03540,SCO0324,esterase-like activity of phytase family protein,4mC,0,1,0.0,66.8,66.8,Gained,10.95,1.5156487716504137e-208,7437.3,Up,Gained_Up
SC_RS02090,SCO0005,Mu transposase C-terminal domain-containing protein,4mC,0,1,0.0,90.8,90.8,Gained,9.68,6.467811215071488e-13,37.6,Up,Gained_Up
SC_RS38475,SCO7252,DNA-binding protein NsdB,4mC,0,1,0.0,92.3,92.3,Gained,9.32,3.5040142420988754e-226,9088.5,Up,Gained_Up
SC_RS03820,SCO0382,nucleotide sugar dehydrogenase,4mC,0,1,0.0,75.2,75.2,Gained,9.25,2.6645209861139977e-128,2916.2,Up,Gained_Up
SC_RS18310,SCO3239,TatD family hydrolase,6mA,0,1,0.0,51.2,51.2,Gained,8.96,1.190047041178338e-46,721.2,Up,Gained_Up
SC_RS36160,SCO6796,DUF742 domain-containing protein,4mC,0,1,0.0,93.3,93.3,Gained,8.79,2.470536268447503e-24,224.1,Up,Gained_Up
SC_RS09840,SCO1565,glycerophosphodiester phosphodiesterase,6mA,0,1,0.0,56.9,56.9,Gained,8.29,8.260064023319935e-205,3366.9,Up,Gained_Up
SC_RS41345,SCO7842,Mu transposase C-terminal domain-containing protein,4mC,0,1,0.0,87.1,87.1,Gained,8.07,5.756079931935038e-09,14.3,Up,Gained_Up
SC_RS11025,SCO1800,chaplin ChpE,4mC,1,1,51.0,70.8,19.8,Increased,7.96,2.9371214379930388e-173,10033.5,Up,Increased_Up
SC_RS04860,SCO0587,roadblock/LC7 domain-containing protein,6mA,0,1,0.0,52.8,52.8,Gained,7.53,1.609764913148607e-68,346.1,Up,Gained_Up
SC_RS33670,SCO6284,acyl-CoA carboxylase subunit beta,6mA,1,1,52.4,64.4,12.0,Increased,7.36,1.3859434302175416e-132,2919.9,Up,Increased_Up
SC_RS08425,SCO1293,GNAT family N-acetyltransferase,6mA,1,1,51.2,66.2,15.0,Increased,6.79,8.869809665435927e-181,8440.0,Up,Increased_Up
SC_RS31380,SCO5827,solute symporter family protein,6mA,0,1,0.0,54.1,54.1,Gained,6.75,1.1522480665657204e-173,1973.3,Up,Gained_Up
SC_RS03040,SCO0219,respiratory nitrate reductase subunit gamma,6mA,0,1,0.0,59.7,59.7,Gained,6.32,8.075013626398953e-26,156.5,Up,Gained_Up
SC_RS11875,SCO1969,methylated-DNA--[protein]-cysteine S-methyltransferase,4mC,0,1,0.0,54.6,54.6,Gained,5.53,9.420012158200229e-96,7059.6,Up,Gained_Up
SC_RS41080,SCO7784,NADPH-dependent oxidoreductase,4mC,0,1,0.0,60.3,60.3,Gained,5.35,4.2889865924211687e-60,586.4,Up,Gained_Up
SC_RS07820,SCO1174,acetaldehyde dehydrogenase ExaC,6mA,1,1,51.0,64.9,13.9,Increased,5.28,9.024531985256285e-72,556.5,Up,Increased_Up
