regulator,target,effect,evidence
bldD,adpA,repression,ChIP
bldD,bldN,repression,ChIP
bldD,bldM,repression,ChIP
bldD,whiG,repression,ChIP
adpA,bldA,activation,ChIP
adpA,ramR,activation,ChIP
adpA,sti1,activation,ChIP
bldA,adpA,translation,TTA codon
bldA,actII-ORF4,translation,TTA codon
absA2,actII-ORF4,repression,genetic
absA2,redD,repression,genetic
absA2,cdaR,repression,genetic
actII-ORF4,actI-ORF1,activation,DNase footprint
actII-ORF4,actIII,activation,genetic
redD,redL,activation,genetic
redZ,redD,activation,genetic
afsR,actII-ORF4,activation,genetic
afsR,redD,activation,genetic
afsK,afsR,phosphorylation,biochemical
