name,locus_tag,tier,category,bgc,total_T1_sites,total_T2_sites,total_T3_sites,methyl_status_T2vsT1,log2FC_T2_vs_T1,padj_T2_vs_T1,corr_act,corr_red
bldA,SC_RS26640,1,global,,0.0,0.0,0.0,Unmethylated,-1.1675191738225563,2.905496021816776e-12,,
bldB,SC_RS25655,1,global,,0.0,0.0,0.0,Unmethylated,-0.93828052814229,6.674061179273632e-06,,
bldC,SC_RS36355,1,global,,0.0,0.0,0.0,Unmethylated,,,,
bldD,SC_RS25165,1,global,,0.0,0.0,0.0,Unmethylated,-0.8175837466022913,3.4412646201797785e-06,,
bldG,SC_RS25070,1,global,,0.0,0.0,0.0,Unmethylated,-2.746863405855966,1.1040873561314888e-57,,
bldH/adpA,SC_RS14000,1,global,,0.0,0.0,0.0,Unmethylated,-1.2685932634019623,6.83529811948411e-10,,
bldM,SC_RS18130,1,global,,0.0,0.0,0.0,Unmethylated,-0.3681654051758014,0.0802109448755053,,
bldN,SC_RS26120,1,global,,2.0,1.0,2.0,Lost in T2,0.4979184898186564,0.0885748039057636,,
afsR,SC_RS24295,1,global,,1.0,1.0,1.0,Stable methylation,-0.2613866005478055,0.1043531541894939,-0.8251885195379717,-0.7487943295029207
afsK,SC_RS24290,1,global,,0.0,0.0,0.0,Unmethylated,3.0437423354372095,3.955657029836234e-26,,
afsS,SC_RS22980,1,global,,1.0,1.0,0.0,Stable methylation,-0.0261795784401953,0.9099118869510534,-0.8089210694650282,-0.5726873645746964
crp,SC_RS10725,1,global,,0.0,0.0,0.0,Unmethylated,-0.5137785811383906,0.0985029875333905,,
dasR,SC_RS19305,1,global,,0.0,0.0,0.0,Unmethylated,-0.0952610565102431,0.79551176683458,,
absA2,SC_RS02970,2,pleiotropic,,0.0,0.0,0.0,Unmethylated,6.294033238583641,1.7557265487615575e-81,0.6125643727459487,0.9438553198240652
absA1,SC_RS02965,2,pleiotropic,,0.0,0.0,0.0,Unmethylated,2.900028857681269,1.762084019276586e-32,0.5733551727138825,0.9438240900236162
absB,SC_RS27825,2,pleiotropic,,0.0,0.0,0.0,Unmethylated,-1.4508160192055974,0.0001810578301708,,
afsQ1,SC_RS33490,2,pleiotropic,,0.0,0.0,0.0,Unmethylated,1.0119536160667784,1.9732919734607312e-05,,
afsQ2,SC_RS33495,2,pleiotropic,,0.0,0.0,0.0,Unmethylated,0.6382875541426741,0.1630648613847442,,
nsdA,SC_RS35450,2,pleiotropic,,0.0,0.0,0.0,Unmethylated,,,,
nsdB,SC_RS37265,2,pleiotropic,,0.0,0.0,0.0,Unmethylated,1.445238510780667,9.008839764266004e-09,,
wblA,SC_RS04915,2,pleiotropic,,0.0,0.0,0.0,Unmethylated,0.335175139315826,0.1152704122088925,,
actII-ORF4,SC_RS27570,3,csr,act,0.0,0.0,0.0,Unmethylated,-0.8299871201264029,0.0013098396526155,0.9535598964902904,0.5716056936941317
redD,SC_RS27225,3,csr,red,0.0,0.0,0.0,Unmethylated,4.765825121668314,4.026305883724346e-51,,
redZ,SC_RS27300,3,csr,red,2.0,2.0,0.0,Stable methylation,-2.2543700120671244,1.2788777406186013e-17,,
cdaR,SC_RS17785,3,csr,cda,0.0,0.0,0.0,Unmethylated,-0.1333645403346229,0.6632159436493483,,
cpkO/kasO,SC_RS31605,3,csr,cpk,0.0,0.0,0.0,Unmethylated,0.0046734007564002,0.9835848607569058,-0.6148324169769588,-0.5168496140801002
papR2,SC_RS18200,3,csr,multiple,0.0,0.0,0.0,Unmethylated,6.850365978212149,9.1400906067725e-162,0.3636271437408448,0.8518964038123353
hrdB,SC_RS25850,1,sigma,,0.0,0.0,0.0,Unmethylated,0.273041405214495,0.2111963127075209,,
hrdA,SC_RS23200,2,sigma,,0.0,0.0,0.0,Unmethylated,-1.186615845429349,0.0002117060189449,,
hrdC,SC_RS25845,2,sigma,,0.0,0.0,0.0,Unmethylated,-2.556252880127289,1.3455297879113467e-46,,
hrdD,SC_RS25840,2,sigma,,0.0,0.0,0.0,Unmethylated,-2.3177363290344934,3.226338279891677e-47,,
sigE,SC_RS24925,2,sigma,,0.0,0.0,0.0,Unmethylated,-0.578124818010176,0.2054664899082437,,
sigH,SC_RS25290,2,sigma,,0.0,0.0,0.0,Unmethylated,-0.9170068387491788,0.0886224581457617,,
sigR,SC_RS26330,2,sigma,,0.0,0.0,0.0,Unmethylated,-0.0771437821023712,0.8107176828679432,,
sigF,SC_RS04925,2,sigma,,0.0,0.0,0.0,Unmethylated,-1.2591318297701912,6.036519699991251e-07,-0.3283542263451476,-0.674359141918598
sigB,SC_RS26785,2,sigma,,0.0,0.0,0.0,Unmethylated,0.0236024135629087,0.9372750465120674,,
sigU,SC_RS04965,2,sigma,,0.0,0.0,0.0,Unmethylated,1.4874595631570964,3.0245989862219055e-08,0.2410322362281461,0.7803986290730112
