locus_tag,total_T1,total_T2,log2FC,bgc
SC_RS27500,0,0,-0.2016682321445138,Act
SC_RS27505,0,0,1.291468658734121,Act
SC_RS27510,1,0,0.4210869122576681,Act
SC_RS27515,0,0,1.24633732616446,Act
SC_RS27520,0,0,1.6050095836143912,Act
SC_RS27525,0,0,1.0052736106236175,Act
SC_RS27530,0,0,1.7267121382991433,Act
SC_RS27535,1,1,1.0452559451933645,Act
SC_RS27540,0,0,1.2149238029343046,Act
SC_RS27545,0,0,2.0782913377319443,Act
SC_RS27550,0,0,1.6991290041587663,Act
SC_RS27555,1,0,1.4447110627908997,Act
SC_RS27560,0,0,1.6087260311127491,Act
SC_RS27565,0,0,-0.160935131907637,Act
SC_RS27570,0,0,-0.8299871201264029,Act
SC_RS27575,0,0,-1.4687563772126313,Act
SC_RS27580,0,0,-1.768552089846399,Act
SC_RS27585,0,0,1.9854878028690233,Act
SC_RS27590,0,0,1.7441447828977934,Act
SC_RS27595,0,0,1.415688330363807,Act
SC_RS27210,0,0,3.4169368630321326,Red
SC_RS27215,1,1,3.883217572954316,Red
SC_RS27220,1,1,5.026768107387825,Red
SC_RS27225,0,0,4.765825121668314,Red
SC_RS27230,0,0,5.386972910395275,Red
SC_RS27235,0,0,2.758650842364535,Red
SC_RS27240,0,0,3.351424211861658,Red
SC_RS27245,0,0,1.3425897053232263,Red
SC_RS27250,0,0,1.835086357005902,Red
SC_RS27255,1,1,1.0030971831714777,Red
SC_RS27260,0,0,0.49512562708479,Red
