mod_type,comparison,region,n_genes,spearman_r,p_value
6mA,T2_vs_T1,promoter,357,0.044508141394929486,0.4017932618647353
6mA,T2_vs_T1,gene_body,944,-0.007581922754712955,0.8160362209501076
6mA,T3_vs_T1,promoter,360,-0.12580840118051628,0.016929223258125806
6mA,T3_vs_T1,gene_body,936,-0.08075268144093507,0.013462566224383462
6mA,T3_vs_T2,promoter,374,-0.10891694545454622,0.03524168901474826
6mA,T3_vs_T2,gene_body,975,0.028998133258030568,0.3657329369457455
4mC,T2_vs_T1,promoter,442,-0.008826406887338914,0.853195534754504
4mC,T2_vs_T1,gene_body,1304,0.007414059790811,0.789103005709138
4mC,T3_vs_T1,promoter,319,-0.04479631334931198,0.425249367956787
4mC,T3_vs_T1,gene_body,1015,-0.02810167511149362,0.3711258262440885
4mC,T3_vs_T2,promoter,354,-0.027500799005487145,0.6060695752452858
4mC,T3_vs_T2,gene_body,1164,0.007935992009787151,0.7867993707201932
