mod_type,comparison,distance_bin,bin_range,n_genes,spearman_r,p_value,region
6mA,T2_vs_T1,distal_upstream,-300 to -200,103,-0.0813493425445191,0.4139942149369842,
6mA,T2_vs_T1,mid_upstream,-200 to -100,115,0.1076354023902512,0.2522168283153904,
6mA,T2_vs_T1,proximal_upstream,-100 to -50,56,-0.0626110731373889,0.6466500065070185,
6mA,T2_vs_T1,core_promoter,-50 to 0,53,0.1349809502965408,0.3352145761738637,
6mA,T2_vs_T1,TSS_proximal,0 to 50,37,0.3025130393551446,0.0687798609780245,
6mA,T2_vs_T1,early_gene_body,50 to 200,157,-0.0474900981540729,0.5547700240947837,
6mA,T2_vs_T1,mid_gene_body,200 to 500,313,-0.0181360385845438,0.7492701961031596,
6mA,T2_vs_T1,distal_gene_body,500 to 1000,526,-0.0392655378529162,0.3687873588157392,
6mA,T3_vs_T1,distal_upstream,-300 to -200,105,-0.0466931717462822,0.6362179371472846,
6mA,T3_vs_T1,mid_upstream,-200 to -100,107,-0.063965947525485,0.5127458775421077,
6mA,T3_vs_T1,proximal_upstream,-100 to -50,63,-0.1510656682027649,0.2372721375796289,
6mA,T3_vs_T1,core_promoter,-50 to 0,55,-0.1268106140356373,0.3562243078070873,
6mA,T3_vs_T1,TSS_proximal,0 to 50,37,-0.2939781887150308,0.0773820319153176,
6mA,T3_vs_T1,early_gene_body,50 to 200,163,-0.0789482434701647,0.3164637612168445,
6mA,T3_vs_T1,mid_gene_body,200 to 500,312,-0.0452603467603286,0.4256505049922002,
6mA,T3_vs_T1,distal_gene_body,500 to 1000,528,-0.088063918346385,0.0431051089698713,
6mA,T3_vs_T2,distal_upstream,-300 to -200,114,0.0291611314521395,0.7580900487635267,
6mA,T3_vs_T2,mid_upstream,-200 to -100,114,-0.0849034442543334,0.3691037529373706,
6mA,T3_vs_T2,proximal_upstream,-100 to -50,58,-0.1028945830385432,0.4421268408670673,
6mA,T3_vs_T2,core_promoter,-50 to 0,54,-0.2845870895712126,0.0370069320372834,
6mA,T3_vs_T2,TSS_proximal,0 to 50,40,-0.1530090531257827,0.34588844571946,
6mA,T3_vs_T2,early_gene_body,50 to 200,178,0.0301055134571932,0.6899533982675123,
6mA,T3_vs_T2,mid_gene_body,200 to 500,322,0.0366012740653208,0.5128209611561099,
6mA,T3_vs_T2,distal_gene_body,500 to 1000,565,-0.0365539374660229,0.3858090030048701,
4mC,T2_vs_T1,distal_upstream,-300 to -200,149,-0.0187811992110817,0.8201569843879105,
4mC,T2_vs_T1,mid_upstream,-200 to -100,148,-0.0741201414481954,0.3706282524722715,
4mC,T2_vs_T1,proximal_upstream,-100 to -50,66,-0.0284109886501448,0.8208533093695515,
4mC,T2_vs_T1,core_promoter,-50 to 0,27,0.0378510378510378,0.8513156942053681,
4mC,T2_vs_T1,TSS_proximal,0 to 50,65,0.2217463040593918,0.075854887365265,
4mC,T2_vs_T1,early_gene_body,50 to 200,226,0.0075365561176926,0.9102901048263166,
4mC,T2_vs_T1,mid_gene_body,200 to 500,434,0.002597631561294,0.9569673410308338,
4mC,T2_vs_T1,distal_gene_body,500 to 1000,744,0.0420585626498482,0.2518850590484157,
4mC,T3_vs_T1,distal_upstream,-300 to -200,104,-0.0624509892838784,0.5288284720807412,
4mC,T3_vs_T1,mid_upstream,-200 to -100,100,0.0317671767176717,0.7537055694666381,
4mC,T3_vs_T1,proximal_upstream,-100 to -50,50,-0.2768920479566072,0.0515768541434531,
4mC,T3_vs_T1,core_promoter,-50 to 0,22,0.1710897797854319,0.4464902890766692,
4mC,T3_vs_T1,TSS_proximal,0 to 50,46,0.0585260561208757,0.6992371761737839,
4mC,T3_vs_T1,early_gene_body,50 to 200,171,-0.1172092733026954,0.1268267823298793,
4mC,T3_vs_T1,mid_gene_body,200 to 500,326,0.0095497827213662,0.8636203784345001,
4mC,T3_vs_T1,distal_gene_body,500 to 1000,578,0.0449277657596795,0.2808806954388505,
4mC,T3_vs_T2,distal_upstream,-300 to -200,118,-0.1031962836635591,0.2661221309173457,
4mC,T3_vs_T2,mid_upstream,-200 to -100,112,0.056983975125568,0.5506532550428298,
4mC,T3_vs_T2,proximal_upstream,-100 to -50,53,-0.0850720695034261,0.5447369462653786,
4mC,T3_vs_T2,core_promoter,-50 to 0,22,0.2636928289102203,0.2357156422295938,
4mC,T3_vs_T2,TSS_proximal,0 to 50,53,-0.1008708272859216,0.4723405301071562,
4mC,T3_vs_T2,early_gene_body,50 to 200,188,0.0152978157200673,0.8349429250103788,
4mC,T3_vs_T2,mid_gene_body,200 to 500,388,0.0708841830219778,0.163467153466094,
4mC,T3_vs_T2,distal_gene_body,500 to 1000,662,-0.0027369892061927,0.9439644110110348,
6mA,T2_vs_T1,,,46,0.07357612017436303,0.6270069954567012,SARP_zone_(-60_to_-20)
6mA,T3_vs_T1,,,47,-0.1447775433521062,0.33157513574212877,SARP_zone_(-60_to_-20)
6mA,T3_vs_T2,,,45,-0.16864850630052275,0.26810016897939715,SARP_zone_(-60_to_-20)
4mC,T2_vs_T1,,,31,0.08367779052505855,0.6544860655751429,SARP_zone_(-60_to_-20)
4mC,T3_vs_T1,,,22,0.11688311688311688,0.6044509636026157,SARP_zone_(-60_to_-20)
4mC,T3_vs_T2,,,27,0.26190476190476186,0.18694314385930164,SARP_zone_(-60_to_-20)
