Regulator	Tier	BGC	LFC_T3vT1	padj_T3vT1	Methylation_Status	Dual_Change
adpA	1	act	-1.51	5.10e-14	Unmethylated	Expr only
adpA	1	red	-1.51	5.10e-14	Unmethylated	Expr only
adpA	1	cda	-1.51	5.10e-14	Unmethylated	Expr only
afsK	1	act	3.07	1.10e-26	Unmethylated	Expr only
afsK	1	red	3.07	1.10e-26	Unmethylated	Expr only
afsK	1	cda	3.07	1.10e-26	Unmethylated	Expr only
afsR	1	act	-0.92	1.50e-09	Stable	Expr only
afsR	1	red	-0.92	1.50e-09	Stable	Expr only
afsR	1	cda	-0.92	1.50e-09	Stable	Expr only
afsS	1	act	-1.39	3.40e-12	Lost	BOTH
afsS	1	red	-1.39	3.40e-12	Lost	BOTH
afsS	1	cda	-1.39	3.40e-12	Lost	BOTH
bldA	1	act	-2.11	2.50e-36	Unmethylated	Expr only
bldA	1	red	-2.11	2.50e-36	Unmethylated	Expr only
bldB	1	act	0.02	9.10e-01	Unmethylated	Neither
bldB	1	red	0.02	9.10e-01	Unmethylated	Neither
bldB	1	cda	0.02	9.10e-01	Unmethylated	Neither
bldD	1	act	-1.4	4.10e-16	Unmethylated	Expr only
bldD	1	red	-1.4	4.10e-16	Unmethylated	Expr only
bldD	1	cda	-1.4	4.10e-16	Unmethylated	Expr only
bldD	1	cpk	-1.4	4.10e-16	Unmethylated	Expr only
bldG	1	act	-2.68	5.50e-57	Unmethylated	Expr only
bldG	1	red	-2.68	5.50e-57	Unmethylated	Expr only
bldN	1	act	1.46	2.20e-07	Lost	BOTH
bldN	1	red	1.46	2.20e-07	Lost	BOTH
crp	1	act	0.49	6.90e-02	Unmethylated	Neither
crp	1	red	0.49	6.90e-02	Unmethylated	Neither
dasR	1	act	0.91	3.60e-03	Unmethylated	Expr only
dasR	1	red	0.91	3.60e-03	Unmethylated	Expr only
dasR	1	cda	0.91	3.60e-03	Unmethylated	Expr only
absA1	2	act	3.21	1.20e-39	Unmethylated	Expr only
absA1	2	red	3.21	1.20e-39	Unmethylated	Expr only
absA1	2	cda	3.21	1.20e-39	Unmethylated	Expr only
absA2	2	act	7.53	6.40e-116	Unmethylated	Expr only
absA2	2	red	7.53	6.40e-116	Unmethylated	Expr only
absA2	2	cda	7.53	6.40e-116	Unmethylated	Expr only
absB	2	act	0.24	4.70e-01	Unmethylated	Neither
absB	2	red	0.24	4.70e-01	Unmethylated	Neither
nsdA	2	act	2.57	1.70e-18	Unmethylated	Expr only
nsdA	2	red	2.57	1.70e-18	Unmethylated	Expr only
nsdB	2	act	3.38	3.80e-44	Unmethylated	Expr only
nsdB	2	red	3.38	3.80e-44	Unmethylated	Expr only
wblA	2	act	-0.06	7.90e-01	Unmethylated	Neither
wblA	2	red	-0.06	7.90e-01	Unmethylated	Neither
wblA	2	cda	-0.06	7.90e-01	Unmethylated	Neither
hrdD	2	act	-2.84	1.40e-70	Unmethylated	Expr only
hrdD	2	red	-2.84	1.40e-70	Unmethylated	Expr only
sigE	2	act	2.92	1.20e-12	Unmethylated	Expr only
sigF	2	red	-1.26	3.60e-07	Unmethylated	Expr only
sigF	2	cda	-1.26	3.60e-07	Unmethylated	Expr only
sigF	2	cpk	-1.26	3.60e-07	Unmethylated	Expr only
sigU	2	red	0.95	3.20e-04	Unmethylated	Expr only
sigU	2	cda	0.95	3.20e-04	Unmethylated	Expr only
sigU	2	cpk	0.95	3.20e-04	Unmethylated	Expr only
actII-ORF4	3	act	2.6	1.20e-24	Unmethylated	Expr only
cdaR	3	cda	2.42	8.80e-24	Unmethylated	Expr only
cpkO/kasO	3	cpk	-0.11	6.50e-01	Unmethylated	Neither
papR2	3	cda	5.76	1.30e-114	Unmethylated	Expr only
papR2	3	cpk	5.76	1.30e-114	Unmethylated	Expr only
redD	3	red	3.57	2.50e-29	Unmethylated	Expr only
redZ	3	red	-1.1	1.70e-06	Lost	BOTH
