BGC	role	TF_name	locus_tag	6mA_T1	6mA_T2	6mA_T3	4mC_T1	4mC_T2	4mC_T3	6mA_T1_freq	6mA_T2_freq	6mA_T3_freq	4mC_T1_freq	4mC_T2_freq	4mC_T3_freq	LFC_T2v1	padj_T2v1	LFC_T3v1	padj_T3v1	LFC_T3v2	padj_T3v2	6mA_change_T2v1	6mA_change_T3v1	4mC_change_T2v1	4mC_change_T3v1	expr_change_T2v1	expr_change_T3v1
Red	SARP	redD	SC_RS31630	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	5.7894075874883155	5.717037494598303e-87	4.998883834533164	3.458716656384043e-65	-0.7498722581039922	0.0027863849849283	absent	absent	absent	absent	up	up
Red	upstream	redZ	SC_RS31650	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9068138863503556	3.114102431006804e-05	0.9663293723417876	6.189143763629263e-06	0.0582768238324108	0.8102587688180584	absent	absent	absent	absent	mild_change	mild_change
Red	upstream	afsR	SC_RS24295	1	1	1	0	0	0	63.07	64.91	70.43	0.0	0.0	0.0	-0.2613866005478055	0.1043531541894939	-0.9176001898500752	1.5220487151931914e-09	-0.6523794871022786	2.9556875237180236e-05	stable	stable	absent	absent	stable	mild_change
Red	upstream	hrdD	SC_RS18125	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.2915230515511615	0.257102166830076	-0.4817014391254797	0.046857563238997	-0.7776321179039869	0.0015435488400562	absent	absent	absent	absent	stable	mild_change
Red	upstream	absA2	SC_RS18245	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.948799424560244	3.8856279285358134e-05	0.5403133470339974	0.0175229390864308	-0.39908625727976	0.0866232899597614	absent	absent	absent	absent	mild_change	mild_change
Act	SARP	actII-ORF4	SC_RS27585	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.9854878028690233	4.664076720967501e-14	6.435870540124959	6.340036627731633e-136	4.401681273271182	4.3009237815193156e-70	absent	absent	absent	absent	up	up
Act	upstream	afsR	SC_RS24295	1	1	1	0	0	0	63.07	64.91	70.43	0.0	0.0	0.0	-0.2613866005478055	0.1043531541894939	-0.9176001898500752	1.5220487151931914e-09	-0.6523794871022786	2.9556875237180236e-05	stable	stable	absent	absent	stable	mild_change
Act	upstream	hrdD	SC_RS18125	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.2915230515511615	0.257102166830076	-0.4817014391254797	0.046857563238997	-0.7776321179039869	0.0015435488400562	absent	absent	absent	absent	stable	mild_change
Act	upstream	absA2	SC_RS18245	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.948799424560244	3.8856279285358134e-05	0.5403133470339974	0.0175229390864308	-0.39908625727976	0.0866232899597614	absent	absent	absent	absent	mild_change	mild_change
Act	upstream	afsQ1	SC_RS26695	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4448293409983173	1.356600491139982e-12	-2.329414784975276	2.8644506619234738e-30	-0.8555828030371742	4.1771650930285744e-05	absent	absent	absent	absent	down	down
CDA	SARP	cdaR	SC_RS18200	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	6.850365978212149	9.1400906067725e-162	5.758747449978721	1.3139907498249732e-114	-1.0506068239758557	1.3890689805693798e-05	absent	absent	absent	absent	up	up
CDA	upstream	absA2	SC_RS18245	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.948799424560244	3.8856279285358134e-05	0.5403133470339974	0.0175229390864308	-0.39908625727976	0.0866232899597614	absent	absent	absent	absent	mild_change	mild_change
CDA	upstream	afsR	SC_RS24295	1	1	1	0	0	0	63.07	64.91	70.43	0.0	0.0	0.0	-0.2613866005478055	0.1043531541894939	-0.9176001898500752	1.5220487151931914e-09	-0.6523794871022786	2.9556875237180236e-05	stable	stable	absent	absent	stable	mild_change
CPK	SARP	cpkO/kasO	SC_RS33650	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	7.177587903839435	3.3460251875646325e-172	5.210139159581922	2.4175569255900162e-91	-1.9240330058261077	3.7603984693287766e-16	absent	absent	absent	absent	up	up
CPK	upstream	afsR	SC_RS24295	1	1	1	0	0	0	63.07	64.91	70.43	0.0	0.0	0.0	-0.2613866005478055	0.1043531541894939	-0.9176001898500752	1.5220487151931914e-09	-0.6523794871022786	2.9556875237180236e-05	stable	stable	absent	absent	stable	mild_change
CPK	upstream	absA2	SC_RS18245	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.948799424560244	3.8856279285358134e-05	0.5403133470339974	0.0175229390864308	-0.39908625727976	0.0866232899597614	absent	absent	absent	absent	mild_change	mild_change
