name	locus_tag	tier	category	bgc	6mA_coordination_T2vsT1	4mC_coordination_T2vsT1	combined_coordination_T2vsT1	6mA_coordination_T3vsT1	4mC_coordination_T3vsT1	combined_coordination_T3vsT1	6mA_coordination_T3vsT2	4mC_coordination_T3vsT2	combined_coordination_T3vsT2
bldA	SC_RS28375	1	global		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	no_change	no_change	no_change
bldB	SC_RS30830	1	global		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
bldC	SC_RS22590	1	global		expr_only	expr_only	expr_only	no_change	no_change	no_change	expr_only	expr_only	expr_only
bldD	SC_RS09420	1	global		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
bldG	SC_RS19880	1	global		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
bldH/adpA	SC_RS16045	1	global		no_change	no_change	no_change	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
bldM	SC_RS26000	1	global		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
bldN	SC_RS18720	1	global		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
afsR	SC_RS24295	1	global		no_change	no_change	no_change	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
afsK	SC_RS24280	1	global		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
afsS	SC_RS24290	1	global		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	no_change	no_change	no_change
crp	SC_RS19990	1	global		no_change	no_change	no_change	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
dasR	SC_RS28335	1	global		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	no_change	no_change	no_change
absA2	SC_RS18245	2	pleiotropic		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	no_change	no_change	no_change
absA1	SC_RS18240	2	pleiotropic		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	no_change	no_change	no_change
absB	SC_RS30075	2	pleiotropic		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
afsQ1	SC_RS26695	2	pleiotropic		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
afsQ2	SC_RS26690	2	pleiotropic		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
nsdA	SC_RS30130	2	pleiotropic		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
nsdB	SC_RS11445	2	pleiotropic		no_change	no_change	no_change	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
wblA	SC_RS20030	2	pleiotropic		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
actII-ORF4	SC_RS27585	3	csr	act	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
redD	SC_RS31630	3	csr	red	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
redZ	SC_RS31650	3	csr	red	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	no_change	no_change	no_change
cdaR	SC_RS18200	3	csr	cda	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
cpkO/kasO	SC_RS33650	3	csr	cpk	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
papR2	SC_RS35040	3	csr	multiple	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
hrdB	SC_RS31340	1	sigma		no_change	no_change	no_change	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
hrdA	SC_RS19450	2	sigma		no_change	no_change	no_change	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
hrdC	SC_RS30330	2	sigma		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	no_change	no_change	no_change
hrdD	SC_RS18125	2	sigma		no_change	no_change	no_change	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
sigE	SC_RS18895	2	sigma		no_change	no_change	no_change	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
sigH	SC_RS28395	2	sigma		expr_only	expr_only	expr_only	no_change	no_change	no_change	expr_only	expr_only	expr_only
sigR	SC_RS28260	2	sigma		expr_only	expr_only	expr_only	no_change	no_change	no_change	expr_only	expr_only	expr_only
sigF	SC_RS22295	2	sigma		no_change	no_change	no_change	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
sigB	SC_RS04925	2	sigma		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	no_change	no_change	no_change
sigU	SC_RS16875	2	sigma		expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only	expr_only
