tf_family	n_genes	n_methylated	n_DEG	n_both_methyl_DEG	n_in_lit37	methylation_rate	DEG_rate
TetR	178	26	106	14	0	14.6	59.6
HTH (other)	163	28	96	19	1	17.2	58.9
Other regulatory	126	21	91	16	3	16.7	72.2
Sensor kinase	83	17	52	13	3	20.5	62.7
Response regulator	81	12	48	10	4	14.8	59.3
Sigma factor	78	15	45	9	11	19.2	57.7
GntR	48	5	34	4	1	10.4	70.8
MarR	46	3	27	2	0	6.5	58.7
LysR	42	8	17	5	0	19.0	40.5
LacI	35	7	21	3	0	20.0	60.0
MerR	28	8	13	1	0	28.6	46.4
ArsR	27	3	15	1	0	11.1	55.6
ROK	23	5	15	4	0	21.7	65.2
IclR	16	2	7	1	0	12.5	43.8
Lrp	16	0	8	0	0	0.0	50.0
WhiB	13	2	8	1	1	15.4	61.5
AraC	12	2	4	0	0	16.7	33.3
PadR	9	0	5	0	0	0.0	55.6
Repressor	7	0	6	0	1	0.0	85.7
SARP	7	0	6	0	4	0.0	85.7
DeoR	6	1	5	1	0	16.7	83.3
Activator	4	0	2	0	0	0.0	50.0
Anti-sigma	3	0	2	0	0	0.0	66.7
CRP/FNR	2	0	1	0	1	0.0	50.0
XRE	2	0	2	0	0	0.0	100.0
