COG_category	coordinated_62_count	coordinated_62_pct	all_reg_1055_count	all_reg_1055_pct	genome_count	genome_pct	odds_ratio_vs_genome	pvalue_vs_genome
K - Transcription	45	72.58064516129032	816	77.34597156398104	822	9.933534743202417	24.000644053241736	2.6788402750546482e-31
S - Unknown	0	0.0	0	0.0	1597	19.299093655589125	0.0	2.4599111309050817e-06
R - General function	11	17.741935483870968	143	13.554502369668247	2848	34.416918429003026	0.4110004957038995	0.004695897522253686
T - Signal transduction	6	9.67741935483871	84	7.9620853080568725	344	4.157099697885196	2.470203488372093	0.044835103602840036
P - Inorganic ion transport	0	0.0	0	0.0	491	5.933534743202417	0.0	0.05096273725590343
C - Energy production	0	0.0	1	0.09478672985781991	499	6.030211480362538	0.0	0.05201095357279169
E - Amino acid metabolism	0	0.0	5	0.47393364928909953	301	3.6374622356495467	0.0	0.17378692535685197
O - Post-translational mod.	0	0.0	0	0.0	195	2.3564954682779455	0.0	0.4058601065445369
V - Defense mechanisms	0	0.0	1	0.09478672985781991	142	1.7160120845921452	0.0	0.6283893438295187
U - Intracellular trafficking	0	0.0	0	0.0	148	1.7885196374622356	0.0	0.6296717635351075
J - Translation	0	0.0	2	0.18957345971563982	155	1.8731117824773416	0.0	0.6319403457465252
H - Coenzyme metabolism	0	0.0	2	0.18957345971563982	156	1.8851963746223566	0.0	0.6323274989615089
L - Replication/Repair	0	0.0	1	0.09478672985781991	156	1.8851963746223566	0.0	0.6323274989615089
G - Carbohydrate metabolism	0	0.0	0	0.0	179	2.163141993957704	0.0	0.6449167864769255
M - Cell wall/membrane	0	0.0	0	0.0	105	1.2688821752265862	0.0	1.0
N - Cell motility	0	0.0	0	0.0	2	0.02416918429003021	0.0	1.0
I - Lipid metabolism	0	0.0	0	0.0	68	0.8217522658610272	0.0	1.0
Q - Secondary metabolism	0	0.0	0	0.0	15	0.18126888217522658	0.0	1.0
F - Nucleotide metabolism	0	0.0	0	0.0	38	0.459214501510574	0.0	1.0
D - Cell cycle	0	0.0	0	0.0	14	0.1691842900302115	0.0	1.0
