category	motif_group	n_genes	median_LFC_T2vsT1	mean_LFC_T2vsT1	median_LFC_T3vsT1	mean_LFC_T3vsT1	DEG_rate_T2	DEG_rate_T3
Regulatory/TF	AAGCCCG-only	42	-0.1986413954083155	0.036455514787497416	-0.12728106217244856	0.06164411752032695	0.35714285714285715	0.35714285714285715
Regulatory/TF	GCCGGC-only	317	-0.4124811733162103	-0.19486490001043572	-0.3659092394894079	-0.0034509884728721216	0.47318611987381703	0.5236593059936908
Regulatory/TF	Dual-targeted	35	-0.6865194575835192	-0.47578771610208953	-0.8126685634555164	-0.4935650089725243	0.5142857142857142	0.5428571428571428
Regulatory/TF	Background	352	-0.024347748603265648	0.17284451609013057	-0.02979075836092955	0.19884499812377765	0.41761363636363635	0.4602272727272727
Transport	AAGCCCG-only	39	-0.1046739705501691	-0.05778282643102265	1.162815633707151	1.2563005516698234	0.48717948717948717	0.7692307692307693
Transport	GCCGGC-only	281	-0.3828486713219121	-0.1429678691990796	0.5921678842481313	0.6775339662313766	0.5160142348754448	0.6761565836298933
Transport	Dual-targeted	40	-0.7458958113148053	-0.5286565745918043	-0.1502941909474237	0.33489019517738794	0.55	0.7
Transport	Background	271	-0.212841556177909	0.049563565566580786	0.4490332022814631	0.7811531896143488	0.5129151291512916	0.6199261992619927
Secondary metabolism	AAGCCCG-only	10	0.6104322707240553	1.485001587883002	-0.06621106132255933	0.38054125653477405	0.9	0.9
Secondary metabolism	GCCGGC-only	117	-0.4739503924226624	0.7900240153899899	-0.9039830965051492	0.9976881689449778	0.6837606837606838	0.8034188034188035
Secondary metabolism	Dual-targeted	12	-0.671461297640451	-0.7593751167708446	-1.4978219557819519	-0.5386925963606656	0.5	0.75
Secondary metabolism	Background	64	0.2841284228212535	0.988929303528311	0.13246310276883275	1.0174180938555528	0.515625	0.65625
Stress/Defense	AAGCCCG-only	4	0.6751401397252328	1.3198646420186713	0.9371582282772672	1.0868590914059792	0.5	0.5
Stress/Defense	GCCGGC-only	103	-0.167199021365912	0.28854344971492557	-0.3863029029221635	0.21783828273443523	0.3883495145631068	0.6213592233009708
Stress/Defense	Dual-targeted	19	-0.2960428836238869	0.5763376191131783	-0.0274139855313036	0.564263245251481	0.42105263157894735	0.5263157894736842
Stress/Defense	Background	116	0.3656180476700774	0.8443311512533132	0.3624451862417506	1.0678435072392236	0.5689655172413793	0.6293103448275862
Primary metabolism	AAGCCCG-only	108	0.1565561757690993	0.31474779381517204	0.8102299315996401	0.9699158922500095	0.5	0.6574074074074074
Primary metabolism	GCCGGC-only	746	-0.01143595860576805	0.49507308997069044	0.1915962774461496	0.8405901788867975	0.5281501340482574	0.6300268096514745
Primary metabolism	Dual-targeted	89	0.0690292871325768	0.8808014159233943	-0.700753466277191	0.4432207911728299	0.5168539325842697	0.7640449438202247
Primary metabolism	Background	777	0.3118811274149717	0.622972366067355	0.5354407756084131	0.9510058777205425	0.47361647361647363	0.6280566280566281
DNA/RNA metabolism	AAGCCCG-only	26	0.20281163268140845	0.9969314818316679	0.9589023195510411	1.434806059663359	0.5	0.8076923076923077
DNA/RNA metabolism	GCCGGC-only	152	-0.4996396631572858	-0.04235876131750621	-0.9377083658017202	-0.2695830023094785	0.5657894736842105	0.7697368421052632
DNA/RNA metabolism	Dual-targeted	27	-0.6023363770368096	0.05528063505728952	-1.7079779768705912	-0.25614918826983435	0.5185185185185185	0.9629629629629629
DNA/RNA metabolism	Background	151	-0.1660787860778822	0.4661517846730644	0.0164042797485364	0.3322101921949737	0.5695364238410596	0.7152317880794702
Translation	AAGCCCG-only	6	-1.75866950299272	-1.7635753439067832	-1.7606438910241926	-1.8348970165515022	1.0	1.0
Translation	GCCGGC-only	33	-1.917100048684378	-1.4684364144930964	-2.220265738353359	-1.5372258364629712	0.8787878787878788	0.8787878787878788
Translation	Dual-targeted	8	-1.5645662710893657	-1.0396906964591697	-2.3915184578306907	-1.535918730292115	0.75	0.875
Translation	Background	47	-2.1050933256247095	-1.7349422557718457	-2.6557528727273283	-1.968003604999773	0.9361702127659575	0.9148936170212766
Membrane/Cell wall	AAGCCCG-only	3	-0.3705379630333292	-0.29161117970751826	-0.1821380592593351	-0.2631471052041652	0.0	0.3333333333333333
Membrane/Cell wall	GCCGGC-only	33	0.0953689384371638	0.4743256267886685	0.5642345976163283	0.9007727435363112	0.6666666666666666	0.7575757575757576
Membrane/Cell wall	Dual-targeted	6	-1.175003832717684	-0.6201212472079449	-0.7591337564734264	-0.38077505398441885	0.8333333333333334	0.6666666666666666
Membrane/Cell wall	Background	26	-0.017911819392183295	0.5375619102327677	0.3363259467574531	0.9464103241432528	0.2692307692307692	0.6153846153846154
Hypothetical	AAGCCCG-only	49	0.4060224078103886	0.29290367204774254	0.2856983716145593	0.7403031180992243	0.5918367346938775	0.6122448979591837
Hypothetical	GCCGGC-only	318	-0.07673992777888866	0.3631390332791026	0.197205595895668	0.6432372426674159	0.46855345911949686	0.5817610062893082
Hypothetical	Dual-targeted	48	0.2505115468816609	0.4614217129182098	0.1776142176543672	0.5617773083121046	0.6041666666666666	0.6875
Hypothetical	Background	340	0.2539391327312758	0.6358476859838437	0.6361992306551222	0.9988024936170292	0.5323529411764706	0.6205882352941177
Other	AAGCCCG-only	151	0.4449878246520283	0.8324715136472345	0.4888612409793058	0.9386236379811348	0.5695364238410596	0.6754966887417219
Other	GCCGGC-only	1006	0.0268125927590705	0.4094644260078987	0.1519374282287584	0.5595073471141532	0.5556660039761432	0.6550695825049702
Other	Dual-targeted	159	0.0831227542636993	0.628176988712368	-0.0383512364625289	0.7182751241231892	0.5094339622641509	0.5660377358490566
Other	Background	1063	0.2346316892842808	0.6722110045704325	0.57812466449739	0.9523614473678581	0.5239887111947319	0.6274694261523989
