comparison	region	dose_group	n_genes	median_LFC	mean_LFC
T2vsT1	core	0	2019	-0.2934528836199726	0.02283565383231605
T2vsT1	core	1	1694	-0.37613380488950615	0.01004832248196951
T2vsT1	core	2	843	-0.4259207763484892	0.040332502650060754
T2vsT1	core	3	277	-0.366479293049179	0.1452504919907065
T2vsT1	core	4+	110	-0.14304590373412746	0.17732856303992622
T2vsT1	core	spearman	2924	0.010187268745942708	0.581876810816958
T2vsT1	arm	0	1800	0.49714023536467633	0.8917766784086016
T2vsT1	arm	1	600	0.3951400114961238	0.9447369634313189
T2vsT1	arm	2	134	0.33630632345611344	0.5245833477140777
T2vsT1	arm	3	14	0.9692245584355963	0.6469128579438175
T2vsT1	arm	4+	5	5.2894795617368855	4.260092604297666
T2vsT1	arm	spearman	753	-0.03880455408410808	0.287572791239468
T3vsT1	core	0	2019	-0.3419679166370502	-0.034441844663339716
T3vsT1	core	1	1694	-0.45275110263556795	-0.03766935667776016
T3vsT1	core	2	843	-0.4257115140738919	0.03851562025302952
T3vsT1	core	3	277	-0.0562031650889433	0.4533721454955389
T3vsT1	core	4+	110	0.07057943257779435	0.5966730557666406
T3vsT1	core	spearman	2924	0.050191200169211116	0.006635774981745066
T3vsT1	arm	0	1800	1.2408349620044827	1.4710850058063858
T3vsT1	arm	1	600	1.3513889148482092	1.5946939578097439
T3vsT1	arm	2	134	0.7012216807075051	1.084594043449962
T3vsT1	arm	3	14	2.0134471025577163	2.074241024061289
T3vsT1	arm	4+	5	4.300093566477737	2.8718179708662275
T3vsT1	arm	spearman	753	-0.061214381270733434	0.09323818955590164
