location	dose_group	n_genes	median_LFC	mean_LFC	comparison
Promoter	0	7038	-0.017338859020391152	0.32837218119517997	T2vsT1
Promoter	1	434	-0.17729099295664474	0.2351764624354142	T2vsT1
Promoter	2+	24	0.1141985829658789	0.6837285914057304	T2vsT1
Promoter	spearman	458	0.051584562507820945	0.2706031399889796	T2vsT1
Gene body	0	6461	0.0169394120973025	0.3617071216653193	T2vsT1
Gene body	1	889	-0.2802827442278875	0.05325845188914901	T2vsT1
Gene body	2+	146	-0.3512783817528907	0.30974661187193725	T2vsT1
Gene body	spearman	1035	0.02177537511534248	0.4840640313172453	T2vsT1
Promoter	0	7038	0.14745603080813086	0.517974891537534	T3vsT1
Promoter	1	434	0.06498459416103225	0.4972991630056903	T3vsT1
Promoter	2+	24	0.5300566274434874	0.937714228653365	T3vsT1
Promoter	spearman	458	0.0650306696603903	0.1647157152062244	T3vsT1
Gene body	0	6461	0.1862009830941832	0.5581730432634333	T3vsT1
Gene body	1	889	-0.2650928225833322	0.22546502267425214	T3vsT1
Gene body	2+	146	-0.00814262194632335	0.5277111451428934	T3vsT1
Gene body	spearman	1035	0.04773051465822878	0.12488768266089213	T3vsT1
