methyl_type	category	n_genes	n_proximal	expected_proximal	frac_proximal	genome_rate	fold_enrichment	odds_ratio	OR_CI_low	OR_CI_high	p_value	direction	p_bonferroni
GCCGGC_4mC_T1	Cell_division	46	25	21.6	0.5435	0.4689	1.159	1.351	0.755	2.417	0.3743210073192346	enriched	1.0
GCCGGC_4mC_T1	DNA_replication_repair	115	54	53.9	0.4696	0.4689	1.001	1.003	0.693	1.45	1.0	enriched	1.0
GCCGGC_4mC_T1	Energy_respiration	109	66	51.1	0.6055	0.4689	1.291	1.751	1.19	2.578	0.004877940705601368	enriched	0.13170439905123693
GCCGGC_4mC_T1	Hypothetical	1077	435	505.0	0.4039	0.4689	0.861	0.738	0.648	0.841	4.497355420628347e-06	depleted	0.00012142859635696536
GCCGGC_4mC_T1	Other	4951	2315	2321.4	0.4676	0.4689	0.997	0.987	0.904	1.078	0.787465691424817	depleted	1.0
GCCGGC_4mC_T1	Regulatory	1055	500	494.7	0.4739	0.4689	1.011	1.024	0.899	1.165	0.7412426008632564	enriched	1.0
GCCGGC_4mC_T1	Secondary_metabolism	81	63	38.0	0.7778	0.4689	1.659	4.013	2.373	6.789	1.5526042843046833e-08	enriched	4.192031567622645e-07
GCCGGC_4mC_T1	Translation	148	72	69.4	0.4865	0.4689	1.038	1.074	0.776	1.488	0.6784513653853094	enriched	1.0
GCCGGC_4mC_T1	Transport	693	350	324.9	0.5051	0.4689	1.077	1.171	1.003	1.369	0.04687127606480343	enriched	1.0
AAGCCCG_6mA_T1	Cell_division	46	6	5.5	0.1304	0.1202	1.085	1.098	0.464	2.597	0.8192107115777265	enriched	1.0
AAGCCCG_6mA_T1	DNA_replication_repair	115	18	13.8	0.1565	0.1202	1.302	1.364	0.821	2.266	0.24607875156323705	enriched	1.0
AAGCCCG_6mA_T1	Energy_respiration	109	15	13.1	0.1376	0.1202	1.144	1.17	0.676	2.026	0.5530967460221329	enriched	1.0
AAGCCCG_6mA_T1	Hypothetical	1077	129	129.5	0.1198	0.1202	0.996	0.995	0.817	1.212	1.0	depleted	1.0
AAGCCCG_6mA_T1	Other	4951	599	595.3	0.121	0.1202	1.006	1.018	0.889	1.165	0.8093965297625454	enriched	1.0
AAGCCCG_6mA_T1	Regulatory	1055	115	126.9	0.109	0.1202	0.907	0.881	0.717	1.083	0.2438944424482527	depleted	1.0
AAGCCCG_6mA_T1	Secondary_metabolism	81	9	9.7	0.1111	0.1202	0.924	0.914	0.456	1.833	1.0	depleted	1.0
AAGCCCG_6mA_T1	Translation	148	20	17.8	0.1351	0.1202	1.124	1.146	0.712	1.845	0.5256939232601883	enriched	1.0
AAGCCCG_6mA_T1	Transport	693	84	83.3	0.1212	0.1202	1.008	1.01	0.796	1.282	0.9513364363674905	enriched	1.0
All_4mC_T1	Cell_division	46	34	27.5	0.7391	0.5971	1.238	1.918	0.992	3.71	0.050823150082399016	enriched	1.0
All_4mC_T1	DNA_replication_repair	115	69	68.7	0.6	0.5971	1.005	1.012	0.695	1.474	1.0	enriched	1.0
All_4mC_T1	Energy_respiration	109	76	65.1	0.6972	0.5971	1.168	1.563	1.036	2.357	0.03849605505848567	enriched	1.0
All_4mC_T1	Hypothetical	1077	568	643.1	0.5274	0.5971	0.883	0.721	0.634	0.82	6.776042772277581e-07	depleted	1.829531548514947e-05
All_4mC_T1	Other	4951	2953	2956.2	0.5964	0.5971	0.999	0.993	0.908	1.086	0.8909198354101597	depleted	1.0
All_4mC_T1	Regulatory	1055	624	629.9	0.5915	0.5971	0.991	0.974	0.854	1.11	0.6869772735849446	depleted	1.0
All_4mC_T1	Secondary_metabolism	81	69	48.4	0.8519	0.5971	1.427	3.921	2.12	7.249	9.615162495376923e-07	enriched	2.596093873751769e-05
All_4mC_T1	Translation	148	109	88.4	0.7365	0.5971	1.233	1.906	1.319	2.755	0.00048527859380449284	enriched	0.013102522032721307
All_4mC_T1	Transport	693	439	413.8	0.6335	0.5971	1.061	1.182	1.006	1.389	0.043073596590052235	enriched	1.0
