methyl_type	group	n_genes	n_proximal	frac_proximal	genome_rate	fold_enrichment	odds_ratio	OR_CI_low	OR_CI_high	p_value	p_bonferroni
GCCGGC_4mC_T1	All_ribosomal	65	26	0.4	0.4689	0.853	0.754	0.458	1.24	0.31824698026193143	1.0
GCCGGC_4mC_T1	50S_subunit	40	16	0.4	0.4689	0.853	0.754	0.4	1.422	0.42922687617474287	1.0
GCCGGC_4mC_T1	30S_subunit	24	10	0.4167	0.4689	0.889	0.809	0.359	1.823	0.684857239045235	1.0
GCCGGC_4mC_T1	Regulatory	1055	500	0.4739	0.4689	1.011	1.024	0.899	1.165	0.7412426008632564	1.0
AAGCCCG_6mA_T1	All_ribosomal	65	5	0.0769	0.1202	0.64	0.608	0.243	1.517	0.341947250485096	1.0
AAGCCCG_6mA_T1	50S_subunit	40	4	0.1	0.1202	0.832	0.812	0.288	2.287	1.0	1.0
AAGCCCG_6mA_T1	30S_subunit	24	1	0.0417	0.1202	0.347	0.317	0.043	2.353	0.3509219258025297	1.0
AAGCCCG_6mA_T1	Regulatory	1055	115	0.109	0.1202	0.907	0.881	0.717	1.083	0.2438944424482527	1.0
All_4mC_T1	All_ribosomal	65	50	0.7692	0.5971	1.288	2.262	1.268	4.035	0.004848040275610202	0.05817648330732242
All_4mC_T1	50S_subunit	40	33	0.825	0.5971	1.382	3.196	1.412	7.233	0.0031463506244915583	0.0377562074938987
All_4mC_T1	30S_subunit	24	17	0.7083	0.5971	1.186	1.641	0.68	3.961	0.30355256238303435	1.0
All_4mC_T1	Regulatory	1055	624	0.5915	0.5971	0.991	0.974	0.854	1.11	0.6869772735849446	1.0
