region	methyl_type	category	n_genes	n_proximal	frac_proximal	region_rate	fold_enrichment	odds_ratio	OR_CI_low	OR_CI_high	p_value	p_bonferroni
core	GCCGGC_4mC_T1	Cell_division	42	25	0.5952	0.5903	1.008	1.021	0.55	1.895	1.0	1.0
core	GCCGGC_4mC_T1	DNA_replication_repair	77	48	0.6234	0.5903	1.056	1.151	0.723	1.831	0.6407473856878902	1.0
core	GCCGGC_4mC_T1	Energy_respiration	71	55	0.7746	0.5903	1.312	2.411	1.378	4.219	0.0014183706969894557	0.07233690554646224
core	GCCGGC_4mC_T1	Hypothetical	563	323	0.5737	0.5903	0.972	0.926	0.776	1.106	0.4135983076625157	1.0
core	GCCGGC_4mC_T1	Other	3048	1794	0.5886	0.5903	0.997	0.982	0.877	1.1	0.7720255708877742	1.0
core	GCCGGC_4mC_T1	Regulatory	651	383	0.5883	0.5903	0.997	0.991	0.838	1.171	0.9320224438989504	1.0
core	GCCGGC_4mC_T1	Secondary_metabolism	81	63	0.7778	0.5903	1.318	2.459	1.452	4.165	0.0005483202621103362	0.027964333367627145
core	GCCGGC_4mC_T1	Translation	131	63	0.4809	0.5903	0.815	0.635	0.449	0.899	0.011548194667520696	0.5889579280435555
core	GCCGGC_4mC_T1	Transport	450	265	0.5889	0.5903	0.998	0.993	0.816	1.209	0.9599928289275301	1.0
core	AAGCCCG_6mA_T1	Cell_division	42	4	0.0952	0.123	0.774	0.749	0.266	2.106	0.8129303980067502	1.0
core	AAGCCCG_6mA_T1	DNA_replication_repair	77	10	0.1299	0.123	1.056	1.065	0.545	2.081	0.860721250864237	1.0
core	AAGCCCG_6mA_T1	Energy_respiration	71	10	0.1408	0.123	1.145	1.172	0.597	2.299	0.5871040500723441	1.0
core	AAGCCCG_6mA_T1	Hypothetical	563	71	0.1261	0.123	1.025	1.033	0.793	1.345	0.7859143651399942	1.0
core	AAGCCCG_6mA_T1	Other	3048	380	0.1247	0.123	1.014	1.039	0.876	1.233	0.6646748960170088	1.0
core	AAGCCCG_6mA_T1	Regulatory	651	78	0.1198	0.123	0.974	0.966	0.751	1.244	0.8480612934842031	1.0
core	AAGCCCG_6mA_T1	Secondary_metabolism	81	9	0.1111	0.123	0.903	0.89	0.443	1.788	0.8653257452066158	1.0
core	AAGCCCG_6mA_T1	Translation	131	16	0.1221	0.123	0.993	0.992	0.584	1.685	1.0	1.0
core	AAGCCCG_6mA_T1	Transport	450	51	0.1133	0.123	0.921	0.904	0.667	1.225	0.5482893033194899	1.0
core	All_4mC_T1	Cell_division	42	33	0.7857	0.7577	1.037	1.174	0.56	2.46	0.8564633159544833	1.0
core	All_4mC_T1	DNA_replication_repair	77	58	0.7532	0.7577	0.994	0.976	0.579	1.645	0.8939761092193713	1.0
core	All_4mC_T1	Energy_respiration	71	63	0.8873	0.7577	1.171	2.543	1.215	5.322	0.007874892954141987	0.40161954066124134
core	All_4mC_T1	Hypothetical	563	425	0.7549	0.7577	0.996	0.983	0.802	1.205	0.8757392722373674	1.0
core	All_4mC_T1	Other	3048	2300	0.7546	0.7577	0.996	0.959	0.841	1.092	0.5494465016746868	1.0
core	All_4mC_T1	Regulatory	651	489	0.7512	0.7577	0.991	0.96	0.794	1.162	0.6952955357385981	1.0
core	All_4mC_T1	Secondary_metabolism	81	69	0.8519	0.7577	1.124	1.854	1.001	3.434	0.04944747049392577	1.0
core	All_4mC_T1	Translation	131	99	0.7557	0.7577	0.997	0.989	0.66	1.481	0.9181384599727249	1.0
core	All_4mC_T1	Transport	450	339	0.7533	0.7577	0.994	0.974	0.778	1.22	0.8178802243123204	1.0
arm	GCCGGC_4mC_T1	Cell_division	4	0	0.0	0.2724	0.0	0.0	0.0	inf	0.5800412403257155	1.0
arm	GCCGGC_4mC_T1	DNA_replication_repair	38	6	0.1579	0.2724	0.58	0.497	0.207	1.194	0.14157386030698263	1.0
arm	GCCGGC_4mC_T1	Energy_respiration	38	11	0.2895	0.2724	1.063	1.089	0.538	2.206	0.8547141428542008	1.0
arm	GCCGGC_4mC_T1	Hypothetical	514	112	0.2179	0.2724	0.8	0.706	0.563	0.885	0.0024029146328861865	0.12254864627719551
arm	GCCGGC_4mC_T1	Other	1903	521	0.2738	0.2724	1.005	1.018	0.867	1.195	0.8383974795245059	1.0
arm	GCCGGC_4mC_T1	Regulatory	404	117	0.2896	0.2724	1.063	1.103	0.876	1.389	0.4027566420405783	1.0
arm	GCCGGC_4mC_T1	Translation	17	9	0.5294	0.2724	1.944	3.026	1.164	7.87	0.02597092072999557	1.0
arm	GCCGGC_4mC_T1	Transport	243	85	0.3498	0.2724	1.284	1.485	1.127	1.957	0.005524497236764259	0.2817493590749772
arm	AAGCCCG_6mA_T1	Cell_division	4	2	0.5	0.1158	4.318	7.673	1.078	54.64	0.06844727849664989	1.0
arm	AAGCCCG_6mA_T1	DNA_replication_repair	38	8	0.2105	0.1158	1.818	2.06	0.937	4.527	0.07400719100107983	1.0
