locus_tag	is_coordinated	coordination_primary	region	sites_2kb_T1	sites_2kb_T2	delta_sites	lfc_T2vsT1
SC_RS01945	False	non_coordinated	arm	0	1	1	
SC_RS01955	False	non_coordinated	arm	0	2	2	
SC_RS02040	False	non_coordinated	arm	0	3	3	
SC_RS02055	False	non_coordinated	arm	1	3	2	
SC_RS02060	False	non_coordinated	arm	1	3	2	
SC_RS02220	False	non_coordinated	arm	2	2	0	0.7740014298969246
SC_RS00170	False	non_coordinated	arm	0	2	2	
SC_RS02260	False	non_coordinated	arm	0	1	1	-0.217473568852473
SC_RS00205	False	non_coordinated	arm	0	1	1	
SC_RS02325	False	non_coordinated	arm	0	1	1	-1.482151075954944
SC_RS02330	False	non_coordinated	arm	0	2	2	-1.20882726219268
SC_RS00320	False	non_coordinated	arm	0	3	3	
SC_RS02455	True	discordant_gain_up	arm	0	1	1	1.9589972494364425
SC_RS02470	False	non_coordinated	arm	1	2	1	
SC_RS00470	False	non_coordinated	arm	0	0	0	
SC_RS00480	False	non_coordinated	arm	0	0	0	
SC_RS02530	False	non_coordinated	arm	1	1	0	2.202280419097655
SC_RS00505	False	non_coordinated	arm	1	1	0	
SC_RS02550	False	non_coordinated	arm	1	2	1	0.3847571846540605
SC_RS00610	False	non_coordinated	arm	1	5	4	
SC_RS00615	False	non_coordinated	arm	1	5	4	
SC_RS02625	False	non_coordinated	arm	0	2	2	1.3478072821107898
SC_RS02660	False	non_coordinated	arm	1	1	0	-0.0159602400374791
SC_RS02680	False	non_coordinated	arm	2	1	-1	-1.0239134444181497
SC_RS02705	False	non_coordinated	arm	2	3	1	-1.0252718400292251
SC_RS02735	False	non_coordinated	arm	1	1	0	1.148427079287908
SC_RS00780	False	non_coordinated	arm	1	1	0	
SC_RS02745	False	non_coordinated	arm	2	2	0	-0.0185477794247903
SC_RS02750	False	non_coordinated	arm	1	2	1	2.6641822445754744
SC_RS00815	False	non_coordinated	arm	0	1	1	
SC_RS00830	False	non_coordinated	arm	0	0	0	
SC_RS00975	False	non_coordinated	arm	1	2	1	
SC_RS02915	False	non_coordinated	arm	0	1	1	-1.019931959466732
SC_RS02920	False	non_coordinated	arm	0	1	1	-1.39711883038648
SC_RS02965	False	non_coordinated	arm	0	1	1	2.900028857681269
SC_RS02970	False	non_coordinated	arm	0	1	1	6.294033238583641
SC_RS03000	False	non_coordinated	arm	2	1	-1	4.157236776581737
SC_RS01130	False	non_coordinated	arm	0	0	0	
SC_RS03080	False	non_coordinated	arm	0	0	0	0.4592858867424682
SC_RS03095	False	non_coordinated	arm	2	3	1	0.3510988112785352
SC_RS03110	False	non_coordinated	arm	1	3	2	1.0526452066867726
SC_RS03135	False	non_coordinated	arm	1	2	1	0.2967320614247226
SC_RS01210	False	non_coordinated	arm	0	5	5	
SC_RS03175	False	non_coordinated	arm	2	2	0	-1.1172802415794452
SC_RS03185	False	non_coordinated	arm	3	3	0	-0.2353378035035249
SC_RS01265	False	non_coordinated	arm	2	2	0	
SC_RS03195	False	non_coordinated	arm	2	1	-1	-0.6120267926735176
SC_RS01285	False	non_coordinated	arm	1	1	0	
SC_RS01305	False	non_coordinated	arm	3	3	0	
SC_RS03230	False	non_coordinated	arm	3	3	0	0.4008340214024673
SC_RS03240	False	non_coordinated	arm	2	3	1	0.927899550045083
SC_RS03250	True	concordant_derepression	arm	1	1	0	0.1814637166824383
SC_RS03295	False	non_coordinated	arm	0	0	0	-0.5011124574904358
SC_RS03330	False	non_coordinated	arm	0	1	1	0.2007804528858386
SC_RS03355	False	non_coordinated	arm	1	1	0	0.6109724139132588
SC_RS03365	False	non_coordinated	arm	0	2	2	-1.23324135449965
SC_RS03400	False	non_coordinated	arm	1	2	1	-0.6869007709146461
SC_RS03410	False	non_coordinated	arm	1	2	1	2.162880179285506
SC_RS01545	False	non_coordinated	arm	1	2	1	
SC_RS03430	False	non_coordinated	arm	2	2	0	0.4745124893283499
SC_RS03450	False	non_coordinated	arm	1	1	0	1.023956203688079
SC_RS03465	False	non_coordinated	arm	1	2	1	0.1690309381069101
SC_RS03495	False	non_coordinated	arm	1	3	2	1.0536515073234405
SC_RS01660	False	non_coordinated	arm	0	3	3	
SC_RS01695	False	non_coordinated	arm	8	6	-2	
SC_RS03575	False	non_coordinated	arm	1	2	1	0.1255201918906925
SC_RS03600	False	non_coordinated	arm	0	1	1	-0.0282199003568821
SC_RS03630	False	non_coordinated	arm	1	1	0	-0.2679594837506325
SC_RS03635	False	non_coordinated	arm	0	1	1	0.3444890370297744
SC_RS03695	False	non_coordinated	arm	1	1	0	-0.4994119004344529
SC_RS03710	False	non_coordinated	arm	1	4	3	0.1447372583235094
SC_RS03790	False	non_coordinated	arm	0	3	3	-0.4006589053837667
SC_RS03945	False	non_coordinated	arm	2	4	2	1.3036844920565769
SC_RS03980	False	non_coordinated	arm	0	1	1	0.2039989649477898
SC_RS04015	False	non_coordinated	arm	1	0	-1	1.1598787194855855
SC_RS04020	False	non_coordinated	arm	3	1	-2	1.2908158424842628
SC_RS04050	False	non_coordinated	arm	1	3	2	-0.8348028269753959
SC_RS04060	False	non_coordinated	arm	1	3	2	-1.2501528217472195
SC_RS04075	False	non_coordinated	arm	0	0	0	-0.9067181621287422
SC_RS04145	False	non_coordinated	arm	3	3	0	-0.9442129281634142
SC_RS04195	False	non_coordinated	arm	2	1	-1	0.4360018885227191
SC_RS04245	False	non_coordinated	arm	2	1	-1	0.656849840565568
SC_RS04270	True	concordant_derepression	arm	3	4	1	1.1733093432665949
SC_RS04345	False	non_coordinated	arm	1	3	2	-1.166480643873066
SC_RS04355	False	non_coordinated	arm	0	3	3	0.2509990949013399
SC_RS04460	False	non_coordinated	arm	2	2	0	-2.455410432554957
SC_RS04480	False	non_coordinated	arm	1	0	-1	0.8710166541982379
SC_RS04515	False	non_coordinated	arm	0	1	1	0.7449652467363138
SC_RS04520	False	non_coordinated	arm	0	1	1	-0.7267519064625878
SC_RS04530	False	non_coordinated	arm	0	1	1	0.1443584186641425
SC_RS04565	False	non_coordinated	arm	1	1	0	-0.6728136108943864
SC_RS04670	False	non_coordinated	arm	4	3	-1	0.2372264926792688
SC_RS04675	False	non_coordinated	arm	5	5	0	0.3429021036098957
SC_RS04705	False	non_coordinated	arm	2	2	0	-0.3724140861521582
SC_RS04725	False	non_coordinated	arm	0	0	0	4.716805818310592
SC_RS04795	False	non_coordinated	arm	0	2	2	-1.010102468201226
SC_RS04835	False	non_coordinated	arm	0	4	4	-0.9180429434867632
SC_RS04865	False	non_coordinated	arm	1	2	1	6.976372241992684
SC_RS04870	False	non_coordinated	arm	1	1	0	1.054127544087963
SC_RS04920	False	non_coordinated	arm	1	2	1	0.6196643888560709
SC_RS04925	False	non_coordinated	arm	1	1	0	-1.2591318297701912
SC_RS04950	False	non_coordinated	arm	3	3	0	-0.0460695847428328
SC_RS04965	False	non_coordinated	arm	9	15	6	1.4874595631570964
SC_RS04975	False	non_coordinated	arm	8	13	5	-1.79525130114843
SC_RS05020	False	non_coordinated	arm	2	4	2	0.2702113151748363
SC_RS05030	False	non_coordinated	arm	2	4	2	-1.3668292078247744
SC_RS05065	False	non_coordinated	arm	1	1	0	-1.2179066283951665
SC_RS05075	True	discordant_gain_up	arm	0	0	0	-0.1773167519469067
SC_RS05080	False	non_coordinated	arm	0	0	0	
SC_RS05120	False	non_coordinated	arm	0	0	0	-0.6111934284105836
SC_RS05150	False	non_coordinated	arm	0	1	1	-0.5435455538211246
SC_RS05265	False	non_coordinated	arm	0	0	0	-1.1509878752879124
SC_RS05410	False	non_coordinated	arm	2	2	0	1.029551486704538
SC_RS05445	False	non_coordinated	arm	1	1	0	1.2538408848742586
SC_RS05480	False	non_coordinated	arm	2	3	1	-0.9458116142359604
SC_RS05485	True	discordant_gain_up	arm	0	3	3	-0.5006499103865119
SC_RS05490	False	non_coordinated	arm	0	2	2	-1.5374159449617275
SC_RS05550	False	non_coordinated	arm	4	4	0	0.4305057981057131
SC_RS05570	False	non_coordinated	arm	4	4	0	-0.1737691216983287
SC_RS05600	False	non_coordinated	arm	2	3	1	-0.1727301002487664
SC_RS05655	False	non_coordinated	arm	1	1	0	1.403719300924047
SC_RS05790	False	non_coordinated	arm	1	1	0	0.1109692802517742
SC_RS05835	False	non_coordinated	arm	4	4	0	2.2586565372129304
SC_RS05845	False	non_coordinated	arm	0	1	1	-0.6405149842391521
SC_RS05900	False	non_coordinated	arm	1	1	0	-0.0560957848551432
SC_RS05930	False	non_coordinated	arm	0	1	1	0.1570544064447543
SC_RS05945	False	non_coordinated	arm	3	2	-1	0.8584381514538014
SC_RS05960	False	non_coordinated	arm	0	2	2	0.0545551845118072
SC_RS06040	False	non_coordinated	arm	0	1	1	-0.119034485166896
SC_RS06045	True	concordant_repression	arm	0	1	1	-1.3298006901673476
SC_RS06130	False	non_coordinated	arm	1	0	-1	0.6238096514337876
SC_RS06215	False	non_coordinated	arm	1	0	-1	-0.0049563235360248
SC_RS06250	False	non_coordinated	arm	3	6	3	3.659845684433634
SC_RS06260	False	non_coordinated	arm	3	5	2	5.905664010847805
SC_RS06280	False	non_coordinated	arm	1	5	4	-1.2349348467967949
SC_RS06285	False	non_coordinated	arm	1	4	3	-1.1384621811153084
SC_RS06300	False	non_coordinated	arm	1	2	1	1.4434302376472552
SC_RS06310	True	discordant_gain_up	arm	1	2	1	1.688781934919955
SC_RS06345	False	non_coordinated	arm	1	2	1	1.744038012178177
SC_RS06365	False	non_coordinated	arm	3	4	1	3.0313495229464373
