tf_family	n_exposed	n_shielded	n_total	pct_exposed	expected_pct	odds_ratio	fisher_p	enrichment
Sigma factor	7	71	78	8.974358974358974	5.876777251184834	1.652752880921895	0.21266248790497094	enriched
DeoR	1	5	6	16.666666666666664	5.876777251184834	3.239344262295082	0.30530558191227275	enriched
Other regulatory	10	116	126	7.936507936507936	5.876777251184834	1.4539124668435013	0.31062011943468626	enriched
GntR	1	47	48	2.083333333333333	5.876777251184834	0.32996163236832926	0.3566722693774675	depleted
WhiB	1	12	13	7.6923076923076925	5.876777251184834	1.3401639344262295	0.5470638499724284	enriched
HTH (other)	11	152	163	6.748466257668712	5.876777251184834	1.1933694530443757	0.5879495192315407	enriched
Lrp	0	16	16	0.0	5.876777251184834	0.0	0.617874837754444	depleted
Sensor kinase	6	77	83	7.228915662650602	5.876777251184834	1.274582560296846	0.6234920099848891	enriched
MerR	2	26	28	7.142857142857142	5.876777251184834	1.2397435897435898	0.6777525630990253	enriched
TetR	9	169	178	5.056179775280898	5.876777251184834	0.8279557887685609	0.7277747389854146	depleted
Response regulator	5	76	81	6.172839506172839	5.876777251184834	1.0584025854108956	0.8074262622918718	enriched
Activator	0	4	4	0.0	5.876777251184834	0.0	1.0	depleted
SARP	0	7	7	0.0	5.876777251184834	0.0	1.0	depleted
Repressor	0	7	7	0.0	5.876777251184834	0.0	1.0	depleted
ROK	1	22	23	4.3478260869565215	5.876777251184834	0.7235469448584203	1.0	depleted
MarR	2	44	46	4.3478260869565215	5.876777251184834	0.718939393939394	1.0	depleted
LysR	2	40	42	4.761904761904762	5.876777251184834	0.7941666666666667	1.0	depleted
LacI	2	33	35	5.714285714285714	5.876777251184834	0.9696969696969697	1.0	depleted
IclR	1	15	16	6.25	5.876777251184834	1.0688524590163935	1.0	enriched
CRP/FNR	0	2	2	0.0	5.876777251184834	0.0	1.0	depleted
ArsR	1	26	27	3.7037037037037033	5.876777251184834	0.6097099621689785	1.0	depleted
AraC	0	12	12	0.0	5.876777251184834	0.0	1.0	depleted
Anti-sigma	0	3	3	0.0	5.876777251184834	0.0	1.0	depleted
PadR	0	9	9	0.0	5.876777251184834	0.0	1.0	depleted
XRE	0	2	2	0.0	5.876777251184834	0.0	1.0	depleted
