feature	exposed_n	exposed_median	exposed_mean	shielded_n	shielded_median	shielded_mean	U	p_value	effect_size_r	test	direction	significant
baseMean	57	68.96055513755051	682.2468262284606	944	101.30028749272597	359.4861173281311	24003.0	0.17119366485059606	0.10782783229259585	Wilcoxon	exposed < shielded	ns
T1_expression	57	49.41903218962906	960.6257979872971	944	93.20828814919285	335.7234631048134	21048.0	0.005736610738499424	0.21766280107047276	Wilcoxon	exposed < shielded	**
T2_expression	57	55.71672209604751	701.5078932004903	944	90.66314736132941	427.039650101849	23405.0	0.09884095551758207	0.13005501040737433	Wilcoxon	exposed < shielded	ns
T3_expression	57	67.68570200053308	384.60678749759444	944	82.90878464315725	315.6952387777313	24510.0	0.25881796875673413	0.08898305084745761	Wilcoxon	exposed < shielded	ns
log2FC_T2vsT1	57	0.0924621478190691	0.5547464658618884	944	-0.1866216030319927	0.07652378321347995	28690.0	0.39959140764856715	-0.06638418079096042	Wilcoxon	exposed > shielded	ns
log2FC_T3vsT1	57	1.273291930093327	0.9113343293257455	944	-0.12089311168954894	0.1757794869958413	30547.0	0.08571745370091569	-0.13540737436812367	Wilcoxon	exposed > shielded	ns
|log2FC_T2vsT1|	57	1.526311821195577	2.017775130197051	944	0.8544195297243804	1.1846087737834123	35538.0	4.640054357376293e-05	-0.32091882247992864	Wilcoxon	exposed > shielded	***
|log2FC_T3vsT1|	57	1.8138026166426493	2.3204684266281763	944	0.9130373411295849	1.2513893379829715	40742.0	6.658134130287701e-11	-0.5143473089503419	Wilcoxon	exposed > shielded	***
gene_length	57	858.0	1089.842105263158	998	717.0	834.0460921843687	32799.0	0.05157134950775624	-0.1531484020672924	Wilcoxon	exposed > shielded	ns
gc_promoter	57	0.7133333333333334	0.7176023391812865	998	0.6966666666666667	0.6942351369405477	36191.5	0.0005326125037921016	-0.2724220370565693	Wilcoxon	exposed > shielded	***
intergenic_dist	57	67.0	106.3157894736842	998	90.0	120.36072144288578	26911.0	0.4923498808980944	0.05386211018528286	Wilcoxon	exposed < shielded	ns
n_fimo_hits	57	4.0	4.456140350877193	998	4.0	4.135270541082164	29962.5	0.4935092934317653	-0.05342263474317055	Wilcoxon	exposed > shielded	ns
geographic (arm%)	62	41.935483870967744		993	38.066465256797585		1.3756613756613756	0.26346053901734473		Fisher	OR=1.38	ns
sites_within_2kb	57	3.0	3.491228070175439	998	2.0	2.4839679358717435	38021.0	1.3580343645820722e-05	-0.3367436627641247	Wilcoxon	exposed > shielded	***
nearest_methyl_dist	57	120.0	137.82456140350877	998	747.0	987.5831663326653	5242.5	3.424576406338881e-25	0.8156839995781036	Wilcoxon	exposed < shielded	***
methyl_density_2kb	57	0.75	0.8728070175438597	998	0.5	0.6209919839679359	38021.0	1.3580343645820722e-05	-0.3367436627641247	Wilcoxon	exposed > shielded	***
monocistronic (%)	62	38.70967741935484		993	43.202416918429		0.8303275671696725	0.5115126635836119		Fisher	OR=0.83	ns
operon_size	57	2.0	2.175438596491228	998	2.0	2.118236472945892	29376.0	0.6592968095704832	-0.0328024469992616	Wilcoxon	exposed > shielded	ns
dynamic_expression (%)	62	100.0		939	61.128860489882854		inf	2.2323504666475336e-13		Fisher	OR=inf	***
