feature	exposed_n	exposed_median	exposed_mean	shielded_n	shielded_median	shielded_mean	U	p_value	effect_size_r	test	direction	significant
baseMean	62	100.71372100725964	747.4916929237988	955	127.46739072669908	428.5994858236391	26823.0	0.21457779019487633	0.09397061307211618	Wilcoxon	exposed < shielded	ns
T1_expression	62	90.36432278088267	1080.5465046434829	955	123.08397645369719	417.49206820004326	23846.0	0.010188025870239384	0.19452795135956769	Wilcoxon	exposed < shielded	*
T2_expression	62	80.40693467592905	785.1755146368592	955	115.4336702462001	526.8119121903874	26139.5	0.12209342687682907	0.11705792940381687	Wilcoxon	exposed < shielded	ns
T3_expression	62	92.19397968112574	376.7530594910549	955	102.7000063500231	341.4944770804866	27637.0	0.38001017186470487	0.066475257557845	Wilcoxon	exposed < shielded	ns
log2FC_T2vsT1	62	0.1489685932477642	0.4582916560638178	955	-0.1544535667081392	0.05209184712401079	31590.0	0.3759070896035158	-0.06704948488431017	Wilcoxon	exposed > shielded	ns
log2FC_T3vsT1	62	1.0986021554501164	0.7193375976008144	955	-0.1605376866638065	0.08623179592615583	33459.0	0.0855432592240049	-0.13018071271744636	Wilcoxon	exposed > shielded	ns
|log2FC_T2vsT1|	62	1.4687393359953402	1.872243758154169	955	0.869316549170603	1.1528061512702823	39499.0	1.0130252326725877e-05	-0.3342003040027022	Wilcoxon	exposed > shielded	***
|log2FC_T3vsT1|	62	1.532404322526502	2.125084657313441	955	0.9280415412165116	1.2444502456381286	43107.0	1.699212616016251e-09	-0.45607160952541803	Wilcoxon	exposed > shielded	***
gene_length	62	819.0	1056.3387096774193	993	717.0	834.8499496475328	34663.0	0.09556615206965634	-0.12604359549101773	Wilcoxon	exposed > shielded	ns
gc_promoter	62	0.7150000000000001	0.7179032258064517	993	0.6966666666666667	0.694098690835851	39445.5	0.00019740561845495218	-0.28140532111879923	Wilcoxon	exposed > shielded	***
intergenic_dist	62	67.0	104.40322580645162	993	90.0	120.5508559919436	28998.5	0.44202739632419863	0.05797030828704153	Wilcoxon	exposed < shielded	ns
n_fimo_hits	62	4.0	4.435483870967742	993	4.0	4.134944612286002	32673.5	0.41281141828810686	-0.061413767339115743	Wilcoxon	exposed > shielded	ns
geographic (arm%)	62	43.54838709677419		993	37.96576032225579		1.2604774535809018	0.41966626659400996		Fisher	OR=1.26	ns
sites_within_2kb	62	3.0	3.532258064516129	993	2.0	2.476334340382679	41126.5	6.297011131574108e-06	-0.33601338401065517	Wilcoxon	exposed > shielded	***
nearest_methyl_dist	62	113.5	132.24193548387098	993	762.0	992.2104733131923	5247.5	5.300797217741319e-28	0.8295325341909495	Wilcoxon	exposed < shielded	***
methyl_density_2kb	62	0.75	0.8830645161290323	993	0.5	0.6190835850956697	41126.5	6.297011131574108e-06	-0.33601338401065517	Wilcoxon	exposed > shielded	***
monocistronic (%)	62	38.70967741935484		993	43.202416918429		0.8303275671696725	0.5115126635836119		Fisher	OR=0.83	ns
operon_size	62	2.0	2.161290322580645	993	2.0	2.118831822759315	32215.0	0.5153189986338527	-0.046519182665757164	Wilcoxon	exposed > shielded	ns
dynamic_expression (%)	62	100.0		955	61.98952879581152		inf	5.264684311882888e-13		Fisher	OR=inf	***
