stratum	AUC_distance	n_exposed	n_shielded	MWU_p
overall	0.9079	57	994	
core	0.9101	31	619	6.17e-15
arm	0.9046	26	375	2.57e-12

# NOTE: classification is 57 exposed / 998 shielded (1,055 regulatory genes).
# AUC is computed on the subset with a numeric nearest_methyl_distance: 57 + 994 = 1051.
# 4 shielded genes lack a methylation site within the search window (NaN distance) and are dropped from ROC only.
# region coding: 0=core, 1=arm (arm=1), unified 2026-06-13 (38 legacy arm/core string labels normalized).
#
# Exposed enrichment in arm vs core
# contingency [arm:exp,shi / core:exp,shi] = [[26, 378], [31, 620]]
# Fisher OR(arm vs core) = 1.376, p = 0.263

# Logistic: is_exposed ~ log10(dist+1) + region(arm=1)
# beta_log10dist = -2.581 (p=1.03e-20)  <- distance effect ADJUSTED for geography
# beta_region    = 0.262 (p=3.89e-01)
