metric	value
total_FIMO_TFs_in_database	16.0
FIMO_TFs_with_q005_hits	8.0
total_binding_sites_q005	9635.0
total_unique_target_genes	5430.0
regulatory_target_genes	676.0
exposed_regulator_targets	37.0
shielded_regulator_targets	639.0
non_regulatory_targets	4754.0
amplification_ratio_per_TF	678.75
FIMO_to_FIMO_edges	10.0
FIMO_to_exposed_edges	37.0
exposed_targeting_rate_pct	64.91228070175438
shielded_targeting_rate_pct	64.02805611222445
exposed_vs_shielded_OR	0.6912620700188369
exposed_vs_shielded_p	0.048420278902270755
relaxed_q01_total_sites	31001.0
relaxed_q01_unique_targets	7800.0
