	SC_RS02455	SC_RS03250	SC_RS04270	SC_RS05075	SC_RS05485	SC_RS06045	SC_RS06310	SC_RS06430	SC_RS07000	SC_RS07215	SC_RS07750	SC_RS07910	SC_RS08090	SC_RS09315	SC_RS09835	SC_RS10435	SC_RS11515	SC_RS13145	SC_RS13965	SC_RS15270	SC_RS15485	SC_RS16855	SC_RS17670	SC_RS17795	SC_RS21680	SC_RS22135	SC_RS22780	SC_RS22980	SC_RS23710	SC_RS24635	SC_RS25370	SC_RS25990	SC_RS26855	SC_RS27105	SC_RS27300	SC_RS28630	SC_RS29350	SC_RS29355	SC_RS30140	SC_RS31385	SC_RS32025	SC_RS33745	SC_RS33895	SC_RS34060	SC_RS35195	SC_RS35525	SC_RS35610	SC_RS36220	SC_RS36820	SC_RS37675	SC_RS38475	SC_RS38610	SC_RS38785	SC_RS39850	SC_RS40040	SC_RS40435	SC_RS40740
SC_RS02455	1.0	0.2833333333333333	0.4666666666666666	0.049999999999999996	-0.4666666666666666	-0.7833333333333333	0.9666666666666667	0.45	0.26666666666666666	-0.07531446678801507	0.9333333333333332	-0.9	0.5166666666666667	0.45	0.8833333333333333	0.4666666666666666	0.8666666666666667	-0.9166666666666666	-0.5	-0.75	0.18333333333333335	-0.41666666666666663	-0.4666666666666666	0.7166666666666667	-0.39999999999999997	0.16666666666666669	-0.9166666666666666	0.13333333333333333	-0.6333333333333333	-0.8166666666666667	-0.4666666666666666	-0.48333333333333334	0.2333333333333333	-0.5	-0.8833333333333333	-0.16666666666666669	0.43333333333333335	-0.8499999999999999	-0.43333333333333335	0.8833333333333333	-0.8833333333333333	-0.9	0.4666666666666666	0.4666666666666666	-0.6833333333333333	0.7333333333333334	0.4237896897630065	0.41666666666666663	-0.39999999999999997	0.3666666666666667	0.8833333333333333	0.6166666666666666	0.9333333333333332	0.38333333333333336	-0.6	0.4666666666666666	0.7166666666666667
SC_RS03250	0.2833333333333333	1.0	0.8499999999999999	0.5833333333333334	0.5	-0.45	0.2333333333333333	0.9	-0.7666666666666667	0.54393781569122	0.31666666666666665	-0.39999999999999997	0.6833333333333333	0.7333333333333334	0.39999999999999997	0.8666666666666667	0.5499999999999999	-0.35	-0.8666666666666667	-0.5499999999999999	0.6166666666666666	-0.8833333333333333	-0.8499999999999999	0.48333333333333334	-0.9500000000000001	0.7	-0.43333333333333335	-0.7999999999999999	-0.7	-0.4666666666666666	-0.9333333333333332	-0.9	0.5499999999999999	-0.8666666666666667	-0.35	-0.7999999999999999	0.8333333333333333	-0.41666666666666663	-0.9	0.39999999999999997	-0.39999999999999997	-0.45	0.7999999999999999	0.9166666666666666	-0.6666666666666667	0.6333333333333333	0.8136762043449725	0.8666666666666667	0.5166666666666667	0.6333333333333333	0.3	0.6	0.39999999999999997	0.9	0.41666666666666663	0.8499999999999999	0.5
SC_RS04270	0.4666666666666666	0.8499999999999999	1.0	0.7666666666666667	0.48333333333333334	-0.5333333333333333	0.45	0.8833333333333333	-0.5499999999999999	0.7447763937925935	0.48333333333333334	-0.43333333333333335	0.7666666666666667	0.7666666666666667	0.48333333333333334	0.9500000000000001	0.6666666666666667	-0.4666666666666666	-0.9333333333333332	-0.48333333333333334	0.6833333333333333	-0.8666666666666667	-0.9166666666666666	0.5166666666666667	-0.8666666666666667	0.6166666666666666	-0.45	-0.6166666666666666	-0.7999999999999999	-0.5	-0.9	-0.9333333333333332	0.7999999999999999	-0.9333333333333332	-0.35	-0.7666666666666667	0.9833333333333333	-0.43333333333333335	-0.9333333333333332	0.48333333333333334	-0.43333333333333335	-0.48333333333333334	0.9166666666666666	0.8166666666666667	-0.65	0.7999999999999999	0.8984341422975738	0.9	0.48333333333333334	0.8333333333333333	0.43333333333333335	0.5	0.39999999999999997	0.9500000000000001	0.35	1.0	0.6166666666666666
SC_RS05075	0.049999999999999996	0.5833333333333334	0.7666666666666667	1.0	0.6166666666666666	-0.26666666666666666	0.15	0.6333333333333333	-0.6	0.7113032974423646	0.08333333333333334	0.016666666666666666	0.48333333333333334	0.7333333333333334	-0.03333333333333333	0.6833333333333333	0.18333333333333335	-0.03333333333333333	-0.65	0.0	0.5833333333333334	-0.6666666666666667	-0.6333333333333333	0.2333333333333333	-0.5666666666666667	0.6333333333333333	0.09999999999999999	-0.6833333333333333	-0.33333333333333337	-0.16666666666666669	-0.5499999999999999	-0.6666666666666667	0.7833333333333333	-0.65	0.016666666666666666	-0.43333333333333335	0.75	-0.09999999999999999	-0.7166666666666667	-0.03333333333333333	-0.06666666666666667	0.06666666666666667	0.6833333333333333	0.41666666666666663	-0.06666666666666667	0.38333333333333336	0.8136762043449725	0.6333333333333333	0.6	0.7333333333333334	0.06666666666666667	0.2833333333333333	-0.016666666666666666	0.7333333333333334	0.65	0.7666666666666667	0.31666666666666665
SC_RS05485	-0.4666666666666666	0.5	0.48333333333333334	0.6166666666666666	1.0	0.18333333333333335	-0.4666666666666666	0.41666666666666663	-0.8166666666666667	0.8284591346681658	-0.48333333333333334	0.48333333333333334	0.26666666666666666	0.3	-0.45	0.5333333333333333	-0.09999999999999999	0.45	-0.41666666666666663	0.33333333333333337	0.2833333333333333	-0.48333333333333334	-0.43333333333333335	-0.09999999999999999	-0.48333333333333334	0.48333333333333334	0.41666666666666663	-0.7333333333333334	-0.26666666666666666	0.3666666666666667	-0.48333333333333334	-0.39999999999999997	0.6666666666666667	-0.41666666666666663	0.48333333333333334	-0.6333333333333333	0.5	0.48333333333333334	-0.5166666666666667	-0.45	0.5333333333333333	0.43333333333333335	0.5333333333333333	0.2833333333333333	0.016666666666666666	0.049999999999999996	0.45769286494404704	0.43333333333333335	0.8666666666666667	0.6	-0.39999999999999997	-0.11666666666666665	-0.48333333333333334	0.5166666666666667	0.8166666666666667	0.48333333333333334	0.03333333333333333
SC_RS06045	-0.7833333333333333	-0.45	-0.5333333333333333	-0.26666666666666666	0.18333333333333335	1.0	-0.8333333333333333	-0.7166666666666667	0.016666666666666666	-0.09205101496312953	-0.8499999999999999	0.8666666666666667	-0.7999999999999999	-0.6333333333333333	-0.6666666666666667	-0.5833333333333334	-0.6333333333333333	0.8833333333333333	0.5166666666666667	0.6	0.049999999999999996	0.5	0.5	-0.9166666666666666	0.5333333333333333	-0.35	0.7333333333333334	0.08333333333333334	0.4666666666666666	0.9	0.5833333333333334	0.6166666666666666	-0.26666666666666666	0.5166666666666667	0.8166666666666667	0.35	-0.5166666666666667	0.8166666666666667	0.5499999999999999	-0.6666666666666667	0.7999999999999999	0.7166666666666667	-0.5499999999999999	-0.43333333333333335	0.6333333333333333	-0.5666666666666667	-0.6611119160302902	-0.5833333333333334	0.2333333333333333	-0.38333333333333336	-0.8666666666666667	-0.8666666666666667	-0.7666666666666667	-0.5166666666666667	0.2833333333333333	-0.5333333333333333	-0.9166666666666666
SC_RS06310	0.9666666666666667	0.2333333333333333	0.45	0.15	-0.4666666666666666	-0.8333333333333333	1.0	0.43333333333333335	0.25	-0.10878756313824399	0.9333333333333332	-0.8833333333333333	0.5499999999999999	0.5333333333333333	0.8333333333333333	0.45	0.7666666666666667	-0.9166666666666666	-0.43333333333333335	-0.7166666666666667	0.11666666666666665	-0.41666666666666663	-0.41666666666666663	0.75	-0.3666666666666667	0.16666666666666669	-0.8499999999999999	0.11666666666666665	-0.5499999999999999	-0.8166666666666667	-0.39999999999999997	-0.43333333333333335	0.25	-0.43333333333333335	-0.9	-0.06666666666666667	0.43333333333333335	-0.8833333333333333	-0.43333333333333335	0.8333333333333333	-0.8833333333333333	-0.8333333333333333	0.4666666666666666	0.39999999999999997	-0.5833333333333334	0.6833333333333333	0.49159604012508756	0.39999999999999997	-0.4666666666666666	0.35	0.9333333333333332	0.6833333333333333	0.9	0.39999999999999997	-0.5499999999999999	0.45	0.7333333333333334
SC_RS06430	0.45	0.9	0.8833333333333333	0.6333333333333333	0.41666666666666663	-0.7166666666666667	0.43333333333333335	1.0	-0.5666666666666667	0.6025157343041205	0.5166666666666667	-0.5499999999999999	0.8833333333333333	0.7999999999999999	0.4666666666666666	0.8833333333333333	0.5833333333333334	-0.5333333333333333	-0.9	-0.5	0.45	-0.8333333333333333	-0.8833333333333333	0.7333333333333334	-0.9	0.7333333333333334	-0.48333333333333334	-0.6	-0.6666666666666667	-0.6833333333333333	-0.9333333333333332	-0.9666666666666667	0.6166666666666666	-0.9	-0.4666666666666666	-0.8333333333333333	0.8666666666666667	-0.5	-0.8666666666666667	0.4666666666666666	-0.5166666666666667	-0.5	0.8333333333333333	0.7833333333333333	-0.7166666666666667	0.6166666666666666	0.8984341422975738	0.9333333333333332	0.45	0.7	0.4666666666666666	0.7333333333333334	0.4666666666666666	0.8666666666666667	0.33333333333333337	0.8833333333333333	0.7833333333333333
SC_RS07000	0.26666666666666666	-0.7666666666666667	-0.5499999999999999	-0.6	-0.8166666666666667	0.016666666666666666	0.25	-0.5666666666666667	1.0	-0.5355695416036628	0.2833333333333333	-0.18333333333333335	-0.35	-0.5666666666666667	0.18333333333333335	-0.65	-0.08333333333333334	-0.21666666666666667	0.5166666666666667	0.08333333333333334	-0.38333333333333336	0.7333333333333334	0.5333333333333333	-0.09999999999999999	0.7333333333333334	-0.6333333333333333	-0.09999999999999999	0.9666666666666667	0.39999999999999997	-0.11666666666666665	0.65	0.5166666666666667	-0.5499999999999999	0.5166666666666667	-0.09999999999999999	0.5833333333333334	-0.5666666666666667	-0.08333333333333334	0.7166666666666667	0.18333333333333335	-0.18333333333333335	-0.13333333333333333	-0.6333333333333333	-0.6	0.16666666666666669	-0.21666666666666667	-0.6272087408492496	-0.5499999999999999	-0.6666666666666667	-0.5499999999999999	0.13333333333333333	-0.26666666666666666	0.09999999999999999	-0.7	-0.7	-0.5499999999999999	-0.11666666666666665
SC_RS07215	-0.07531446678801507	0.54393781569122	0.7447763937925935	0.7113032974423646	0.8284591346681658	-0.09205101496312953	-0.10878756313824399	0.6025157343041205	-0.5355695416036628	1.0	-0.05857791861290061	0.15062893357603013	0.48535989707831934	0.3514675116774037	-0.10041928905068676	0.6945667492672501	0.22594340036404525	0.07531446678801507	-0.652725378829464	0.15899720766358738	0.4602550748156477	-0.510464719340991	-0.6359888306543495	0.09205101496312953	-0.5272012675161055	0.435150252552976	0.1338923854009157	-0.510464719340991	-0.4602550748156477	0.02510482226267169	-0.619252282479235	-0.652725378829464	0.7866177642303797	-0.652725378829464	0.2928895930645031	-0.7615129419677079	0.728039845617479	0.22594340036404525	-0.619252282479235	-0.10041928905068676	0.20920685218893076	0.10041928905068676	0.6610936529170212	0.3765723339400754	-0.24267994853915967	0.38494060802763264	0.5787705672009662	0.619252282479235	0.803354312405494	0.7447763937925935	-0.12552411131335847	-0.04184137043778616	-0.24267994853915967	0.6359888306543495	0.6276205565667923	0.7447763937925935	0.2928895930645031
