gene_id	old_locus_tag	product	timepoint	sample	norm_count
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T1	M145_1_1	1187.825860757907
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T1	M145_1_2	1233.6902912647731
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T1	M145_1_3	1269.2990973352903
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T2	M145_2_1	308.7065672040144
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T2	M145_2_3	314.39762172250323
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T2	M145_2_4	343.895890273259
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T3	M145_3_2	125.34635039255768
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T3	M145_3_3	173.49142535218465
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T3	M145_3_4	138.92725016973588
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T1	M145_1_1	738.8590816696762
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T1	M145_1_2	666.94989572888
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T1	M145_1_3	696.1499087000416
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T2	M145_2_1	100.64060249508162
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T2	M145_2_3	87.6190093325009
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T2	M145_2_4	152.34475920900073
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T3	M145_3_2	104.90944543724936
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T3	M145_3_3	84.5214636331156
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T3	M145_3_4	96.36572266108848
SC_RS38275		methyltransferase type 11	T1	M145_1_1	47.09441738687738
SC_RS38275		methyltransferase type 11	T1	M145_1_2	37.85692229512842
SC_RS38275		methyltransferase type 11	T1	M145_1_3	44.416926690064
SC_RS38275		methyltransferase type 11	T2	M145_2_1	11.307932864615912
SC_RS38275		methyltransferase type 11	T2	M145_2_3	19.3277226468752
SC_RS38275		methyltransferase type 11	T2	M145_2_4	21.283459007139808
SC_RS38275		methyltransferase type 11	T3	M145_3_2	13.624603303538876
SC_RS38275		methyltransferase type 11	T3	M145_3_3	5.5606226074418155
SC_RS38275		methyltransferase type 11	T3	M145_3_4	13.651810710320868
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T1	M145_1_1	88.95612173076839
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T1	M145_1_2	65.69289457095813
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T1	M145_1_3	121.2923767305594
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T2	M145_2_1	74.63235690646502
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T2	M145_2_3	60.56019762687562
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T2	M145_2_4	73.93201549848565
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T3	M145_3_2	38.148889249908855
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T3	M145_3_3	24.46673947274399
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T3	M145_3_4	48.98590901938664
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T1	M145_1_1	787.0000416651509
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T1	M145_1_2	794.9953681976967
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T1	M145_1_3	872.1092721260644
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T2	M145_2_1	5028.637744894696
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T2	M145_2_3	5745.487685494434
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T2	M145_2_4	5932.48415272697
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T3	M145_3_2	2611.8364532884025
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T3	M145_3_3	4238.306551392152
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T3	M145_3_4	2455.719832480071
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T1	M145_1_1	104.65426085972751
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T1	M145_1_2	131.38578914191626
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T1	M145_1_3	135.81329507154186
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T2	M145_2_1	508.856978907716
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T2	M145_2_3	527.0025708381304
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T2	M145_2_4	535.4470213375173
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T3	M145_3_2	187.33829542365956
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T3	M145_3_3	320.29186218864857
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T3	M145_3_4	179.07963461185608
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T1	M145_1_1	374.6622538778245
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T1	M145_1_2	379.6826618423174
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T1	M145_1_3	400.60651187769264
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T2	M145_2_1	126.64884808369824
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T2	M145_2_3	90.19603901875092
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T2	M145_2_4	88.49438218758131
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T3	M145_3_2	314.0471061465711
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T3	M145_3_3	391.4678315639038
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T3	M145_3_4	265.8087850068357
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T1	M145_1_1	221.8670330226223
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T1	M145_1_2	227.1415337707705
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T1	M145_1_3	205.85537177510432
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T2	M145_2_1	387.8620972563258
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T2	M145_2_3	416.1902943293792
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T2	M145_2_4	421.18845193076675
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T3	M145_3_2	246.60531979405368
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T3	M145_3_3	285.81600202250934
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T3	M145_3_4	192.73144532217697
SC_RS39465	SCO7452	methyltransferase	T1	M145_1_1	13.605053911764577
SC_RS39465	SCO7452	methyltransferase	T1	M145_1_2	10.0209500192987
SC_RS39465	SCO7452	methyltransferase	T1	M145_1_3	9.39588833828277
SC_RS39465	SCO7452	methyltransferase	T2	M145_2_1	54.27807775015638
SC_RS39465	SCO7452	methyltransferase	T2	M145_2_3	55.40613825437557
SC_RS39465	SCO7452	methyltransferase	T2	M145_2_4	49.288010332323765
SC_RS39465	SCO7452	methyltransferase	T3	M145_3_2	53.135952883801615
SC_RS39465	SCO7452	methyltransferase	T3	M145_3_3	31.139486601674168
SC_RS39465	SCO7452	methyltransferase	T3	M145_3_4	44.16762288633222
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T1	M145_1_1	374.6622538778245
