gene_id	old_locus_tag	product	timepoint	mean_log2	sd_log2	n
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T1	9.676228844593657	0.08154993679385598	3
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T2	12.439789096851833	0.12644607048902753	3
SC_RS05450	SCO0705	SAM-dependent methyltransferase	T3	11.55451043740048	0.431068052678307	3
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T1	3.2320461267809066	0.424156520446355	3
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T2	3.9294307385547462	0.23777917011164573	3
SC_RS06105	SCO0835	class I SAM-dependent methyltransferase	T3	4.643822032261497	0.6945982636980694	3
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T1	6.01066414167298	0.07323204419003962	3
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T2	8.757764216022284	0.11028606978347551	3
SC_RS06595	SCO0929	SAM-dependent methyltransferase	T3	7.457815025767779	0.23692215389560553	3
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T1	8.550379864801615	0.041281105456337626	3
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T2	14.025478360739775	0.1927163612187366	3
SC_RS11875	SCO1969	methylated-DNA--[protein]-cysteine S-methyltransferase	T3	10.975225762369375	0.5259242158264401	3
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T1	9.453342627279078	0.07408141882124016	3
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T2	6.799170789024271	0.41169411460895966	3
SC_RS12500	SCO2092	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	T3	6.58341471624508	0.1554010140116794	3
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T1	10.265402562312245	0.047976144584279845	3
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T2	8.335267754609523	0.08309999075083391	3
SC_RS12890	SCO2170	class I SAM-dependent methyltransferase	T3	7.185595217262093	0.2380713862570856	3
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T1	6.955958739363168	0.20296082687921482	3
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T2	9.03521394447399	0.03752473405236471	3
SC_RS13205	SCO2235	type II toxin-antitoxin system Phd/YefM family antitoxin	T3	7.79247147386608	0.4646838113121771	3
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T1	8.591792086115571	0.051003850116701596	3
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T2	6.663553728571764	0.28825909544539163	3
SC_RS13305	SCO2256	3-methyl-2-oxobutanoate hydroxymethyltransferase	T3	8.325172235358343	0.27927577145171256	3
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T1	7.775434445056143	0.07379667248865716	3
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T2	8.676473300787316	0.06410851925625877	3
SC_RS26345	SCO4837	glycine hydroxymethyltransferase	T3	7.9045981800155145	0.28598261904132133	3
SC_RS38275		methyltransferase type 11	T1	5.457685148343221	0.1592474534387212	3
SC_RS38275		methyltransferase type 11	T2	4.14826485219061	0.46096475307033563	3
SC_RS38275		methyltransferase type 11	T3	3.485721794455071	0.6684768797418401	3
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T1	6.494933794338887	0.43737703006023676	3
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T2	6.137455994280464	0.1677362189722505	3
SC_RS38280	SCO7213	SAM-dependent methyltransferase	T3	5.201630459936631	0.4925584432896134	3
SC_RS39465	SCO7452	methyltransferase	T1	3.5695045342332032	0.26225157543925287	3
SC_RS39465	SCO7452	methyltransferase	T2	5.752852791724782	0.08842661066859303	3
SC_RS39465	SCO7452	methyltransferase	T3	5.420669064928674	0.38191754592788124	3
