gene_id	old_locus_tag	gene_name	product	COG_category	4mC_change_T2_vs_T1	4mC_change_T3_vs_T1	4mC_change_T3_vs_T2	min_4mC_change	log2FC_T2_vs_T1	log2FC_T3_vs_T1	log2FC_T3_vs_T2
SC_RS12890	SCO2170		class I SAM-dependent methyltransferase	V - Defense	-6.890000000000001	-95.14	-88.25	-95.14	-1.9305582101953973	-3.221641416118338	-1.2683347914212282
SC_RS12500	SCO2092	rsmH	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	V - Defense	3.6899999999999977	-84.23	-87.92	-87.92	-2.581552436907095	-2.781829672709937	-0.1878515091301119
SC_RS38275			methyltransferase type 11	V - Defense	86.85	0.0	-86.85	-86.85	-1.0368224392531435	-1.2670846236743247	-0.1971276166982652
SC_RS38280	SCO7213		SAM-dependent methyltransferase	V - Defense	86.85	0.0	-86.85	-86.85	-0.2674348367211074	-0.9162764253548378	-0.6347170424968195
SC_RS05450	SCO0705		SAM-dependent methyltransferase	V - Defense	-20.06	-85.53	-65.47	-85.53	2.72874848943277	1.662115932148806	-1.027221155163064
SC_RS13205	SCO2235		type II toxin-antitoxin system Phd/YefM family antitoxin	V - Defense	-0.1099999999999994	-77.56	-77.45	-77.56	2.0190730686084564	0.5909984972344905	-1.395896361684464
SC_RS13305	SCO2256	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	V - Defense	-11.059999999999995	-68.55	-57.49	-68.55	-1.835310133956218	-0.3232180771437479	1.497728893618931
SC_RS26345	SCO4837		glycine hydroxymethyltransferase	V - Defense	-65.08	-0.1099999999999994	64.97	-65.08	0.8812323632139207	0.0172158558247895	-0.8642626730635267
SC_RS39465	SCO7452		methyltransferase	V - Defense	57.64	0.0	-57.64	-57.64	2.118648368653073	2.0017537356803543	-0.1080886000491703
SC_RS11875	SCO1969		methylated-DNA--[protein]-cysteine S-methyltransferase	V - Defense	54.61	0.0	-54.61	-54.61	5.534975506167998	2.2822674048788323	-3.1946094460909715
SC_RS06105	SCO0835		class I SAM-dependent methyltransferase	V - Defense	52.91	0.0	-52.91	-52.91	0.6261545303618696	1.722579944694725	0.989007150303669
SC_RS06595	SCO0929		SAM-dependent methyltransferase	V - Defense	51.82	0.0	-51.82	-51.82	2.658060779776505	1.241502087761784	-1.3890275073610383
