gene_id	label	in_COG_V_Defense	is_4mC_hypo_any	in_V_AND_hypo	4mC_change_T2_vs_T1	4mC_change_T3_vs_T1	4mC_change_T3_vs_T2	min_4mC_change	log2FC_T3_vs_T1
SC_RS35330	pglW (SCO6626)	False	False	False	0.0	0.0	0.0	0.0	-0.9026933033819952
SC_RS35335	pglX (SCO6627)	True	False	False	0.0	0.0	0.0	0.0	-0.751784818258908
SC_RS35370	pglY (SCO6635)	False	False	False	0.0	0.0	0.0	0.0	-0.2943123915198842
SC_RS35375	pglZ (SCO6636)	False	False	False	0.0	0.0	0.0	0.0	-0.3616116601337851
SC_RS28835	pglX (SCO5331, BREX-2 MTase)	True	False	False	0.0	0.0	0.0	0.0	-0.6456827690845612
SC_RS09195	SCO1444 (chitinase domain)	False	False	False	0.0	0.0	0.0	0.0	2.802108439928886
SC_RS09200	SCO1445 (SDR oxidoreductase)	False	False	False	0.0	0.0	0.0	0.0	1.1734479102255602
SC_RS09205	SCO1446 (hypothetical)	False	False	False	0.0	0.0	0.0	0.0	-0.7934956061065853
SC_RS09210	SCO1447 (ROK family TF)	False	False	False	0.0	0.0	0.0	0.0	-1.963666659241621
SC_RS23250	SCO4213 (restriction endonuclease)	True	False	False	0.0	0.0	0.0	0.0	2.150801005543229
SC_RS25315	SCO4631 (mcrA, type IV restriction endonuclease)	True	False	False	0.0	0.0	0.0	0.0	-1.4616020627226185
SC_RS16410	SCO2863 (DUF3427)	False	False	False	0.0	0.0	0.0	0.0	-1.6693306618253323
