locus_tag	methyl_T1	methyl_T2	methyl_T3	6mA_T1	6mA_T2	6mA_T3	4mC_T1	4mC_T2	4mC_T3	methyl_change_str	early_methyl_transition	late_methyl_transition	phase_ratio	temporal_class	LFC_T2vsT1	LFC_T3vsT2	direction	bloc	early_methyl_code	late_methyl_code	early_methyl_pos	late_methyl_pos
SC_RS02455	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	gained_T2,gained_T3	gained	maintained	1.4106763792276829	early	1.996267814330596	-0.5542478633783514	up	activation	1	0	2.9884097645672965	1.9354172571292894
SC_RS03250	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	0.4682334973940283	gradual	0.8492831427730276	0.8357122641998649	up	activation	-1	0	1.009748836096718	-0.008180219439417375
SC_RS04270	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	0.7098154050724834	early	1.526311821195577	0.5711975314556292	up	activation	-1	1	1.0891226192637897	3.0397019968282186
SC_RS05075	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.041924929287427956	late	0.0641306457114918	1.4335657792980592	up	activation	0	1	0.0977695333775665	2.9374276360726297
SC_RS05485	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	-0.43708466898932635	late	-1.092554429792889	3.7870932660707095	up	activation	1	0	2.911889785119588	2.0436575220905064
SC_RS06045	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	1.1379024289489021	early	-1.3086139961011785	0.1527583029756739	down	repression	0	1	-0.001721890040501279	2.931472600931723
SC_RS06310	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained		non-responder	1.6553679271158672	-1.169154145573248	up	activation	1	0	2.99556096548926	1.989411965396321
SC_RS06430	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	0.5481756428797453	gradual	1.0725951660655857	0.775503336290247	up	activation	-1	1	0.9770582275771802	2.9811063405251685
SC_RS07000	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	gained_T2,gained_T3	gained	maintained	-0.07720959971959479	late	0.0924621478190691	-1.29308592034385	down	repression	1	0	3.0075698220812113	2.045386729907012
SC_RS07215	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	lost_T3	maintained	lost	-0.11666006047673147	late	-0.4278173498979656	4.5487376470501655	up	activation	0	-1	1.9278941591199301	0.9759389008598214
SC_RS07750	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	1.1575577296046846	early	7.895713314069832	-1.0373985137501047	up	activation	0	1	-0.11978740038251245	2.9281818077631376
SC_RS07910	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	1.3778199869823824	early	-2.9236552002412837	0.7381685991440363	down	repression	1	-1	2.988052023508835	1.0237311237947273
SC_RS08090	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	gained_T2,gained_T3	gained	maintained	0.9792931361436383	early	4.8574849580221	0.097553578502828	up	activation	1	0	2.952096578561377	2.0035655440784925
SC_RS09315	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	lost_T3	maintained	lost	0.9249416389577246	early	4.026952770152274	0.3101458884651876	up	activation	0	-1	1.995958647188064	0.9495689512976259
SC_RS09835	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	2.02368720154306	early	5.5269691734079345	-2.664089686320904	up	activation	-1	1	1.0839181528873354	3.002169832581448
SC_RS10435	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	0.7140382583493746	early	1.991505486717247	0.6995656562814248	up	activation	-1	0	1.0421823587897774	-0.008251924501688336
SC_RS11515	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	1.171355260237536	early	1.6809431847299388	-0.212445199819193	up	activation	0	1	0.02818702958202331	3.0207892960196614
SC_RS13145	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	1.2422263278110506	early	-2.7985256796387907	0.5089421487394359	down	repression	-1	0	0.9912698456672525	0.04492957805047648
SC_RS13965	3.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	lost_T3	maintained	maintained	0.7081519891583037	early	-1.3096522610330428	-0.5262516935031951	down	repression	0	0	2.071391575307582	1.9877329905761594
SC_RS15270	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	lost_T3	maintained	lost	1.4656014351397864	early	-1.7747397059724868	0.5208952293944102	down	repression	0	-1	1.9462448872996445	1.02625466769212
SC_RS15485	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	lost_T2,lost_T3	lost	absent	0.08606793470286173	late	0.0972640262333668	1.021849368732434	up	unassigned	-1	0	0.9606902117614182	-0.07674878183072395
SC_RS16855	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	lost_T2	lost	gained	0.6223603035186838	early	-1.6613775957407972	-0.9772838436194428	down	repression	-1	1	0.9571779229584836	2.999900740729907
SC_RS17670	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	lost_T3	maintained	lost	0.29251697068560434	late	-0.3269667987752288	-0.7824239456371329	down	repression	0	-1	1.9761041562066801	0.9133483656526343
SC_RS17795	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	gained_T2	gained	lost	1.001628386930546	early	3.862293400136804	-0.005022114938161	up	activation	1	-1	2.9886414981298803	1.0019047384244404
