locus_tag	old_locus_tag	gene_name	product	tf_family	module	bloc	coordination_T2	coordination_T3	LFC_T2vsT1	LFC_T3vsT1	LFC_T3vsT2	padj_T2vsT1	padj_T3vsT1	padj_T3vsT2	early_magnitude	late_magnitude	phase_ratio	temporal_class	direction	temporal_direction	earliness_score	trajectory_cluster	T1_mean	T2_mean	T3_mean	T1_z	T2_z	T3_z
SC_RS02455	SCO0089		LysR family transcriptional regulator	LysR	1.0	activation	discordant_gain_up	discordant_gain_up	1.9589972494364425	1.3127734931300468	-0.623856565940799	2.5249380577013426e-17	9.797260265484812e-09	0.0023946579127299	1.9589972494364425	0.623856565940799	1.4922583824918676	early	up	early_up	0.7584623015431762	3	40.54569821230714	162.06973370584305	103.28968135983898	-1.2378418309102897	1.2112136650617025	0.026628165848586623
SC_RS03250	SCO0266		helix-turn-helix domain-containing protein	HTH (other)	2.0	activation	methyl_change_no_expr_change	concordant_derepression	0.1814637166824383	1.0523627135003395	0.8539226174319321	0.6277262454589735	0.0008245978071270458	0.008286875108206	0.1814637166824383	0.8539226174319321	0.17243457446231514	late	up	late_up	0.1752618425470423	4	24.224793190192088	27.774151466014576	52.058433135384526	-0.8457106851675884	-0.5587658051840331	1.4044764903516211
SC_RS04270	SCO0471		helix-turn-helix domain-containing protein	HTH (other)	2.0	activation	concordant_derepression	ambiguous	1.1733093432665949	1.7924413873114893	0.5749148698210658	0.0002421652039553491	3.795372707834516e-09	0.0422350654123724	1.1733093432665949	0.5749148698210658	0.6545872861295955	early	up	early_up	0.6711435148968776	4	23.146089915636512	55.302905323420454	83.90326994954559	-1.2479294335345328	0.04776675018925487	1.2001626833452776
SC_RS05075	SCO0632		sigma-70 family RNA polymerase sigma factor	Sigma factor		unassigned	methyl_change_no_expr_change	discordant_gain_up	-0.1773167519469067	1.6113360419805196	1.81982970974484	0.725454463466912	0.000187298760275269	0.00012413497611155755	0.1773167519469067	1.81982970974484	-0.11004331022656438	late	up	late_up	0.08878505174218738	4	9.400809808480577	8.132699606895171	32.3576949417244	-0.6493886547479666	-0.7632950022214269	1.4126836569693932
SC_RS05485	SCO0712		helix-turn-helix transcriptional regulator	HTH (other)	3.0	activation	methyl_change_no_expr_change	discordant_gain_up	-0.5006499103865119	2.8676687798585383	3.456963191841523	0.2594732812614108	9.986521573425925e-14	3.711742810495984e-15	0.5006499103865119	3.456963191841523	-0.17458428738454546	late	up	late_up	0.12650299497240103	4	16.50883414330821	10.936191992968112	125.83651087870517	-0.6537810852529886	-0.7591240610617197	1.4129051463147082
SC_RS06045	SCO0823		GntR family transcriptional regulator	GntR	4.0	repression	ambiguous	concordant_repression	-1.3298006901673476	-1.4690041024017018	-0.1267510004473396	1.0047448089785034e-07	5.252261329043032e-10	0.6494975652071535	1.3298006901673476	0.1267510004473396	0.9052396027984074	early	down	early_down	0.9129787144834204	2	137.3933105628831	53.05458592054325	47.78678717954719	1.4122720310307408	-0.6419816487409221	-0.7702903822898182
SC_RS06310	SCO0877		helix-turn-helix transcriptional regulator	HTH (other)	1.0	activation	discordant_gain_up	methyl_change_no_expr_change	1.688781934919955	0.3646558250554286	-1.3153794513162222	3.741050281151121e-24	0.031597342487197	2.677547570080598e-15	1.688781934919955	1.3153794513162222		non-responder	up	non-responder_up	0.5621475406085171	3	353.01303938817813	1152.860328576631	458.8281444004926	-0.8509845827085285	1.403689066034233	-0.5527044833257052
SC_RS07000	SCO1008		ArsR/SmtB family transcription factor	ArsR	4.0	repression	methyl_change_no_expr_change	concordant_repression	0.1164734698130901	-1.3536105142603478	-1.4743243438897244	0.6338600448666032	9.166532378928651e-10	6.999704350951624e-11	0.1164734698130901	1.4743243438897244	-0.08604651676832947	late	down	late_down	0.07321701651994314	1	310.9304679678069	338.5742897038015	120.0047809058862	0.5600870061473788	0.8445572746063951	-1.4046442807537727
SC_RS07215	SCO1052		helix-turn-helix domain-containing protein	HTH (other)	2.0	activation	methyl_change_no_expr_change	concordant_derepression	0.3469446698179995	2.364778272966627	1.8953912744782015	0.5054444212208189	3.2210887279223645e-06	0.0001459126441753963	0.3469446698179995	1.8953912744782015	0.14671340386714377	late	up	late_up	0.15472466143400385	4	6.631451351062374	9.166591687990636	37.72697166983587	-0.7951035998047905	-0.6152945355222325	1.4103981353270232
SC_RS07750	SCO1160		sensor histidine kinase	Sensor kinase	1.0	activation	ambiguous	discordant_gain_up	6.811744535398193	5.57493153704295	-1.2005640163641866	1.5603199022331694e-108	5.441703435340198e-73	1.520708659807912e-08	6.811744535398193	1.2005640163641866	1.221852589603508	early	up	early_up	0.8501600370613376	3	13.853231802480375	1608.329464780363	686.4365637316035	-1.1562102733786017	1.2833592418176114	-0.12714896843900977
SC_RS07910	SCO1191		MarR family winged helix-turn-helix transcriptional regulator	MarR	4.0	repression	concordant_repression	ambiguous	-2.8247283435391974	-2.1045634810451976	0.6681949956138334	8.542326584087242e-19	4.162399989543619e-14	0.040839159500124	2.8247283435391974	0.6681949956138334	1.3421920360113544	early	down	early_down	0.8087003547416164	2	178.55982251802516	24.389284032169304	39.70362275929842	1.4084547991443495	-0.8146416607680775	-0.593813138376272
SC_RS08090	SCO1227		helix-turn-helix transcriptional regulator	HTH (other)	1.0	activation	discordant_gain_up	discordant_gain_up	4.584810932372193	4.592536487844196	0.0075584796089849	6.884471988046263e-44	1.4993462065414009e-44	0.9780288825743082	4.584810932372193	0.0075584796089849	0.9983178020485081	early	up	early_up	0.9983541220161642	3	11.044999617745669	279.4638454280423	281.39914518945193	-1.4141861921396144	0.6994733538666499	0.714712838272965
SC_RS09315	SCO1468		tetratricopeptide repeat protein	TetR	2.0	activation	ambiguous	concordant_derepression	3.873766306591509	4.2561166155195	0.3669115166800192	1.2959238389849076e-39	1.1673007901518556e-48	0.0652346374342082	3.873766306591509	0.3669115166800192	0.9101645129896608	early	up	early_up	0.9134780966481655	4	13.975214659475212	212.30861130251617	276.56123003048043	-1.37470980533999	0.3999010571111562	0.9748087482288342
SC_RS09835	SCO1564		sigma-70 family RNA polymerase sigma factor	Sigma factor	1.0	activation	concordant_derepression	ambiguous	3.559311712441188	1.105773502103029	-2.3768272483237896	2.6224452530615437e-26	0.0010388954742131	5.728893474039263e-17	3.559311712441188	2.3768272483237896	3.218843375855785	early	up	early_up	0.5996004702562668	3	14.56876351752552	177.77558541033034	32.41906450301203	-0.8256900385975474	1.4071673866025498	-0.5814773480050023
SC_RS10435	SCO1684		tetratricopeptide repeat protein	TetR	2.0	activation	concordant_derepression	concordant_derepression	1.7289097130718962	2.599848031477136	0.7866689430693354	1.1503249464833512e-05	7.34846910549439e-12	0.0138474932768034	1.7289097130718962	0.7866689430693354	0.6650041433727935	early	up	early_up	0.6872811187129512	4	11.461076066242995	40.17627635827173	71.48818031585769	-1.2067082194867855	-0.03530969443473234	1.2420179139215173
SC_RS11515	SCO1897		DeoR/GlpR family DNA-binding transcription regulator	DeoR	2.0	activation	ambiguous	discordant_gain_up	1.3069071437293096	1.4766740596944503	0.1542427818451782	4.581746776202382e-05	1.560984307725348e-06	0.6119613294836029	1.3069071437293096	0.1542427818451782	0.8850342668034215	early	up	early_up	0.8944374021892535	4	24.029272422717884	61.8065240664007	69.11079562101143	-1.3980115302461444	0.5141468433093698	0.8838646869367753
SC_RS13145	SCO2223		TetR/AcrR family transcriptional regulator	TetR	4.0	repression	discordant_loss_down	discordant_loss_down	-2.60408418536578	-1.9735548451329563	0.5994424651540524	1.2629170602358348e-22	7.098317130464676e-18	0.0318014897791523	2.60408418536578	0.5994424651540524	1.3194891400093547	early	down	early_down	0.8128804500071601	2	192.69391418889379	30.603845916664113	47.68547818840825	1.40769579053052	-0.8212975482744993	-0.586398242256021
SC_RS13965	SCO2386	fasR	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	4.0	repression	ambiguous	discordant_loss_down	-1.3457214719384083	-2.008260763804589	-0.6491886596613835	5.209355572407984e-19	1.0606675794215542e-40	4.040034015243704e-05	1.3457214719384083	0.6491886596613835	0.6700929959857305	early	down	early_down	0.6745774912636124	2	1207.3940525770345	469.70836485220497	298.16146221163393	1.391744711154019	-0.4784212249036748	-0.9133234862503445
SC_RS15270	SCO2639		RNA polymerase sigma factor	Sigma factor	4.0	repression	ambiguous	discordant_loss_down	-1.718484135527773	-1.28534328878955	0.4092875807486069	9.355453169320593e-09	1.536662176317604e-06	0.1886956946897206	1.718484135527773	0.4092875807486069	1.3369845632026647	early	down	early_down	0.8076449753991334	2	102.3801701518109	29.96697780066941	40.62088140775478	1.4010252698250547	-0.8673842771520758	-0.5336409926729795
SC_RS15485	SCO2681	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	TetR	4.0	repression	discordant_loss_down	methyl_change_no_expr_change	-1.633740595502153	-0.8112210531302011	0.7853059515451751	2.0668006416906303e-08	0.0030859018231273	0.0073581108721499	1.633740595502153	0.7853059515451751	2.013927756433532	early	down	early_down	0.6753655060621918	2	274.8096764663972	84.99050777551628	150.40733439243968	1.330365227526114	-1.080629687458424	-0.2497355400676896
SC_RS16855	SCO2950		HU family DNA-binding protein	Other regulatory	4.0	repression	discordant_loss_down	ambiguous	-1.6542997259922183	-2.9016567876690877	-1.1989992934315676	2.827966405340166e-12	2.745463874769721e-34	6.20269932050944e-07	1.6542997259922183	1.1989992934315676	0.5701224669376297	gradual	down	gradual_down	0.579784913769157	2	22368.026882267484	6899.335323514827	2931.434236884628	1.3875733686134002	-0.45718552193393	-0.9303878466794702
SC_RS17670	SCO3109	mfd	transcription-repair coupling factor	Other regulatory	4.0	repression	methyl_change_no_expr_change	discordant_loss_down	-0.3256079258555034	-1.079052480924651	-0.7485784362192711	0.0366592637333631	4.436730741170686e-13	1.0909806526846285e-06	0.3256079258555034	0.7485784362192711	0.3017535584334941	late	down	late_down	0.30312051737119866	1	948.3752562197618	753.1345012743382	444.88095841853215	1.1237143693429428	0.18174856577640264	-1.3054629351193443
SC_RS17795	SCO3134		response regulator transcription factor	Response regulator	1.0	activation	discordant_gain_up	ambiguous	3.4047840224669184	3.160115290808316	-0.234252241734791	6.4490549138040534e-49	1.7319557842793294e-42	0.3071799087718228	3.4047840224669184	0.234252241734791	1.0774239890456716	early	up	early_up	0.9356279451972591	3	126.48977469273302	1358.268568462149	1147.3726891967444	-1.395979336224218	0.8940286173702687	0.5019507188539496
SC_RS20775	SCO3729		helix-turn-helix domain-containing protein	HTH (other)	4.0	repression	methyl_change_no_expr_change	concordant_repression	-0.6967113135206181	-1.0402438637691844	-0.333424791784365	0.0009370287263348228	2.724410535663219e-07	0.12900109479757	0.6967113135206181	0.333424791784365	0.6697576768164514	early	down	early_down	0.6763293800353849	2	199.08139982596649	120.81535150541526	95.82047912616626	1.3756332481652094	-0.4036953913195029	-0.9719378568457081
SC_RS21680	SCO3907		single-stranded DNA-binding protein	Other regulatory	4.0	repression	concordant_repression	ambiguous	-2.5294364079004064	-3.3273941695903377	-0.7681195823990195	8.216758919198887e-26	1.2549405730008695e-43	0.0015275332373745	2.5294364079004064	0.7681195823990195	0.7601853820077547	early	down	early_down	0.7670639756427673	2	30729.220141834434	5193.311443851292	2980.478519487544	1.4105692296842902	-0.6174163259040955	-0.7931529037801952
SC_RS22135	SCO4005		SigE family RNA polymerase sigma factor	Sigma factor	2.0	activation	methyl_change_no_expr_change	concordant_derepression	0.2650411061157262	3.231774411787676	2.944306837725684	0.3644528431520644	2.9536927980454345e-33	2.3878723294802857e-27	0.2650411061157262	2.944306837725684	0.08201101696609976	late	up	late_up	0.08258409831070805	4	119.60310347748468	145.5392574804703	1153.872118791626	-0.7338650120265111	-0.6800066555871194	1.413871667613631
SC_RS22780	SCO4122		MarR family winged helix-turn-helix transcriptional regulator	MarR	4.0	repression	discordant_loss_down	ambiguous	-3.79957961958281	-3.5392565751456435	0.2524424260109404	5.766380137126139e-88	9.025250669458276e-89	0.2356765893853004	3.79957961958281	0.2524424260109404	1.0735530298270206	early	down	early_down	0.9376996414964669	2	1227.2077941102295	87.0281342126658	105.48663414465113	1.4140723128856163	-0.7243457043208629	-0.6897266085647534
SC_RS22980	SCO4158		LacI family DNA-binding transcriptional regulator	LacI	4.0	repression	methyl_change_no_expr_change	discordant_loss_down	-0.0261795784401953	-1.386678225928751	-1.3585403095207955	0.9099118869510534	3.3533132860895164e-12	2.302475643825771e-11	0.0261795784401953	1.3585403095207955	0.01887934630448321	late	down	late_down	0.0189060463895368	1	1410.1248479003534	1383.2671672223967	530.6333791142887	0.7397324475939367	0.6739713734769139	-1.4137038210708515
SC_RS23710	SCO4305		TetR/AcrR family transcriptional regulator	TetR	4.0	repression	methyl_change_no_expr_change	concordant_repression	-0.7638015556801351	-1.1916226395492695	-0.4147283203422129	0.0005500676360110483	2.3224448164584097e-08	0.0711633338947842	0.7638015556801351	0.4147283203422129	0.6409760358103321	early	down	early_down	0.6480968969520139	2	182.57757266536808	105.49659578220665	79.150066370846	1.3710788490187726	-0.3853609903572657	-0.9857178586615064
SC_RS24380	SCO4443		MerR family transcriptional regulator	MerR	1.0	activation	discordant_gain_up	methyl_change_no_expr_change	2.1231739543915493	0.600174221573686	-1.4992048095719197	1.4387410976569703e-24	0.0038482355296621	4.728599344389068e-13	2.1231739543915493	1.4992048095719197	3.5375960480683153	early	up	early_up	0.5861269880043799	3	308.18435719892256	1368.1826773751945	475.58542962681736	-0.8793311992204844	1.3988748997935228	-0.5195437005730384
SC_RS24635	SCO4495		UdgX family uracil-DNA binding protein	Other regulatory	4.0	repression	concordant_repression	concordant_repression	-2.524458093106345	-1.2942444890352447	1.1409822149957665	1.552650565020701e-11	6.055976374760763e-05	0.0021921778254701	2.524458093106345	1.1409822149957665	1.9505264380056395	early	down	early_down	0.688718920741226	2	129.25520400778547	21.22416665353997	48.989598790595835	1.370229700653111	-0.9881873261241179	-0.3820423745289934
SC_RS25370	SCO4639		TetR/AcrR family transcriptional regulator	TetR	4.0	repression	discordant_loss_down	ambiguous	-1.205765616879327	-2.258394035683855	-1.0208117977361946	2.4762759966205292e-09	4.527002507536934e-28	3.3994899996160454e-06	1.205765616879327	1.0208117977361946	0.5339040033880598	gradual	down	gradual_down	0.5415332109768038	2	287.94781930005297	122.67220040090645	59.6216663139127	1.3627335107764924	-0.35392510569309515	-1.0088084050833974
