locus_tag	is_exposed	spearman_rho	p_value	mtase_correlation_direction	AAGCCCG_status	n_AAGCCCG_lost	LFC_T2vsT1	product	tf_family
SC_RS40740	True	-0.75	0.01994212613199253	negative	Never	0	3.155882755112203	sensor histidine kinase	Sensor kinase
SC_RS22780	True	0.7666666666666667	0.01594401657897403	positive	Never	0	-3.79957961958281	MarR family winged helix-turn-helix transcriptional regulator	MarR
SC_RS02455	True	-0.8666666666666667	0.002495398285990204	negative	Never	0	1.9589972494364425	LysR family transcriptional regulator	LysR
SC_RS07910	True	0.9166666666666666	0.0005066190663052083	positive	Never	0	-2.8247283435391974	MarR family winged helix-turn-helix transcriptional regulator	MarR
SC_RS33745	True	0.8833333333333333	0.0015905004234978695	positive	Never	0	-1.4114119775299854	TetR/AcrR family transcriptional regulator	TetR
SC_RS07750	True	-0.9166666666666666	0.0005066190663052083	negative	Never	0	6.811744535398193	sensor histidine kinase	Sensor kinase
SC_RS38475	True	-1.0	0.0	negative	Never	0	9.317497513720548	DNA-binding protein NsdB	Other regulatory
SC_RS36220	True	-0.5	0.1704706607870538	negative	Never	0	2.168987976181465	helix-turn-helix transcriptional regulator	HTH (other)
SC_RS29355	True	0.9	0.0009430623223403288	positive	Never	0	-1.9216630018303835	response regulator	Response regulator
SC_RS33075	True	-0.23431167445160245	0.5439670667628357	negative	Never	0	0.9232644917721738	TraR/DksA family transcriptional regulator	Other regulatory
SC_RS20775	True	0.45	0.22421610749233675	positive	Never	0	-0.6967113135206181	helix-turn-helix domain-containing protein	HTH (other)
SC_RS27105	True	0.38333333333333336	0.3084952723803716	positive	Never	0	-1.7170840522337387	IclR family transcriptional regulator	IclR
SC_RS06310	True	-0.9166666666666666	0.0005066190663052083	negative	Never	0	1.688781934919955	helix-turn-helix transcriptional regulator	HTH (other)
SC_RS37035	True	-0.45	0.22421610749233675	negative	Never	0	1.2351768680285735	WhiB family transcriptional regulator	WhiB
SC_RS36820	True	0.5333333333333333	0.13922686754397814	positive	Never	0	-2.5425777989933764	helix-turn-helix domain-containing protein	HTH (other)
SC_RS27300	True	0.9333333333333332	0.00023589981215941651	positive	Lost	1	-2.2543700120671244	winged helix DNA-binding domain-containing protein	HTH (other)
SC_RS29350	True	-0.48333333333333334	0.18746985521554216	negative	Never	0	1.0401395580980954	AfsR-like transcriptional regulator TcrA	Other regulatory
