COG_letter	COG_name	n_query	n_query_total	n_cog_bg	n_bg_total	frac_query	frac_bg	enrichment	odds_ratio	pvalue	padj
E	Amino acid metabolism	152	3197	297	7646	0.0475445730372224	0.0388438399162961	1.2239926109178534	1.481700922937546	0.0005630479126268893	0.011260958252537786
T	Signal transduction	155	3197	340	7646	0.048482952768220205	0.04446769552707298	1.0902960496053287	1.1744051744051744	0.08297173846913662	0.757628528636452
N	Cell motility	2	3197	2	7646	0.0006255864873318737	0.0002615746795710175	2.3916171410697533	inf	0.17479846859914872	0.757628528636452
O	Protein modification	87	3197	193	7646	0.027213012198936504	0.025241956578603193	1.0780864832801478	1.1461536128132015	0.19532146505670286	0.757628528636452
U	Secretion	63	3197	139	7646	0.01970597435095402	0.01817944023018572	1.0839703589021181	1.1566645954388204	0.22304935518070712	0.757628528636452
I	Lipid metabolism	30	3197	66	7646	0.009383797309978105	0.008631964425843578	1.0870987004862513	1.1611935585727817	0.314948100071554	0.757628528636452
G	Carbohydrate metabolism	78	3197	179	7646	0.024397873005943073	0.02341093382160607	1.042157189963356	1.0765826823144	0.3407813970313983	0.757628528636452
D	Cell division	7	3197	14	7646	0.002189552705661558	0.0018310227569971226	1.1958085705348767	1.392476489028213	0.358752714476662	0.757628528636452
M	Cell envelope	43	3197	99	7646	0.013450109477635284	0.012947946638765367	1.0387832026868624	1.069497916477942	0.40837698499164693	0.757628528636452
L	Replication/Repair	59	3197	138	7646	0.018454801376290273	0.01804865289040021	1.0225029806022856	1.0400480835168735	0.4429539646501913	0.757628528636452
Q	Secondary metabolism	7	3197	15	7646	0.002189552705661558	0.0019618100967826314	1.1160879991658847	1.21814263322884	0.44700317197763834	0.757628528636452
P	Inorganic ion transport	204	3197	486	7646	0.06380982170785111	0.06356264713575725	1.003888676498415	1.0071585472485445	0.48809723809141065	0.757628528636452
F	Nucleotide metabolism	16	3197	37	7646	0.005004691898654989	0.004839131572063824	1.0342128177598933	1.0605829254053083	0.49245854361369384	0.757628528636452
K	Transcription	333	3197	798	7646	0.10416015014075695	0.104368297148836	0.998005649093017	0.9961794918003244	0.5345637789612014	0.7580210015779425
R	General function	1110	3197	2662	7646	0.3472005004691899	0.34815589850902434	0.9972558326774702	0.9927898033481691	0.5685157511834569	0.7580210015779425
J	Translation	61	3197	152	7646	0.019080387863622147	0.019879675647397333	0.9597937210872035	0.9315359385512447	0.692882802119537	0.8661035026494213
C	Energy production	195	3197	483	7646	0.06099468251485768	0.06317028511640073	0.9655597153387202	0.9384889240506329	0.7609545413704402	0.8952406369064002
H	Coenzyme metabolism	56	3197	152	7646	0.017516421645292463	0.019879675647397333	0.8811221046046458	0.8084208850684496	0.9102174171915955	0.9842476225591292
V	Defense	46	3197	134	7646	0.014388489208633094	0.017525503531258174	0.8210028991731988	0.723457199734572	0.9696117428516055	0.9842476225591292
S	Unknown	493	3197	1260	7646	0.15420706912730686	0.16479204812974105	0.9357676591645938	0.8752430124283499	0.9842476225591292	0.9842476225591292
