GO_term	n_query	n_term_in_bg	n_query_total	n_bg_total	enrichment	odds_ratio	pvalue	gene_list	padj
GO:0006098	5	11	438	7374	7.652552926525529	13.337182448036952	0.0002476130076966201	SC_RS06830,SC_RS09295,SC_RS11715,SC_RS11720,SC_RS11725	0.04407511536999838
GO:0016740	6	21	438	7374	4.8101761252446185	6.408333333333333	0.0010707352226919952	SC_RS06765,SC_RS19445,SC_RS19450,SC_RS20845,SC_RS29625,SC_RS38165	0.0846462349117438
GO:0004359	3	5	438	7374	10.101369863013698	23.910344827586208	0.0019021625822863777	SC_RS08020,SC_RS09580,SC_RS37470	0.0846462349117438
GO:0015450	3	5	438	7374	10.101369863013698	23.910344827586208	0.0019021625822863777	SC_RS09545,SC_RS09550,SC_RS09555	0.0846462349117438
GO:0008061	2	3	438	7374	11.223744292237443	31.81192660550459	0.010145165741692235	SC_RS27180,SC_RS30580	0.17349962456780577
GO:0006207	2	3	438	7374	11.223744292237443	31.81192660550459	0.010145165741692235	SC_RS09395,SC_RS09410	0.17349962456780577
GO:0006541	2	3	438	7374	11.223744292237443	31.81192660550459	0.010145165741692235	SC_RS09395,SC_RS37470	0.17349962456780577
GO:0006525	2	3	438	7374	11.223744292237443	31.81192660550459	0.010145165741692235	SC_RS09895,SC_RS09900	0.17349962456780577
GO:0031522	2	3	438	7374	11.223744292237443	31.81192660550459	0.010145165741692235	SC_RS09545,SC_RS09550	0.17349962456780577
GO:0055052	9	66	438	7374	2.295765877957659	2.5318365844681634	0.015352424933021807	SC_RS03670,SC_RS04160,SC_RS06710,SC_RS07690,SC_RS09300,SC_RS30445,SC_RS30795,SC_RS37265,SC_RS40635	0.17349962456780577
GO:0006032	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS27180,SC_RS30580	0.17349962456780577
GO:0033308	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS16235,SC_RS16240	0.17349962456780577
GO:0003918	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS21510,SC_RS21515	0.17349962456780577
GO:0030288	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS04160,SC_RS16235	0.17349962456780577
GO:0016717	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS20915,SC_RS37465	0.17349962456780577
GO:0051470	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS16235,SC_RS16240	0.17349962456780577
GO:0033288	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS16235,SC_RS16240	0.17349962456780577
GO:0033286	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS16235,SC_RS16240	0.17349962456780577
GO:0006526	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS09910,SC_RS09915	0.17349962456780577
GO:0006886	2	4	438	7374	8.417808219178081	15.903669724770642	0.0194943398390793	SC_RS09545,SC_RS09550	0.17349962456780577
GO:0008757	5	30	438	7374	2.8059360730593603	3.192147806004619	0.030072246479367917	SC_RS13590,SC_RS30440,SC_RS34410,SC_RS40630,SC_RS41210	0.19848562592245989
GO:0033014	2	5	438	7374	6.734246575342465	10.600917431192661	0.03122245801027459	SC_RS24505,SC_RS38930	0.19848562592245989
GO:0043952	2	5	438	7374	6.734246575342465	10.600917431192661	0.03122245801027459	SC_RS09545,SC_RS09550	0.19848562592245989
GO:0006265	2	5	438	7374	6.734246575342465	10.600917431192661	0.03122245801027459	SC_RS21510,SC_RS21515	0.19848562592245989
GO:0042823	2	5	438	7374	6.734246575342465	10.600917431192661	0.03122245801027459	SC_RS09580,SC_RS09585	0.19848562592245989
GO:0004659	2	5	438	7374	6.734246575342465	10.600917431192661	0.03122245801027459	SC_RS04745,SC_RS04760	0.19848562592245989
GO:0004568	2	5	438	7374	6.734246575342465	10.600917431192661	0.03122245801027459	SC_RS27180,SC_RS30580	0.19848562592245989
GO:0052699	2	5	438	7374	6.734246575342465	10.600917431192661	0.03122245801027459	SC_RS06510,SC_RS06515	0.19848562592245989
GO:0008168	7	52	438	7374	2.2663329820864067	2.4870843000773397	0.0328342604633706	SC_RS13590,SC_RS20850,SC_RS24935,SC_RS34410,SC_RS36410,SC_RS40630,SC_RS41210	0.20153442629241267
GO:0005506	4	23	438	7374	2.927933293627159	3.3553237933543536	0.04426943002564703	SC_RS10140,SC_RS39290,SC_RS39295,SC_RS40620	0.25847444305846434
GO:0009116	2	6	438	7374	5.6118721461187215	7.9495412844036695	0.045015211993328065	SC_RS09540,SC_RS22330	0.25847444305846434
GO:0016705	3	16	438	7374	3.1566780821917804	3.6726790450928384	0.06545863188437964	SC_RS10140,SC_RS39290,SC_RS39295	0.3641136398568618
GO:0032259	5	38	438	7374	2.21521268925739	2.4154944362796558	0.07221985482271595	SC_RS13590,SC_RS20850,SC_RS34410,SC_RS40630,SC_RS41210	0.3895495199528315
GO:0005525	5	39	438	7374	2.158412363891816	2.344110854503464	0.07900230315993814	SC_RS10145,SC_RS15030,SC_RS26815,SC_RS32995,SC_RS39300	0.4021498100986241
GO:0004497	4	28	438	7374	2.4050880626223092	2.654377880184332	0.0813336694581487	SC_RS10140,SC_RS39290,SC_RS39295,SC_RS40620	0.4021498100986241
GO:0003924	4	28	438	7374	2.4050880626223092	2.654377880184332	0.0813336694581487	SC_RS10145,SC_RS15030,SC_RS32995,SC_RS39300	0.4021498100986241
GO:0050661	3	19	438	7374	2.6582552271088677	2.9827586206896552	0.09949800552794015	SC_RS06830,SC_RS11720,SC_RS40305	0.47866608064792826
GO:0006310	4	31	438	7374	2.1723376049491825	2.3584229390681	0.10904111802562107	SC_RS09560,SC_RS09565,SC_RS09570,SC_RS16745	0.5107715528568566
GO:0008299	2	10	438	7374	3.3671232876712325	3.9724770642201834	0.11550739678732991	SC_RS04745,SC_RS04760	0.5140079157036181
GO:0016779	2	10	438	7374	3.3671232876712325	3.9724770642201834	0.11550739678732991	SC_RS11960,SC_RS33185	0.5140079157036181
GO:0020037	4	32	438	7374	2.1044520547945202	2.273864384463463	0.11910508585712307	SC_RS10140,SC_RS39290,SC_RS39295,SC_RS40620	0.5170903727455587
GO:0009058	3	21	438	7374	2.4050880626223092	2.650574712643678	0.1253612568214589	SC_RS04875,SC_RS19445,SC_RS19450	0.5312929455766592
GO:0071949	5	46	438	7374	1.8299583085169744	1.9419253083985806	0.1353256189716816	SC_RS05060,SC_RS06410,SC_RS38330,SC_RS40320,SC_RS40325	0.5334922992305822
GO:1904047	6	61	438	7374	1.6559622726251961	1.7376262626262626	0.15229892902601735	SC_RS13590,SC_RS20850,SC_RS34410,SC_RS36410,SC_RS40630,SC_RS41210	0.5334922992305822
GO:0016614	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS11720	0.5334922992305822
GO:0006289	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS11820	0.5334922992305822
GO:0016712	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS40620	0.5334922992305822
GO:0009097	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS35115	0.5334922992305822
GO:0005978	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS06760	0.5334922992305822
GO:0045127	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS15385	0.5334922992305822
GO:0004527	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS39190	0.5334922992305822
GO:0065003	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS11725	0.5334922992305822
GO:0016042	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS39185	0.5334922992305822
GO:0003938	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS09280	0.5334922992305822
GO:0006520	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS09410	0.5334922992305822
GO:0000315	1	3	438	7374	5.6118721461187215	7.933638443935926	0.16784027391523934	SC_RS15035	0.5334922992305822
GO:0005576	2	13	438	7374	2.590094836670179	2.8878231859883234	0.17847573517157386	SC_RS30840,SC_RS38935	0.5447525001703957
GO:0016757	4	38	438	7374	1.7721701514059118	1.8709677419354838	0.18686511058737557	SC_RS02230,SC_RS20840,SC_RS33195,SC_RS33200	0.5447525001703957
GO:0008643	6	66	438	7374	1.530510585305106	1.5916666666666666	0.19655583818804526	SC_RS03675,SC_RS03680,SC_RS06705,SC_RS15375,SC_RS29320,SC_RS29325	0.5447525001703957
GO:0006559	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS16735	0.5447525001703957
GO:0006572	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS16735	0.5447525001703957
GO:0016783	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS29625	0.5447525001703957
GO:0005198	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS11635	0.5447525001703957
GO:0030435	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS17215	0.5447525001703957
GO:0046873	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS13765	0.5447525001703957
GO:0052621	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS26815	0.5447525001703957
GO:0009103	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS07035	0.5447525001703957
GO:0016628	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS24950	0.5447525001703957
GO:0042586	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS08010	0.5447525001703957
GO:0009360	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS19840	0.5447525001703957
GO:0043022	1	4	438	7374	4.2089041095890405	5.288329519450801	0.21728891860729266	SC_RS32995	0.5447525001703957
GO:0004673	6	71	438	7374	1.4227281497202393	1.468162393162393	0.24495199390263808	SC_RS04865,SC_RS14640,SC_RS20830,SC_RS20910,SC_RS27815,SC_RS33065	0.570274171494125
GO:0003678	2	16	438	7374	2.1044520547945202	2.2680209698558325	0.24525653467623534	SC_RS09565,SC_RS36405	0.570274171494125
GO:0016773	1	5	438	7374	3.3671232876712325	3.965675057208238	0.2638055337565472	SC_RS33185	0.570274171494125
GO:0006814	1	5	438	7374	3.3671232876712325	3.965675057208238	0.2638055337565472	SC_RS38205	0.570274171494125
GO:0016226	1	5	438	7374	3.3671232876712325	3.965675057208238	0.2638055337565472	SC_RS11635	0.570274171494125
GO:0022625	1	5	438	7374	3.3671232876712325	3.965675057208238	0.2638055337565472	SC_RS15035	0.570274171494125
GO:0019239	1	5	438	7374	3.3671232876712325	3.965675057208238	0.2638055337565472	SC_RS11950	0.570274171494125
GO:0006006	1	5	438	7374	3.3671232876712325	3.965675057208238	0.2638055337565472	SC_RS11720	0.570274171494125
GO:0036211	1	5	438	7374	3.3671232876712325	3.965675057208238	0.2638055337565472	SC_RS08010	0.570274171494125
GO:0004518	1	5	438	7374	3.3671232876712325	3.965675057208238	0.2638055337565472	SC_RS08875	0.570274171494125
GO:0008408	1	5	438	7374	3.3671232876712325	3.965675057208238	0.2638055337565472	SC_RS19840	0.570274171494125
