GO_term	n_query	n_term_in_bg	n_query_total	n_bg_total	enrichment	odds_ratio	pvalue	gene_list	padj
GO:0022857	98	175	3106	7374	1.329504185447521	1.7732712765957446	0.0001267546083171068	SC_RS02720,SC_RS03010,SC_RS04830,SC_RS05035,SC_RS05320,SC_RS05455,SC_RS06640,SC_RS07010,SC_RS07290,SC_RS07925,SC_RS08080,SC_RS08760,SC_RS08775,SC_RS09225,SC_RS09260,SC_RS09850,SC_RS10415,SC_RS10430,SC_RS10560,SC_RS11140,SC_RS11490,SC_RS12070,SC_RS12265,SC_RS12765,SC_RS12860,SC_RS13295,SC_RS13345,SC_RS13445,SC_RS13900,SC_RS14065,SC_RS14560,SC_RS14755,SC_RS14775,SC_RS15300,SC_RS15540,SC_RS15705,SC_RS16150,SC_RS16370,SC_RS16545,SC_RS16925,SC_RS18045,SC_RS18110,SC_RS18145,SC_RS18495,SC_RS18760,SC_RS18955,SC_RS20380,SC_RS20625,SC_RS21170,SC_RS21635,SC_RS21720,SC_RS22145,SC_RS22240,SC_RS22275,SC_RS22645,SC_RS22775,SC_RS22830,SC_RS23225,SC_RS23510,SC_RS23865,SC_RS24240,SC_RS24395,SC_RS24420,SC_RS25215,SC_RS25380,SC_RS27115,SC_RS27125,SC_RS27540,SC_RS27575,SC_RS27960,SC_RS29525,SC_RS29765,SC_RS29840,SC_RS31380,SC_RS31500,SC_RS31535,SC_RS31620,SC_RS31625,SC_RS31745,SC_RS31980,SC_RS32030,SC_RS32310,SC_RS32420,SC_RS32475,SC_RS34345,SC_RS34470,SC_RS34610,SC_RS35005,SC_RS35100,SC_RS35635,SC_RS36205,SC_RS36235,SC_RS36300,SC_RS36375,SC_RS37235,SC_RS38805,SC_RS39920,SC_RS40225	0.055265009226258564
GO:0006817	8	8	3106	7374	2.374114616870573	inf	0.0009856391318363482	SC_RS22885,SC_RS22890,SC_RS22895,SC_RS22900,SC_RS23325,SC_RS36260,SC_RS36265,SC_RS36270	0.14324622049354926
GO:0015986	8	8	3106	7374	2.374114616870573	inf	0.0009856391318363482	SC_RS29015,SC_RS29020,SC_RS29025,SC_RS29030,SC_RS29035,SC_RS29040,SC_RS29045,SC_RS29050	0.14324622049354926
GO:0000162	7	7	3106	7374	2.3741146168705733	inf	0.002343079536701638	SC_RS12215,SC_RS12220,SC_RS12250,SC_RS12285,SC_RS12780,SC_RS18175,SC_RS18180	0.20431653560038282
GO:0045259	7	7	3106	7374	2.3741146168705733	inf	0.002343079536701638	SC_RS29015,SC_RS29020,SC_RS29025,SC_RS29035,SC_RS29040,SC_RS29045,SC_RS29050	0.20431653560038282
GO:0006633	20	29	3106	7374	1.6373204254279814	3.0668970980053287	0.003143456381230535	SC_RS04650,SC_RS08290,SC_RS11095,SC_RS11100,SC_RS13970,SC_RS13985,SC_RS18355,SC_RS18360,SC_RS20545,SC_RS25880,SC_RS26790,SC_RS27595,SC_RS27605,SC_RS28760,SC_RS28770,SC_RS29860,SC_RS31685,SC_RS31690,SC_RS33625,SC_RS35015	0.22842449703608556
GO:0016020	201	414	3106	7374	1.1526498502197708	1.317228673244285	0.0038555442556512925	SC_RS02720,SC_RS03010,SC_RS04025,SC_RS04785,SC_RS05035,SC_RS05320,SC_RS05810,SC_RS06025,SC_RS06245,SC_RS06640,SC_RS07010,SC_RS07110,SC_RS07290,SC_RS07925,SC_RS08080,SC_RS08215,SC_RS08515,SC_RS08545,SC_RS08595,SC_RS08760,SC_RS08775,SC_RS08780,SC_RS08805,SC_RS09150,SC_RS09225,SC_RS09385,SC_RS10430,SC_RS10560,SC_RS10565,SC_RS11140,SC_RS11145,SC_RS11160,SC_RS11405,SC_RS11590,SC_RS11680,SC_RS11705,SC_RS11755,SC_RS12205,SC_RS12390,SC_RS12395,SC_RS12740,SC_RS12765,SC_RS12860,SC_RS13175,SC_RS13560,SC_RS13785,SC_RS13900,SC_RS14065,SC_RS14305,SC_RS14410,SC_RS14475,SC_RS14545,SC_RS14560,SC_RS14885,SC_RS15110,SC_RS15300,SC_RS15305,SC_RS15355,SC_RS15440,SC_RS15445,SC_RS15540,SC_RS15705,SC_RS15865,SC_RS15945,SC_RS16090,SC_RS16355,SC_RS16370,SC_RS16545,SC_RS16670,SC_RS16760,SC_RS17235,SC_RS17420,SC_RS17530,SC_RS17675,SC_RS17905,SC_RS18040,SC_RS18045,SC_RS18110,SC_RS18145,SC_RS18195,SC_RS18495,SC_RS18540,SC_RS18595,SC_RS18760,SC_RS18810,SC_RS18955,SC_RS19180,SC_RS19400,SC_RS19410,SC_RS19415,SC_RS19430,SC_RS19750,SC_RS19910,SC_RS19955,SC_RS19960,SC_RS19975,SC_RS20125,SC_RS20145,SC_RS20150,SC_RS20170,SC_RS20190,SC_RS20380,SC_RS20545,SC_RS20625,SC_RS20720,SC_RS20890,SC_RS20940,SC_RS20945,SC_RS21255,SC_RS21370,SC_RS21505,SC_RS21695,SC_RS21720,SC_RS21875,SC_RS21990,SC_RS22145,SC_RS22275,SC_RS22500,SC_RS22645,SC_RS22775,SC_RS23225,SC_RS23510,SC_RS23840,SC_RS23970,SC_RS24040,SC_RS24240,SC_RS24420,SC_RS24525,SC_RS24530,SC_RS24790,SC_RS24900,SC_RS25085,SC_RS25165,SC_RS25170,SC_RS25185,SC_RS25195,SC_RS25215,SC_RS25220,SC_RS25380,SC_RS26315,SC_RS26580,SC_RS26585,SC_RS26595,SC_RS26675,SC_RS26840,SC_RS27125,SC_RS27215,SC_RS27240,SC_RS27335,SC_RS27540,SC_RS27575,SC_RS27905,SC_RS27960,SC_RS28190,SC_RS28410,SC_RS29030,SC_RS29525,SC_RS29840,SC_RS30135,SC_RS30155,SC_RS30200,SC_RS30585,SC_RS30690,SC_RS30970,SC_RS31045,SC_RS31065,SC_RS31150,SC_RS31380,SC_RS31500,SC_RS31560,SC_RS31620,SC_RS31625,SC_RS31745,SC_RS31865,SC_RS32030,SC_RS32065,SC_RS32150,SC_RS32210,SC_RS32310,SC_RS32420,SC_RS32425,SC_RS32720,SC_RS32780,SC_RS33875,SC_RS34040,SC_RS34070,SC_RS34105,SC_RS34495,SC_RS34610,SC_RS35515,SC_RS35635,SC_RS35645,SC_RS36235,SC_RS36260,SC_RS36300,SC_RS36375,SC_RS37235,SC_RS37620,SC_RS37680,SC_RS38850,SC_RS40585	0.24014532792342336
GO:0006813	6	6	3106	7374	2.3741146168705733	inf	0.005568970976263764	SC_RS18040,SC_RS20150,SC_RS20180,SC_RS20720,SC_RS20725,SC_RS20730	0.24280713456510009
GO:0046933	6	6	3106	7374	2.3741146168705733	inf	0.005568970976263764	SC_RS29015,SC_RS29030,SC_RS29035,SC_RS29040,SC_RS29045,SC_RS29050	0.24280713456510009
GO:0016655	6	6	3106	7374	2.3741146168705733	inf	0.005568970976263764	SC_RS07950,SC_RS24970,SC_RS25120,SC_RS25150,SC_RS25165,SC_RS25195	0.24280713456510009
GO:0000160	47	85	3106	7374	1.3127457293284346	1.7103112472256154	0.00943152560683788	SC_RS03195,SC_RS04015,SC_RS04675,SC_RS07310,SC_RS07630,SC_RS08055,SC_RS08815,SC_RS10735,SC_RS11030,SC_RS12095,SC_RS12645,SC_RS12760,SC_RS12865,SC_RS13825,SC_RS16090,SC_RS16095,SC_RS17140,SC_RS17430,SC_RS17795,SC_RS20340,SC_RS21215,SC_RS21880,SC_RS22155,SC_RS22490,SC_RS22800,SC_RS23335,SC_RS23565,SC_RS23985,SC_RS25515,SC_RS26000,SC_RS28630,SC_RS28935,SC_RS29065,SC_RS29905,SC_RS30635,SC_RS31165,SC_RS31370,SC_RS31385,SC_RS31555,SC_RS31560,SC_RS31605,SC_RS32585,SC_RS32950,SC_RS33515,SC_RS33985,SC_RS34030,SC_RS37610	0.35608360903391073
GO:0006508	57	106	3106	7374	1.276646539260591	1.609647860456088	0.009800466303685617	SC_RS04070,SC_RS04100,SC_RS04800,SC_RS05590,SC_RS05705,SC_RS09435,SC_RS10715,SC_RS10740,SC_RS11150,SC_RS11775,SC_RS12125,SC_RS12720,SC_RS12725,SC_RS12740,SC_RS12895,SC_RS12935,SC_RS13325,SC_RS13355,SC_RS14695,SC_RS14795,SC_RS14965,SC_RS15290,SC_RS16665,SC_RS16680,SC_RS16770,SC_RS16940,SC_RS17400,SC_RS19675,SC_RS19975,SC_RS20185,SC_RS21130,SC_RS21180,SC_RS21915,SC_RS21990,SC_RS22025,SC_RS23195,SC_RS25100,SC_RS25780,SC_RS26130,SC_RS26145,SC_RS27085,SC_RS27510,SC_RS27770,SC_RS27910,SC_RS28180,SC_RS28655,SC_RS29415,SC_RS29420,SC_RS30155,SC_RS30690,SC_RS31345,SC_RS31800,SC_RS32425,SC_RS32620,SC_RS32785,SC_RS32790,SC_RS33245	0.35608360903391073
GO:0048038	10	13	3106	7374	1.8262420129773638	4.591946597760551	0.011868604963098708	SC_RS07950,SC_RS21245,SC_RS24970,SC_RS24980,SC_RS25150,SC_RS25155,SC_RS25160,SC_RS25165,SC_RS25185,SC_RS25195	0.38465995369455513
GO:0015415	5	5	3106	7374	2.374114616870573	inf	0.013233714003253044	SC_RS22885,SC_RS22890,SC_RS22895,SC_RS22900,SC_RS36265	0.38465995369455513
GO:0017004	5	5	3106	7374	2.374114616870573	inf	0.013233714003253044	SC_RS11685,SC_RS24525,SC_RS24530,SC_RS24535,SC_RS32210	0.38465995369455513
GO:0055085	145	302	3106	7374	1.13988946836501	1.2822639106688436	0.020149401020406067	SC_RS02720,SC_RS03010,SC_RS04190,SC_RS04785,SC_RS04830,SC_RS05035,SC_RS05320,SC_RS05455,SC_RS05705,SC_RS05810,SC_RS06640,SC_RS07010,SC_RS07110,SC_RS07275,SC_RS07290,SC_RS07925,SC_RS08080,SC_RS08515,SC_RS08760,SC_RS08775,SC_RS08780,SC_RS09225,SC_RS09260,SC_RS09850,SC_RS10415,SC_RS10430,SC_RS10560,SC_RS11140,SC_RS11300,SC_RS11460,SC_RS11465,SC_RS11490,SC_RS11525,SC_RS11530,SC_RS11680,SC_RS12070,SC_RS12265,SC_RS12390,SC_RS12765,SC_RS13295,SC_RS13345,SC_RS13445,SC_RS13560,SC_RS13900,SC_RS14065,SC_RS14560,SC_RS14755,SC_RS14775,SC_RS15300,SC_RS15355,SC_RS15540,SC_RS15705,SC_RS15945,SC_RS16070,SC_RS16150,SC_RS16370,SC_RS16545,SC_RS16670,SC_RS16760,SC_RS16925,SC_RS17000,SC_RS17235,SC_RS17675,SC_RS17915,SC_RS18045,SC_RS18110,SC_RS18145,SC_RS18230,SC_RS18760,SC_RS18810,SC_RS18955,SC_RS19400,SC_RS19635,SC_RS19640,SC_RS20380,SC_RS21110,SC_RS21170,SC_RS21255,SC_RS21635,SC_RS21720,SC_RS21935,SC_RS22145,SC_RS22240,SC_RS22275,SC_RS22410,SC_RS22500,SC_RS22645,SC_RS22775,SC_RS22830,SC_RS23225,SC_RS23510,SC_RS23865,SC_RS23970,SC_RS24040,SC_RS24240,SC_RS24395,SC_RS24420,SC_RS25085,SC_RS25215,SC_RS25380,SC_RS26595,SC_RS27115,SC_RS27125,SC_RS27315,SC_RS27540,SC_RS27575,SC_RS27730,SC_RS27750,SC_RS27960,SC_RS29525,SC_RS29575,SC_RS29765,SC_RS29840,SC_RS31045,SC_RS31065,SC_RS31140,SC_RS31380,SC_RS31500,SC_RS31535,SC_RS31745,SC_RS31865,SC_RS31980,SC_RS32030,SC_RS32065,SC_RS32310,SC_RS32420,SC_RS34345,SC_RS34610,SC_RS35005,SC_RS35100,SC_RS35210,SC_RS35215,SC_RS35635,SC_RS36205,SC_RS36235,SC_RS36300,SC_RS37235,SC_RS37280,SC_RS37285,SC_RS37370,SC_RS37375,SC_RS38805,SC_RS40020,SC_RS40225,SC_RS40585	0.5189977702153321
GO:0009058	14	21	3106	7374	1.5827430779137155	2.7561448900388097	0.020236151590964785	SC_RS08765,SC_RS08820,SC_RS08905,SC_RS12485,SC_RS13365,SC_RS17740,SC_RS18185,SC_RS20430,SC_RS24000,SC_RS25400,SC_RS27080,SC_RS31695,SC_RS31715,SC_RS34805	0.5189977702153321
GO:0019200	6	7	3106	7374	2.034955385889063	8.258709677419354	0.024924319613636527	SC_RS06185,SC_RS14750,SC_RS15825,SC_RS19495,SC_RS19590,SC_RS27100	0.6037224084191959
GO:0003678	11	16	3106	7374	1.632203799098519	3.030242326332795	0.02891170165767189	SC_RS10275,SC_RS16865,SC_RS19760,SC_RS21700,SC_RS23160,SC_RS23765,SC_RS25040,SC_RS26150,SC_RS28080,SC_RS28105,SC_RS29380	0.6634474696181549
GO:0015803	4	4	3106	7374	2.374114616870573	inf	0.0314418027736863	SC_RS05465,SC_RS12070,SC_RS12075,SC_RS12080	0.6854313004663614
GO:0016810	7	9	3106	7374	1.8465335908993346	4.818005808325267	0.03386274990967875	SC_RS04115,SC_RS09095,SC_RS13480,SC_RS17470,SC_RS25955,SC_RS25960,SC_RS27425	0.7030551886009492
GO:0004315	8	11	3106	7374	1.7266288122695077	3.6711857112115345	0.04046694156233108	SC_RS08290,SC_RS13975,SC_RS13985,SC_RS18355,SC_RS27595,SC_RS28770,SC_RS31685,SC_RS35015	0.8019812055080159
GO:0008270	44	85	3106	7374	1.2289534487330025	1.4814803014130729	0.04520707021090482	SC_RS03845,SC_RS06675,SC_RS08415,SC_RS09695,SC_RS11775,SC_RS12125,SC_RS12415,SC_RS12505,SC_RS12595,SC_RS12740,SC_RS13820,SC_RS14695,SC_RS14965,SC_RS15290,SC_RS15350,SC_RS16665,SC_RS16880,SC_RS17240,SC_RS17385,SC_RS17815,SC_RS18050,SC_RS20385,SC_RS21130,SC_RS22315,SC_RS22630,SC_RS25100,SC_RS25110,SC_RS26605,SC_RS27030,SC_RS27510,SC_RS28420,SC_RS28460,SC_RS29415,SC_RS29420,SC_RS30935,SC_RS31215,SC_RS31260,SC_RS31800,SC_RS32425,SC_RS32825,SC_RS33485,SC_RS33565,SC_RS38465,SC_RS40220	0.8224872553635987
GO:0008137	9	13	3106	7374	1.6436178116796276	3.0978366160800777	0.04527452781817975	SC_RS24970,SC_RS24975,SC_RS25010,SC_RS25020,SC_RS25025,SC_RS25030,SC_RS25160,SC_RS25185,SC_RS25195	0.8224872553635987
