pathway_id	pathway_name	n_query	n_pathway	enrichment	odds_ratio	pvalue	gene_list	padj
sco00220	Arginine biosynthesis - Streptomyces coelicolor	6	30	3.3671232876712325	4.0	0.00743964445488455	SC_RS09395,SC_RS09900,SC_RS09905,SC_RS09910,SC_RS09915,SC_RS37470	0.5802922674809949
sco00625	Chloroalkane and chloroalkene degradation - Streptomyces coelicolor	3	11	4.591531755915318	5.972413793103448	0.024011610305473306	SC_RS06440,SC_RS10540,SC_RS10545	0.7239664326652161
sco03440	Homologous recombination - Streptomyces coelicolor	4	20	3.3671232876712325	3.986175115207373	0.027844862794816006	SC_RS09560,SC_RS09565,SC_RS09570,SC_RS19840	0.7239664326652161
sco00240	Pyrimidine metabolism - Streptomyces coelicolor	5	36	2.3382800608828003	2.572077776950011	0.05965799126331057	SC_RS09395,SC_RS09405,SC_RS09410,SC_RS19845,SC_RS22330	0.7801118598679606
sco00350	Tyrosine metabolism - Streptomyces coelicolor	3	17	2.9709911361804995	3.4098522167487686	0.07611259839936321	SC_RS10540,SC_RS16735,SC_RS34405	0.7801118598679606
sco04142	Lysosome biogenesis - Streptomyces coelicolor	2	8	4.2089041095890405	5.298165137614679	0.07767910855097875	SC_RS33410,SC_RS39940	0.7801118598679606
sco00480	Glutathione metabolism - Streptomyces coelicolor	3	19	2.6582552271088677	2.9827586206896552	0.09949800552794015	SC_RS06830,SC_RS11720,SC_RS34415	0.7801118598679606
sco01059	Biosynthesis of enediyne antibiotics - Streptomyces coelicolor	1	2	8.417808219178081	15.869565217391305	0.11527523785739029	SC_RS39290	0.7801118598679606
sco00626	Naphthalene degradation - Streptomyces coelicolor	1	2	8.417808219178081	15.869565217391305	0.11527523785739029	SC_RS10540	0.7801118598679606
sco00660	C5-Branched dibasic acid metabolism - Streptomyces coelicolor	2	10	3.3671232876712325	3.9724770642201834	0.11550739678732991	SC_RS35120,SC_RS35125	0.7801118598679606
sco00750	Vitamin B6 metabolism - Streptomyces coelicolor	2	10	3.3671232876712325	3.9724770642201834	0.11550739678732991	SC_RS09580,SC_RS09585	0.7801118598679606
