pathway_id	pathway_name	n_query	n_pathway	enrichment	odds_ratio	pvalue	gene_list	padj
sco00220	Arginine biosynthesis - Streptomyces coelicolor	6	30	3.3315904139433554	3.9530905077262695	0.007831279282286363	SC_RS09395,SC_RS09900,SC_RS09905,SC_RS09910,SC_RS09915,SC_RS37470	0.6108397840183363
sco00625	Chloroalkane and chloroalkene degradation - Streptomyces coelicolor	3	11	4.543077837195485	5.9037828947368425	0.02469739524800768	SC_RS06440,SC_RS10540,SC_RS10545	0.7494531477927331
sco03440	Homologous recombination - Streptomyces coelicolor	4	20	3.3315904139433554	3.9401098901098903	0.028825121068951274	SC_RS09560,SC_RS09565,SC_RS09570,SC_RS19840	0.7494531477927331
sco00240	Pyrimidine metabolism - Streptomyces coelicolor	5	36	2.31360445412733	2.54227653829757	0.06192116422133139	SC_RS09395,SC_RS09405,SC_RS09410,SC_RS19845,SC_RS22330	0.7963143359525243
sco00350	Tyrosine metabolism - Streptomyces coelicolor	3	17	2.9396386005382547	3.370770676691729	0.07806606310343107	SC_RS10540,SC_RS16735,SC_RS34405	0.7963143359525243
sco04142	Lysosome biogenesis - Streptomyces coelicolor	2	9	3.7017671266037286	4.488902782119412	0.09783054309938385	SC_RS33410,SC_RS39940	0.7963143359525243
sco00480	Glutathione metabolism - Streptomyces coelicolor	3	19	2.630202958376333	2.9486019736842106	0.10195906300581371	SC_RS06830,SC_RS11720,SC_RS34415	0.7963143359525243
sco00626	Naphthalene degradation - Streptomyces coelicolor	1	2	8.328976034858389	15.68995633187773	0.11646639124626391	SC_RS10540	0.7963143359525243
sco01059	Biosynthesis of enediyne antibiotics - Streptomyces coelicolor	1	2	8.328976034858389	15.68995633187773	0.11646639124626391	SC_RS39290	0.7963143359525243
sco00750	Vitamin B6 metabolism - Streptomyces coelicolor	2	10	3.3315904139433554	3.927242888402626	0.1175922019334937	SC_RS09580,SC_RS09585	0.7963143359525243
sco00660	C5-Branched dibasic acid metabolism - Streptomyces coelicolor	2	10	3.3315904139433554	3.927242888402626	0.1175922019334937	SC_RS35120,SC_RS35125	0.7963143359525243
sco00340	Histidine metabolism - Streptomyces coelicolor	3	21	2.3797074385309682	2.6202485380116958	0.12834757549345316	SC_RS06510,SC_RS06515,SC_RS10545	0.7963143359525243
sco00900	Terpenoid backbone biosynthesis - Streptomyces coelicolor	3	22	2.2715389185977424	2.481994459833795	0.14235813849667892	SC_RS04745,SC_RS04760,SC_RS17850	0.7963143359525243
sco00622	Xylene degradation - Streptomyces coelicolor	1	3	5.552650689905592	7.843886462882096	0.1695200184594985	SC_RS34405	0.7963143359525243
sco00564	Glycerophospholipid metabolism - Streptomyces coelicolor	3	24	2.082244008714597	2.2449874686716793	0.17176847259654907	SC_RS15045,SC_RS30365,SC_RS39950	0.7963143359525243
sco00030	Pentose phosphate pathway - Streptomyces coelicolor	4	39	1.7085079045863363	1.796420722135008	0.2043602473036068	SC_RS06830,SC_RS09295,SC_RS11715,SC_RS11720	0.7963143359525243
sco03450	Non-homologous end-joining - Streptomyces coelicolor	1	4	4.1644880174291945	5.228529839883552	0.2193944540904144	SC_RS38940	0.7963143359525243
sco00623	Toluene degradation - Streptomyces coelicolor	1	4	4.1644880174291945	5.228529839883552	0.2193944540904144	SC_RS34405	0.7963143359525243
sco01053	Biosynthesis of siderophore group nonribosomal peptides - Streptomyces coelicolor	1	4	4.1644880174291945	5.228529839883552	0.2193944540904144	SC_RS40615	0.7963143359525243
sco00470	D-Amino acid metabolism - Streptomyces coelicolor	2	15	2.221060275962237	2.4150816360882006	0.22635524794205708	SC_RS07045,SC_RS37470	0.7963143359525243
sco03070	Bacterial secretion system - Streptomyces coelicolor	2	15	2.221060275962237	2.4150816360882006	0.22635524794205708	SC_RS09550,SC_RS09555	0.7963143359525243
sco00520	Amino sugar and nucleotide sugar metabolism - Streptomyces coelicolor	5	55	1.5143592790651614	1.5720264317180617	0.23314563835829363	SC_RS06760,SC_RS11815,SC_RS16850,SC_RS28355,SC_RS28360	0.7963143359525243
sco00360	Phenylalanine metabolism - Streptomyces coelicolor	3	28	1.784780578898226	1.8847368421052633	0.2348106375244623	SC_RS12570,SC_RS16735,SC_RS34405	0.7963143359525243
sco00361	Chlorocyclohexane and chlorobenzene degradation - Streptomyces coelicolor	1	5	3.3315904139433554	3.9208515283842793	0.2662798172901657	SC_RS06440	0.8235931895030658
sco00907	Pinene, camphor and geraniol degradation - Streptomyces coelicolor	1	5	3.3315904139433554	3.9208515283842793	0.2662798172901657	SC_RS15975	0.8235931895030658
sco00550	Peptidoglycan biosynthesis - Streptomyces coelicolor	3	32	1.561683006535948	1.6238656987295825	0.30111034675230525	SC_RS08020,SC_RS16850,SC_RS37460	0.8235931895030658
sco00051	Fructose and mannose metabolism - Streptomyces coelicolor	3	32	1.561683006535948	1.6238656987295825	0.30111034675230525	SC_RS11815,SC_RS13760,SC_RS33420	0.8235931895030658
sco00552	Teichoic acid biosynthesis - Streptomyces coelicolor	1	6	2.776325344952796	3.136244541484716	0.31035488126920174	SC_RS37460	0.8235931895030658
