pathway_id	pathway_name	n_query	n_pathway	enrichment	odds_ratio	pvalue	gene_list	padj
sco00975	Biosynthesis of various siderophores - Streptomyces coelicolor	5	7	12.190688775510205	40.60948081264108	1.2861637966980709e-05	SC_RS15995,SC_RS16000,SC_RS16005,SC_RS16010,SC_RS31235	0.0008745913817546882
sco00790	Folate biosynthesis - Streptomyces coelicolor	6	20	5.120089285714285	6.965740142210731	0.000749135326593586	SC_RS09180,SC_RS19125,SC_RS19130,SC_RS19140,SC_RS21265,SC_RS21390	0.025470601104181926
sco00190	Oxidative phosphorylation - Streptomyces coelicolor	11	66	2.8444940476190474	3.2691075514874144	0.0014160505302307721	SC_RS12795,SC_RS12800,SC_RS12815,SC_RS12820,SC_RS17585,SC_RS19170,SC_RS24990,SC_RS24995,SC_RS25000,SC_RS25005,SC_RS38810	0.0320971453518975
sco00550	Peptidoglycan biosynthesis - Streptomyces coelicolor	7	32	3.7333984375000004	4.554285714285714	0.002115740225047512	SC_RS12465,SC_RS12470,SC_RS12475,SC_RS12480,SC_RS15105,SC_RS19165,SC_RS24360	0.035967583825807704
sco00450	Selenocompound metabolism - Streptomyces coelicolor	4	14	4.876275510204081	6.475675675675675	0.007269497530446045	SC_RS11640,SC_RS21595,SC_RS21745,SC_RS34375	0.09886516641406622
sco00930	Caprolactam degradation - Streptomyces coelicolor	2	5	6.826785714285714	10.754857997010463	0.030433023218017316	SC_RS11385,SC_RS35850	0.3449075964708629
sco00260	Glycine, serine and threonine metabolism - Streptomyces coelicolor	6	43	2.381436877076412	2.6272471566589215	0.037835765294507114	SC_RS07390,SC_RS08855,SC_RS21745,SC_RS31235,SC_RS36175,SC_RS36180	0.3675474342894977
sco00785	Lipoic acid metabolism - Streptomyces coelicolor	3	19	2.694783834586466	3.026123595505618	0.09642714965692874	SC_RS08855,SC_RS21275,SC_RS28590	0.7042266795919905
sco03410	Base excision repair - Streptomyces coelicolor	3	20	2.5600446428571426	2.847719762062128	0.10874177726251297	SC_RS12045,SC_RS18890,SC_RS33000	0.7042266795919905
sco00340	Histidine metabolism - Streptomyces coelicolor	3	21	2.4381377551020407	2.689138576779026	0.1216262573796124	SC_RS09165,SC_RS09170,SC_RS19225	0.7042266795919905
sco00670	One carbon pool by folate - Streptomyces coelicolor	3	22	2.3273133116883113	2.5472501478415137	0.13503589956809386	SC_RS17230,SC_RS21745,SC_RS24185	0.7042266795919905
sco00760	Nicotinate and nicotinamide metabolism - Streptomyces coelicolor	3	22	2.3273133116883113	2.5472501478415137	0.13503589956809386	SC_RS16685,SC_RS16690,SC_RS19030	0.7042266795919905
sco00250	Alanine, aspartate and glutamate metabolism - Streptomyces coelicolor	4	35	1.9505102040816324	2.0828247602441152	0.14628011803365176	SC_RS09390,SC_RS10075,SC_RS12160,SC_RS12165	0.7042266795919905
sco00310	Lysine degradation - Streptomyces coelicolor	3	23	2.2261257763975153	2.419550561797753	0.14892553799912997	SC_RS09245,SC_RS19225,SC_RS35850	0.7042266795919905
sco02010	ABC transporters - Streptomyces coelicolor	15	192	1.3333565848214284	1.374133949191686	0.15544339666781545	SC_RS03525,SC_RS06520,SC_RS09805,SC_RS09810,SC_RS10110,SC_RS10550,SC_RS13645,SC_RS16750,SC_RS16755,SC_RS16825,SC_RS16830,SC_RS16835,SC_RS35030,SC_RS35035,SC_RS35040	0.7042266795919905
sco00572	Arabinogalactan biosynthesis - Mycobacterium - Streptomyces coelicolor	1	3	5.688988095238095	8.049217002237137	0.1657003951981154	SC_RS25825	0.7042266795919905
sco00903	Limonene degradation - Streptomyces coelicolor	1	4	4.266741071428571	5.3653989560029824	0.2146034729099098	SC_RS19225	0.7706058175059141
sco00470	D-Amino acid metabolism - Streptomyces coelicolor	2	15	2.275595238095238	2.478440841669541	0.21825523353335693	SC_RS12470,SC_RS34385	0.7706058175059141
sco00910	Nitrogen metabolism - Streptomyces coelicolor	3	29	1.7655480295566501	1.8596369922212619	0.23984936183266006	SC_RS10075,SC_RS12160,SC_RS12165	0.7706058175059141
sco00970	Aminoacyl-tRNA biosynthesis - Streptomyces coelicolor	3	30	1.7066964285714286	1.7905118601747816	0.2558697678771817	SC_RS12420,SC_RS21100,SC_RS34375	0.7706058175059141
sco00220	Arginine biosynthesis - Streptomyces coelicolor	3	30	1.7066964285714286	1.7905118601747816	0.2558697678771817	SC_RS09390,SC_RS10075,SC_RS19005	0.7706058175059141
sco00280	Valine, leucine and isoleucine degradation - Streptomyces coelicolor	4	44	1.5515422077922076	1.6121621621621622	0.2560486435166569	SC_RS15970,SC_RS19225,SC_RS21275,SC_RS35850	0.7706058175059141
sco00907	Pinene, camphor and geraniol degradation - Streptomyces coelicolor	1	5	3.413392857142857	4.023489932885906	0.2606460853328827	SC_RS35850	0.7706058175059141
sco00640	Propanoate metabolism - Streptomyces coelicolor	3	32	1.6000279017857144	1.6665633475397132	0.2882983734800991	SC_RS21275,SC_RS26200,SC_RS35850	0.8029710070407996
sco00410	beta-Alanine metabolism - Streptomyces coelicolor	2	19	1.7965225563909772	1.8942231601160644	0.3070183262214822	SC_RS19225,SC_RS35850	0.8029710070407996
sco00300	Lysine biosynthesis - Streptomyces coelicolor	2	19	1.7965225563909772	1.8942231601160644	0.3070183262214822	SC_RS12480,SC_RS34385	0.8029710070407996
sco00740	Riboflavin metabolism - Streptomyces coelicolor	1	8	2.1333705357142856	2.2981783317353788	0.38323270552670624	SC_RS09180	0.856549073763205
sco00030	Pentose phosphate pathway - Streptomyces coelicolor	3	39	1.3128434065934067	1.341198501872659	0.40241795414055226	SC_RS11710,SC_RS35475,SC_RS35480	0.856549073763205
sco00520	Amino sugar and nucleotide sugar metabolism - Streptomyces coelicolor	4	55	1.241233766233766	1.2624977919095566	0.40409595668461473	SC_RS09195,SC_RS14190,SC_RS25840,SC_RS35480	0.856549073763205
sco00564	Glycerophospholipid metabolism - Streptomyces coelicolor	2	24	1.4222470238095237	1.462698736241337	0.414712709171716	SC_RS10805,SC_RS30010	0.856549073763205
sco00561	Glycerolipid metabolism - Streptomyces coelicolor	2	24	1.4222470238095237	1.462698736241337	0.414712709171716	SC_RS10805,SC_RS19225	0.856549073763205
sco00630	Glyoxylate and dicarboxylate metabolism - Streptomyces coelicolor	4	56	1.2190688775510203	1.2380457380457381	0.4175342867434188	SC_RS08855,SC_RS10075,SC_RS24185,SC_RS28590	0.856549073763205
sco00860	Porphyrin metabolism - Streptomyces coelicolor	3	41	1.2488022648083623	1.2702542874039031	0.4342904042637953	SC_RS09780,SC_RS09785,SC_RS11280	0.856549073763205
