pathway_id	pathway_name	n_query	n_pathway	enrichment	odds_ratio	pvalue	gene_list	padj
sco02024	Quorum sensing - Streptomyces coelicolor	55	90	1.4508478214209057	2.180221941283888	0.00020196823541435296	SC_RS04690,SC_RS05465,SC_RS08615,SC_RS08685,SC_RS11430,SC_RS11755,SC_RS12070,SC_RS12075,SC_RS12080,SC_RS12085,SC_RS12090,SC_RS12250,SC_RS12615,SC_RS12630,SC_RS12700,SC_RS15530,SC_RS15565,SC_RS15685,SC_RS16200,SC_RS16355,SC_RS17125,SC_RS18165,SC_RS18180,SC_RS18185,SC_RS19205,SC_RS19400,SC_RS19405,SC_RS19990,SC_RS24175,SC_RS24680,SC_RS25410,SC_RS27710,SC_RS27720,SC_RS27725,SC_RS27730,SC_RS27735,SC_RS27740,SC_RS27745,SC_RS27750,SC_RS29570,SC_RS29575,SC_RS29580,SC_RS29585,SC_RS30120,SC_RS30150,SC_RS31605,SC_RS34460,SC_RS34465,SC_RS34470,SC_RS34950,SC_RS35640,SC_RS40015,SC_RS40020,SC_RS40585,SC_RS40590	0.023630283543479295
sco02020	Two-component system - Streptomyces coelicolor	64	115	1.3212463954757971	1.7396191875829885	0.002208253964087057	SC_RS07640,SC_RS07645,SC_RS08410,SC_RS08960,SC_RS11030,SC_RS11425,SC_RS11685,SC_RS12380,SC_RS13085,SC_RS13235,SC_RS13300,SC_RS13455,SC_RS13565,SC_RS14175,SC_RS16860,SC_RS17510,SC_RS19905,SC_RS19910,SC_RS19915,SC_RS19990,SC_RS20080,SC_RS20085,SC_RS20095,SC_RS20100,SC_RS20105,SC_RS20720,SC_RS20725,SC_RS21215,SC_RS21540,SC_RS21880,SC_RS22025,SC_RS22490,SC_RS22495,SC_RS22900,SC_RS23330,SC_RS23335,SC_RS24675,SC_RS24785,SC_RS24790,SC_RS24795,SC_RS24800,SC_RS26690,SC_RS26900,SC_RS26905,SC_RS26910,SC_RS26915,SC_RS27195,SC_RS27210,SC_RS27215,SC_RS27220,SC_RS27225,SC_RS27910,SC_RS28485,SC_RS29365,SC_RS30140,SC_RS30145,SC_RS31160,SC_RS31600,SC_RS31605,SC_RS34930,SC_RS35845,SC_RS36270,SC_RS37610,SC_RS37615	0.1291828568990928
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor	18	27	1.5827430779137155	2.758419689119171	0.008673295643525538	SC_RS12130,SC_RS12215,SC_RS12220,SC_RS12230,SC_RS12250,SC_RS12285,SC_RS12305,SC_RS12615,SC_RS12780,SC_RS18165,SC_RS18170,SC_RS18175,SC_RS18180,SC_RS18185,SC_RS18220,SC_RS21950,SC_RS25400,SC_RS26080	0.33825853009749596
sco01056	Biosynthesis of type II polyketide backbone - Streptomyces coelicolor	5	5	2.374114616870573	inf	0.013233714003253044	SC_RS27590,SC_RS27595,SC_RS27600,SC_RS27605,SC_RS27610	0.3870861345951515
sco00333	Prodigiosin biosynthesis - Streptomyces coelicolor	16	25	1.5194333547971668	2.450341603739662	0.02250578940330743	SC_RS08695,SC_RS11100,SC_RS13970,SC_RS19630,SC_RS24670,SC_RS31635,SC_RS31640,SC_RS31685,SC_RS31690,SC_RS31695,SC_RS31700,SC_RS31705,SC_RS31715,SC_RS31720,SC_RS31725,SC_RS33495	0.4074975859195164
sco00330	Arginine and proline metabolism - Streptomyces coelicolor	18	29	1.4735883828851832	2.2558290155440415	0.023887863012801706	SC_RS08070,SC_RS14310,SC_RS14980,SC_RS14990,SC_RS15935,SC_RS18805,SC_RS20415,SC_RS23580,SC_RS25335,SC_RS25400,SC_RS29780,SC_RS29785,SC_RS29820,SC_RS32410,SC_RS33935,SC_RS35885,SC_RS37920,SC_RS40200	0.4074975859195164
sco03430	Mismatch repair - Streptomyces coelicolor	11	16	1.632203799098519	3.030242326332795	0.02891170165767189	SC_RS12360,SC_RS14870,SC_RS15495,SC_RS21535,SC_RS21680,SC_RS22460,SC_RS26150,SC_RS28085,SC_RS28105,SC_RS29655,SC_RS32660	0.4074975859195164
sco00074	Mycolic acid biosynthesis - Streptomyces coelicolor	7	9	1.8465335908993346	4.818005808325267	0.03386274990967875	SC_RS13970,SC_RS25880,SC_RS26785,SC_RS26790,SC_RS33605,SC_RS35245,SC_RS35550	0.4074975859195164
sco00230	Purine metabolism - Streptomyces coelicolor	37	69	1.2730759539740752	1.5959188660801564	0.034972891825987514	SC_RS05715,SC_RS07610,SC_RS07615,SC_RS07620,SC_RS09370,SC_RS12445,SC_RS14400,SC_RS14780,SC_RS15130,SC_RS16320,SC_RS17410,SC_RS17415,SC_RS17740,SC_RS18860,SC_RS19150,SC_RS20280,SC_RS22465,SC_RS22480,SC_RS22525,SC_RS22530,SC_RS22535,SC_RS22565,SC_RS22570,SC_RS25395,SC_RS26085,SC_RS26665,SC_RS27020,SC_RS28315,SC_RS29815,SC_RS31210,SC_RS31265,SC_RS32615,SC_RS32725,SC_RS32730,SC_RS32735,SC_RS33485,SC_RS33490	0.4074975859195164
sco00261	Monobactam biosynthesis - Streptomyces coelicolor	9	13	1.6436178116796276	3.0978366160800777	0.04527452781817975	SC_RS11595,SC_RS18205,SC_RS18250,SC_RS18255,SC_RS20205,SC_RS20210,SC_RS30930,SC_RS32725,SC_RS32730	0.4074975859195164
sco00190	Oxidative phosphorylation - Streptomyces coelicolor	35	66	1.2590001756131828	1.5577042257959475	0.047451911988476536	SC_RS11685,SC_RS11705,SC_RS12785,SC_RS12790,SC_RS12825,SC_RS22765,SC_RS24970,SC_RS24975,SC_RS24980,SC_RS24985,SC_RS25010,SC_RS25015,SC_RS25020,SC_RS25025,SC_RS25030,SC_RS25150,SC_RS25155,SC_RS25160,SC_RS25165,SC_RS25170,SC_RS25185,SC_RS25190,SC_RS25195,SC_RS27690,SC_RS27695,SC_RS29015,SC_RS29020,SC_RS29025,SC_RS29030,SC_RS29035,SC_RS29040,SC_RS29045,SC_RS29050,SC_RS34990,SC_RS37825	0.4074975859195164
sco03030	DNA replication - Streptomyces coelicolor	11	17	1.5361918109162531	2.5246095853527195	0.051140857167073034	SC_RS12360,SC_RS13525,SC_RS14390,SC_RS14870,SC_RS15495,SC_RS21535,SC_RS21680,SC_RS21700,SC_RS22460,SC_RS29655,SC_RS32660	0.4074975859195164
sco00061	Fatty acid biosynthesis - Streptomyces coelicolor	17	29	1.3917223616137844	1.9518722348116975	0.05408951193348036	SC_RS08315,SC_RS08615,SC_RS08695,SC_RS11100,SC_RS12700,SC_RS13970,SC_RS13975,SC_RS13985,SC_RS15685,SC_RS18355,SC_RS19630,SC_RS24670,SC_RS24680,SC_RS33495,SC_RS33605,SC_RS34950,SC_RS35015	0.4074975859195164
