bin_center	density	total_sites	n_tss	mod_type	gene_cat	timepoint
-4900.000000	0.236377	131.000000	2771	4mC	All	T1
-4700.000000	0.234572	130.000000	2771	4mC	All	T1
-4500.000000	0.227355	126.000000	2771	4mC	All	T1
-4300.000000	0.258030	143.000000	2771	4mC	All	T1
-4100.000000	0.236377	131.000000	2771	4mC	All	T1
-3900.000000	0.261638	145.000000	2771	4mC	All	T1
-3700.000000	0.230964	128.000000	2771	4mC	All	T1
-3500.000000	0.259834	144.000000	2771	4mC	All	T1
-3300.000000	0.249008	138.000000	2771	4mC	All	T1
-3100.000000	0.268856	149.000000	2771	4mC	All	T1
-2900.000000	0.238181	132.000000	2771	4mC	All	T1
-2700.000000	0.230964	128.000000	2771	4mC	All	T1
-2500.000000	0.274269	152.000000	2771	4mC	All	T1
-2300.000000	0.250812	139.000000	2771	4mC	All	T1
-2100.000000	0.239986	133.000000	2771	4mC	All	T1
-1900.000000	0.274269	152.000000	2771	4mC	All	T1
-1700.000000	0.268856	149.000000	2771	4mC	All	T1
-1500.000000	0.247203	137.000000	2771	4mC	All	T1
-1300.000000	0.272465	151.000000	2771	4mC	All	T1
-1100.000000	0.283291	157.000000	2771	4mC	All	T1
-900.000000	0.243594	135.000000	2771	4mC	All	T1
-700.000000	0.256225	142.000000	2771	4mC	All	T1
-500.000000	0.227355	126.000000	2771	4mC	All	T1
-300.000000	0.238181	132.000000	2771	4mC	All	T1
-100.000000	0.185853	103.000000	2771	4mC	All	T1
100.000000	0.220137	122.000000	2771	4mC	All	T1
300.000000	0.241790	134.000000	2771	4mC	All	T1
500.000000	0.268856	149.000000	2771	4mC	All	T1
700.000000	0.258030	143.000000	2771	4mC	All	T1
900.000000	0.276074	153.000000	2771	4mC	All	T1
1100.000000	0.268856	149.000000	2771	4mC	All	T1
1300.000000	0.297726	165.000000	2771	4mC	All	T1
1500.000000	0.245399	136.000000	2771	4mC	All	T1
1700.000000	0.322988	179.000000	2771	4mC	All	T1
1900.000000	0.212920	118.000000	2771	4mC	All	T1
2100.000000	0.247203	137.000000	2771	4mC	All	T1
2300.000000	0.211115	117.000000	2771	4mC	All	T1
2500.000000	0.254421	141.000000	2771	4mC	All	T1
2700.000000	0.241790	134.000000	2771	4mC	All	T1
2900.000000	0.191267	106.000000	2771	4mC	All	T1
3100.000000	0.254421	141.000000	2771	4mC	All	T1
3300.000000	0.256225	142.000000	2771	4mC	All	T1
3500.000000	0.227355	126.000000	2771	4mC	All	T1
3700.000000	0.230964	128.000000	2771	4mC	All	T1
3900.000000	0.245399	136.000000	2771	4mC	All	T1
4100.000000	0.283291	157.000000	2771	4mC	All	T1
4300.000000	0.234572	130.000000	2771	4mC	All	T1
4500.000000	0.276074	153.000000	2771	4mC	All	T1
4700.000000	0.259834	144.000000	2771	4mC	All	T1
4900.000000	0.261638	145.000000	2771	4mC	All	T1
-4900.000000	0.288704	160.000000	2771	4mC	All	T2
-4700.000000	0.274269	152.000000	2771	4mC	All	T2
-4500.000000	0.270660	150.000000	2771	4mC	All	T2
-4300.000000	0.292313	162.000000	2771	4mC	All	T2
-4100.000000	0.274269	152.000000	2771	4mC	All	T2
-3900.000000	0.288704	160.000000	2771	4mC	All	T2
-3700.000000	0.263443	146.000000	2771	4mC	All	T2
-3500.000000	0.297726	165.000000	2771	4mC	All	T2
-3300.000000	0.281487	156.000000	2771	4mC	All	T2
-3100.000000	0.283291	157.000000	2771	4mC	All	T2
-2900.000000	0.254421	141.000000	2771	4mC	All	T2
-2700.000000	0.250812	139.000000	2771	4mC	All	T2
-2500.000000	0.306748	170.000000	2771	4mC	All	T2
-2300.000000	0.274269	152.000000	2771	4mC	All	T2
-2100.000000	0.281487	156.000000	2771	4mC	All	T2
-1900.000000	0.315770	175.000000	2771	4mC	All	T2
-1700.000000	0.315770	175.000000	2771	4mC	All	T2
-1500.000000	0.277878	154.000000	2771	4mC	All	T2
-1300.000000	0.301335	167.000000	2771	4mC	All	T2
-1100.000000	0.297726	165.000000	2771	4mC	All	T2
-900.000000	0.274269	152.000000	2771	4mC	All	T2
-700.000000	0.288704	160.000000	2771	4mC	All	T2
-500.000000	0.263443	146.000000	2771	4mC	All	T2
-300.000000	0.277878	154.000000	2771	4mC	All	T2
-100.000000	0.218333	121.000000	2771	4mC	All	T2
100.000000	0.243594	135.000000	2771	4mC	All	T2
