mod_type	gene_cat	timepoint	upstream_density	downstream_density	far_upstream_density	protection_ratio
4mC	All	T1	0.21713	0.23096	0.26370	0.82340
4mC	All	T2	0.25322	0.26615	0.29592	0.85569
4mC	All	T3	0.17503	0.17503	0.20184	0.86718
4mC	Regulatory	T1	0.19358	0.15581	0.23068	0.83918
4mC	Regulatory	T2	0.24079	0.17705	0.28531	0.84397
4mC	Regulatory	T3	0.18414	0.12748	0.17604	1.04598
4mC	Non-regulatory	T1	0.22057	0.24194	0.26852	0.82142
4mC	Non-regulatory	T2	0.25503	0.27916	0.29747	0.85733
4mC	Non-regulatory	T3	0.17370	0.18197	0.20560	0.84483
6mA	All	T1	0.19247	0.16601	0.22194	0.86721
6mA	All	T2	0.22074	0.18946	0.24643	0.89575
6mA	All	T3	0.23999	0.19939	0.26061	0.92087
6mA	Regulatory	T1	0.14636	0.10623	0.15783	0.92735
6mA	Regulatory	T2	0.15109	0.16289	0.20639	0.73203
6mA	Regulatory	T3	0.16997	0.14873	0.22258	0.76364
6mA	Non-regulatory	T1	0.19920	0.17473	0.23130	0.86122
6mA	Non-regulatory	T2	0.23091	0.19334	0.25227	0.91530
6mA	Non-regulatory	T3	0.25021	0.20678	0.26616	0.94007
