comparison	mod_type	deg_status	n	median_dist	mean_dist
T2vsT1	4mC	up	2502	1189.0	1751.1334932054356
T2vsT1	4mC	down	2522	1124.5	1600.0333068992863
T2vsT1	4mC	non-DEG	2656	1202.0	1703.932981927711
T2vsT1	6mA	up	2502	1092.5	1651.136690647482
T2vsT1	6mA	down	2522	1170.0	1792.1978588421887
T2vsT1	6mA	non-DEG	2656	1180.5	1797.7006777108434
T3vsT1	4mC	up	3134	1183.0	1704.949904275686
T3vsT1	4mC	down	2697	1125.0	1641.420467185762
T3vsT1	4mC	non-DEG	1849	1225.0	1715.5446187128177
T3vsT1	6mA	up	3134	1116.0	1682.6547543075942
T3vsT1	6mA	down	2697	1190.0	1790.4530960326288
T3vsT1	6mA	non-DEG	1849	1131.0	1797.440778799351
T3vsT2	4mC	up	2290	1192.5	1680.1602620087335
T3vsT2	4mC	down	2484	1148.0	1690.7512077294687
T3vsT2	4mC	non-DEG	2906	1187.0	1684.4022711631108
T3vsT2	6mA	up	2290	1160.5	1740.7528384279476
T3vsT2	6mA	down	2484	1167.0	1713.0740740740741
T3vsT2	6mA	non-DEG	2906	1131.5	1783.9504473503098
