metric	value
n_shielded_universe	762.0
n_layer2	680.0
n_layer3	115.0
n_layer2_only	610.0
n_layer3_only	45.0
n_intersection	70.0
n_neither	37.0
n_union	725.0
expected_intersection_if_independent	102.62
jaccard	0.0966
fisher_odds_ratio	0.0944
fisher_p_value	1.2063797181329091e-19
layer2_share_of_universe	0.8924
layer3_share_of_universe	0.1509
population_layer2_pct_of_total_deficit	81.92
population_layer3_pct_of_total_deficit	18.08
genome_baseline_density_per_kb	0.2579
shield_boundary_bp	293.0
window_kb_per_gene_each_side	2.0
PZ_n_universe	762.0
PZ_n_layer2	676.0
PZ_n_layer3	25.0
PZ_n_intersection	0.0
PZ_jaccard	0.0
PZ_fisher_OR	0.0
PZ_fisher_p	6.349901273227306e-26
PZ_expected_intersection_if_independent	22.18
PZ_layer2_pct_of_deficit	89.32
PZ_layer3_pct_of_deficit	10.68
PZ_window_half_bp	600.0
