locus_tag	category	upstream_density	downstream_density
SC_RS02220	Shielded	0.0	0.0
SC_RS02260	Shielded	0.0	0.0
SC_RS02325	Shielded	0.0	0.0
SC_RS02330	Shielded	0.0	0.0
SC_RS02530	Shielded	0.0	0.0
SC_RS02550	Shielded	0.0	0.0
SC_RS02625	Shielded	0.0	0.0
SC_RS02660	Shielded	0.0	0.0
SC_RS02680	Shielded	0.0	0.0
SC_RS02705	Shielded	2.0	0.0
SC_RS02735	Shielded	0.0	0.0
SC_RS02745	Shielded	0.0	0.0
SC_RS02750	Shielded	0.0	0.0
SC_RS02915	Shielded	0.0	0.0
SC_RS02920	Shielded	0.0	0.0
SC_RS02965	Shielded	0.0	0.0
SC_RS02970	Shielded	0.0	0.0
SC_RS03000	Shielded	0.0	0.0
SC_RS03080	Shielded	0.0	0.0
SC_RS03095	Shielded	0.0	0.0
SC_RS03110	Shielded	0.0	0.0
SC_RS03135	Shielded	0.0	0.0
SC_RS03175	Shielded	0.0	0.0
SC_RS03185	Shielded	2.0	0.0
SC_RS03195	Shielded	0.0	0.0
SC_RS03230	Shielded	0.0	0.0
SC_RS03240	Shielded	0.0	0.0
SC_RS03295	Shielded	0.0	0.0
SC_RS03330	Shielded	0.0	0.0
SC_RS03355	Shielded	0.0	0.0
SC_RS03365	Shielded	0.0	0.0
SC_RS03400	Shielded	0.0	0.0
SC_RS03410	Shielded	0.0	0.0
SC_RS03430	Shielded	0.0	0.0
SC_RS03450	Shielded	0.0	0.0
SC_RS03465	Shielded	0.0	0.0
SC_RS03495	Shielded	0.0	0.0
SC_RS03575	Shielded	0.0	0.0
SC_RS03600	Shielded	0.0	0.0
SC_RS03630	Shielded	0.0	0.0
SC_RS03635	Shielded	0.0	0.0
SC_RS03695	Shielded	0.0	0.0
SC_RS03710	Shielded	0.0	0.0
SC_RS03790	Shielded	0.0	0.0
SC_RS03945	Shielded	0.0	0.0
SC_RS03980	Shielded	0.0	0.0
SC_RS04015	Shielded	0.0	0.0
SC_RS04020	Shielded	0.0	0.0
SC_RS04050	Shielded	0.0	0.0
SC_RS04060	Shielded	0.0	0.0
SC_RS04075	Shielded	0.0	0.0
SC_RS04145	Shielded	0.0	0.0
SC_RS04195	Shielded	0.0	0.0
SC_RS04245	Shielded	0.0	0.0
SC_RS04345	Shielded	0.0	0.0
SC_RS04355	Shielded	0.0	0.0
SC_RS04460	Shielded	0.0	0.0
SC_RS04480	Shielded	0.0	0.0
SC_RS04515	Shielded	0.0	0.0
SC_RS04520	Shielded	0.0	0.0
SC_RS04530	Shielded	0.0	0.0
SC_RS04565	Shielded	0.0	0.0
SC_RS04670	Shielded	0.0	0.0
SC_RS04675	Shielded	0.0	0.0
SC_RS04705	Shielded	0.0	0.0
SC_RS04725	Shielded	0.0	0.0
SC_RS04795	Shielded	0.0	0.0
SC_RS04835	Shielded	0.0	0.0
SC_RS04865	Shielded	0.0	0.0
SC_RS04870	Shielded	0.0	0.0
SC_RS04920	Shielded	0.0	0.0
SC_RS04925	Shielded	0.0	0.0
SC_RS04950	Shielded	0.0	0.0
SC_RS04965	Shielded	0.0	0.0
SC_RS04975	Shielded	0.0	0.0
SC_RS05020	Shielded	0.0	0.0
SC_RS05030	Shielded	0.0	0.0
SC_RS05065	Shielded	0.0	0.0
SC_RS05120	Shielded	0.0	0.0
SC_RS05150	Shielded	0.0	0.0
SC_RS05265	Shielded	0.0	0.0
SC_RS05410	Shielded	0.0	0.0
SC_RS05445	Shielded	0.0	0.0
SC_RS05480	Shielded	2.0	0.0
SC_RS05490	Shielded	0.0	0.0
SC_RS05550	Shielded	0.0	0.0
SC_RS05570	Shielded	0.0	0.0
SC_RS05600	Shielded	2.0	0.0
SC_RS05655	Shielded	0.0	0.0
SC_RS05790	Shielded	0.0	0.0
SC_RS05835	Shielded	0.0	0.0
SC_RS05845	Shielded	0.0	0.0
SC_RS05900	Shielded	0.0	0.0
SC_RS05930	Shielded	0.0	0.0
SC_RS05945	Shielded	0.0	0.0
SC_RS05960	Shielded	0.0	0.0
SC_RS06040	Shielded	0.0	0.0
SC_RS06130	Shielded	0.0	0.0
SC_RS06215	Shielded	0.0	0.0
SC_RS06250	Shielded	2.0	0.0
SC_RS06260	Shielded	0.0	0.0
SC_RS06280	Shielded	0.0	0.0
SC_RS06285	Shielded	0.0	0.0
SC_RS06300	Shielded	0.0	0.0
SC_RS06345	Shielded	0.0	0.0
SC_RS06365	Shielded	0.0	0.0
SC_RS06370	Shielded	0.0	0.0
SC_RS06380	Shielded	0.0	0.0
SC_RS06395	Shielded	0.0	0.0
SC_RS06415	Shielded	0.0	0.0
SC_RS06435	Shielded	0.0	0.0
SC_RS06575	Shielded	0.0	0.0
SC_RS06585	Shielded	0.0	0.0
SC_RS06650	Shielded	0.0	0.0
SC_RS06660	Shielded	0.0	0.0
SC_RS06715	Shielded	0.0	0.0
SC_RS06810	Shielded	0.0	0.0
SC_RS06865	Shielded	0.0	0.0
SC_RS06885	Shielded	0.0	0.0
SC_RS06975	Shielded	0.0	0.0
SC_RS07005	Shielded	4.0	0.0
SC_RS07015	Shielded	0.0	0.0
SC_RS07085	Shielded	0.0	0.0
SC_RS07125	Shielded	0.0	0.0
SC_RS07150	Shielded	0.0	0.0
SC_RS07170	Shielded	0.0	0.0
SC_RS07255	Shielded	0.0	0.0
SC_RS07285	Shielded	0.0	3.4129692832764507
SC_RS07300	Shielded	0.0	0.0
SC_RS07310	Shielded	0.0	0.0
SC_RS07315	Shielded	0.0	0.0
SC_RS07340	Shielded	0.0	0.0
SC_RS07345	Shielded	0.0	0.0
SC_RS07425	Shielded	0.0	0.0
SC_RS07440	Shielded	0.0	0.0
SC_RS07470	Shielded	0.0	0.0
SC_RS07490	Shielded	0.0	0.0
SC_RS07505	Shielded	0.0	0.0
SC_RS07545	Shielded	0.0	0.0
SC_RS07560	Shielded	0.0	0.0
SC_RS07625	Shielded	0.0	0.0
SC_RS07630	Shielded	0.0	0.0
SC_RS07635	Shielded	0.0	0.0
SC_RS07675	Shielded	0.0	0.0
SC_RS07805	Shielded	0.0	0.0
SC_RS07840	Shielded	0.0	0.0
SC_RS07885	Shielded	0.0	3.4129692832764507
SC_RS07920	Shielded	0.0	0.0
SC_RS07955	Shielded	0.0	0.0
SC_RS07985	Shielded	0.0	0.0
SC_RS08005	Shielded	0.0	0.0
SC_RS08040	Shielded	0.0	0.0
SC_RS08055	Shielded	0.0	0.0
SC_RS08060	Shielded	0.0	0.0
SC_RS08165	Shielded	0.0	0.0
SC_RS08255	Shielded	0.0	0.0
SC_RS08260	Shielded	0.0	0.0
SC_RS08265	Shielded	0.0	0.0
SC_RS08270	Shielded	0.0	0.0
SC_RS08275	Shielded	0.0	0.0
SC_RS08340	Shielded	0.0	0.0
SC_RS08405	Shielded	0.0	0.0
SC_RS08435	Shielded	0.0	0.0
SC_RS08460	Shielded	0.0	0.0
SC_RS08510	Shielded	0.0	0.0
SC_RS08525	Shielded	0.0	0.0
SC_RS08590	Shielded	0.0	0.0
SC_RS08620	Shielded	2.0	0.0
SC_RS08625	Shielded	0.0	0.0
SC_RS08660	Shielded	0.0	0.0
SC_RS08720	Shielded	0.0	0.0
SC_RS08730	Shielded	0.0	0.0
SC_RS08755	Shielded	0.0	0.0
SC_RS08795	Shielded	0.0	0.0
SC_RS08810	Shielded	0.0	0.0
SC_RS08815	Shielded	0.0	0.0
SC_RS08845	Shielded	0.0	0.0
SC_RS08870	Shielded	0.0	0.0
SC_RS08880	Shielded	0.0	0.0
SC_RS09025	Shielded	0.0	0.0
SC_RS09060	Shielded	0.0	0.0
SC_RS09100	Shielded	0.0	0.0
SC_RS09125	Shielded	0.0	0.0
SC_RS09210	Shielded	2.0	0.0
SC_RS09265	Shielded	0.0	0.0
SC_RS09290	Shielded	0.0	0.0
SC_RS09415	Shielded	0.0	0.0
SC_RS09420	Shielded	0.0	0.0
SC_RS09425	Shielded	2.0	0.0
SC_RS09575	Shielded	0.0	0.0
SC_RS09690	Shielded	2.0	0.0
SC_RS09855	Shielded	0.0	0.0
SC_RS09895	Shielded	0.0	0.0
SC_RS09980	Shielded	0.0	0.0
SC_RS09995	Shielded	0.0	0.0
SC_RS10080	Shielded	0.0	0.0
SC_RS10090	Shielded	2.0	0.0
SC_RS10105	Shielded	0.0	0.0
SC_RS10160	Shielded	0.0	3.4129692832764507
SC_RS10190	Shielded	0.0	0.0
SC_RS10195	Shielded	0.0	0.0
SC_RS10220	Shielded	0.0	0.0
SC_RS10280	Shielded	0.0	0.0
SC_RS10300	Shielded	0.0	0.0
SC_RS10320	Shielded	0.0	0.0
SC_RS10405	Shielded	0.0	0.0
SC_RS10470	Shielded	0.0	0.0
SC_RS10500	Shielded	0.0	0.0
SC_RS10510	Shielded	0.0	0.0
SC_RS10525	Shielded	0.0	0.0
SC_RS10530	Shielded	0.0	0.0
SC_RS10575	Shielded	2.0	0.0
SC_RS10590	Shielded	0.0	0.0
SC_RS10600	Shielded	0.0	0.0
SC_RS10620	Shielded	0.0	0.0
SC_RS10625	Shielded	0.0	0.0
SC_RS10650	Shielded	0.0	0.0
SC_RS10690	Shielded	0.0	0.0
SC_RS10730	Shielded	0.0	0.0
SC_RS10735	Shielded	2.0	0.0
SC_RS10880	Shielded	0.0	0.0
SC_RS10900	Shielded	0.0	0.0
SC_RS10960	Shielded	0.0	0.0
SC_RS11030	Shielded	0.0	0.0
SC_RS11035	Shielded	0.0	0.0
SC_RS11090	Shielded	0.0	3.4129692832764507
SC_RS11225	Shielded	0.0	0.0
SC_RS11390	Shielded	0.0	0.0
SC_RS11410	Shielded	0.0	0.0
SC_RS11480	Shielded	0.0	0.0
SC_RS11550	Shielded	0.0	0.0
SC_RS11595	Shielded	2.0	0.0
SC_RS11615	Shielded	0.0	0.0
SC_RS11620	Shielded	0.0	0.0
SC_RS11665	Shielded	0.0	0.0
SC_RS11780	Shielded	0.0	0.0
SC_RS11810	Shielded	0.0	0.0
SC_RS11925	Shielded	0.0	0.0
SC_RS12005	Shielded	0.0	0.0
SC_RS12095	Shielded	0.0	0.0
SC_RS12270	Shielded	0.0	0.0
SC_RS12415	Shielded	0.0	0.0
SC_RS12540	Shielded	0.0	0.0
SC_RS12550	Shielded	0.0	0.0
SC_RS12555	Shielded	2.0	0.0
SC_RS12565	Shielded	0.0	0.0
SC_RS12645	Shielded	0.0	0.0
SC_RS12650	Shielded	0.0	0.0
SC_RS12675	Shielded	0.0	0.0
SC_RS12745	Shielded	0.0	0.0
SC_RS12755	Shielded	0.0	0.0
SC_RS12760	Shielded	0.0	3.4129692832764507
SC_RS12805	Shielded	0.0	0.0
SC_RS12865	Shielded	0.0	0.0
SC_RS12870	Shielded	0.0	0.0
SC_RS12950	Shielded	0.0	0.0
