bin	start	PC_M	FIRE_M	PC_L	FIRE_L	center	core	m_n_T1	m_fq_T1	m_n_T2	m_fq_T2	methyl_bin
0	0.0	0.880150769426607	0.141872727272727	0.924604899	0.224090909090909	2500.0	0	0.0	0.0	0.0	0.0	0
1	5000.0	0.801490718080293	0.167190909090909	0.90401479	0.256354545454545	7500.0	0	0.0	0.0	2.0	157.89	0
2	10000.0	0.743819606427586	0.190418181818182	0.893747283	0.296309090909091	12500.0	0	0.0	0.0	0.0	0.0	0
3	15000.0	0.615912299107948	0.2069	0.843131516	0.325818181818182	17500.0	0	0.0	0.0	2.0	175.64	0
4	20000.0	0.122025763570419	0.229936363636364	0.214705172	0.371063636363636	22500.0	0	0.0	0.0	1.0	93.77	0
5	25000.0	0.370441826339213	0.240936363636364	-0.003644144	0.398409090909091	27500.0	0	0.0	0.0	2.0	142.76999999999998	0
6	30000.0	0.154954959301048	0.240272727272727	0.097821258	0.406563636363636	32500.0	0	0.0	0.0	1.0	89.15	0
7	35000.0	0.269514427160394	0.246809090909091	0.117656273	0.403827272727273	37500.0	0	0.0	0.0	1.0	72.7	0
8	40000.0	0.281065244374133	0.254572727272727	-0.006431656	0.421990909090909	42500.0	0	0.0	0.0	1.0	91.98	0
9	45000.0	0.42355569743222	0.259154545454545	0.013301294	0.430609090909091	47500.0	0	0.0	0.0	1.0	79.32	0
10	50000.0	-0.0806357668436673	0.2595	-0.143613704	0.4399	52500.0	0	0.0	0.0	1.0	69.74	0
11	55000.0	-0.227705916983883	0.265318181818182	-0.220672397	0.448927272727273	57500.0	0	0.0	0.0	0.0	0.0	0
12	60000.0	-0.283565113408703	0.266990909090909	-0.407444759	0.466718181818182	62500.0	0	0.0	0.0	0.0	0.0	0
13	65000.0	-0.339361487355115	0.271836363636364	-0.381894895	0.469409090909091	67500.0	0	0.0	0.0	1.0	85.38	0
14	70000.0	-0.502170750972802	0.2842	-0.283711486	0.488718181818182	72500.0	0	0.0	0.0	1.0	95.0	0
15	75000.0	-0.488308928511467	0.2868	-0.278554372	0.486872727272727	77500.0	0	0.0	0.0	2.0	153.75	0
