metric	test	n_exp	n_shi	effect	med/frac_exp	med/frac_shi	p_raw	p_BH	sig_FDR0.05
baseline_expr_log10(baseMean)	MWU	59	958	Cliff_d=+0.036	2.202	2.089	6.46e-01	1.00e+00	no
signed_LFC_T2vsT1	MWU	59	960	Cliff_d=-0.193	-0.56	-0.12	1.28e-02	3.84e-02	YES
signed_LFC_T3vsT1	MWU	59	960	Cliff_d=-0.129	-0.65	-0.12	9.70e-02	2.08e-01	no
abs_LFC_T2vsT1(variability)	MWU	59	960	Cliff_d=-0.010	0.86	0.9	8.94e-01	1.00e+00	no
abs_LFC_T3vsT1(variability)	MWU	59	960	Cliff_d=+0.091	1.04	0.98	2.41e-01	4.52e-01	no
DEG_frac_T2(|LFC|>=1)	Fisher	62	989	OR=0.98	27/62	436/989	1.00e+00	1.00e+00	no
DEG_frac_T3(|LFC|>=1)	Fisher	62	989	OR=1.01	30/62	475/989	1.00e+00	1.00e+00	no
position_core	Fisher	62	989	OR=3.87	53/62	597/989	3.93e-05	2.95e-04	YES
dist_to_chrom_center(bp)	MWU	62	989	Cliff_d=-0.316	1273745.5	2334539.5	2.93e-05	2.95e-04	YES
family_MerR	Fisher	62	989	OR=4.71	6/62	22/989	4.47e-03	2.24e-02	YES
family_LysR	Fisher	62	989	OR=3.47	7/62	35/989	9.24e-03	3.47e-02	YES
family_LacI	Fisher	62	989	OR=2.80	5/62	30/989	5.00e-02	1.25e-01	no
family_TetR	Fisher	62	989	OR=0.82	9/62	169/989	7.28e-01	1.00e+00	no
family_Sigma	Fisher	62	989	OR=0.82	4/62	77/989	1.00e+00	1.00e+00	no
family_sensor_kinase	Fisher	62	989	OR=nan	0/62	0/989	1.00e+00	1.00e+00	no
