en_line	quote	manuscript_value	source_of_manuscript_value	canonical_value	canonical_source	status	note
42	83% of the 1,289 modified sites resided within the chromosomal core	1,289; 83% core	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21) (T1 identical to canonical)	1,289; 83.0% core (1,070/1,289)	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	canonical_ok	T1 set is identical in dedup and canonical tables.
42	at T2 this proportion reversed to 82% of 407 sites localised to the chromosomal arms	407 sites; 82% arm	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	1,595 sites; 34.0% arm / 66.0% core (1,052/1,595); permutation null core 63.1% [60.8–65.4], p≈0.016 (still core-enriched)	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/) core_arm_fraction_permutation.tsv	dedup_artifact	407 = GCCGGC 4mC sites first appearing at T2 (absent at T1); their core fraction 18.2% reproduces exactly.
42	By T3, only 21 sites remained modified, 62% of which were arm-localised	21 sites; 62% arm	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	1,073 sites; 31.3% arm / 68.7% core (737/1,073); permutation p≈0.0002 core-enriched	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	21 = sites first appearing at T3; core 38.1% reproduces.
42	The Jaccard similarity between the T1 and T2 sets of modified sites was 0.000	Jaccard 0.000	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21) (first-appearance sets are disjoint by construction)	Jaccard T1–T2 = 0.700 (1,188 shared of 1,696 union); T2–T3 0.632; T1–T3 0.591	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/) per_timepoint_census.tsv	dedup_artifact	Zero overlap is a construction property of a first-appearance table, not a biological measurement.
42	the T2 arm-localisation arises despite a near-uniform T2 coverage profile	T2 arm-localisation (premise)	78_reviewer_robustness C1 (coverage from T1 pileup; premise of T2 arm-localisation taken from 37_ dedup table)	canonical T2 is 66% core; no arm-localisation to explain	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	Coverage ratios 2.26/1.13/1.19 themselves are pileup-derived and not affected.
42	73% vs 4% within the 10–20× coverage band	73% vs 4%	78_reviewer_robustness/scripts/C1_copynumber_coverage_matched.py (T1 pileup 1-1_pileup.bed)	not recomputed (T1-only, pileup-based; independent of the per-timepoint site table)	—	not_recomputed	
42	AAGCCCG occupancy … T1: 27.4%; T2: 6.8%; T3: 3.7%	27.4/6.8/3.7%	88_occupancy_series_and_CE (canon)	canonical per-timepoint AAGCCCG 6mA site counts 418/451/443 (A0+A1) are NOT monotonic; the occupancy series comes from 88_ and was not re-derived here	per_timepoint_census.tsv	not_recomputed	Open question: 88_ reports declining occupancy while canonical HC 6mA site counts at AAGCCCG are flat (418→451→443); definitions differ (instance-level occupancy vs HC site count).
47	classified 243 of 855 GCCGGC sites (28.4%) and 47 of 147 AAGCCCG sites (32.0%) with sufficient coverage at all timepoints as dynamic	243/855; 47/147	70_methylation_dynamics/scripts/A5_methylation_dynamics.py on the canonical file; denominator = sites called high-confidence (≥50%, 3 reps) at ALL three timepoints, not 'sufficient coverage'	GCCGGC: 244/858 (28.4%) with 0-based motif mapping; AAGCCCG 6mA: 97/309 (31.4%)	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/) (recount in 90_ README)	canonical_ok	Rests on the canonical file. Two caveats: (i) denominator is HC-at-all-3-TPs, which excludes any site that drops below 50% at one timepoint — the text's 'sufficient coverage' wording does not describe it; (ii) A5 treats `position` as 1-based (pos0 = position−1) whereas the file is 0-based (ref[position] is the modified base for all 12,429 rows); GCCGGC is robust to this (tolerant window) but the AAGCCCG 6mA set shrinks from 309 to 147 sites (119 A0 + 27 A1 + 1 non-motif).
57	Jaccard = 0.000; Fisher's exact test for site independence p = 6.3 × 10⁻²⁶	Jaccard 0.000; p 6.3e-26	not located in any table under 11_epigenome_integration/analysis (grep 'e-26', 'Jaccard' in 45_/53_/73_/75_)	—	—	untraceable	Compares sequence-under-represented positions with unmethylated GCCGGC positions in the protection zone; if T1-only it is unaffected by the dedup issue, but no producing script/table was found.
62	is undefined in practice at T3, when only 21 GCCGGC 4mC sites remain genome-wide (nominal ratio 1.046; not interpreted)	21 sites; ratio 1.046	ratio: 64_timepoint_TSS/tables/C2_protection_zone_metrics.tsv (canonical file, ALL 4mC, −500..0 / −2000..−500); '21 sites' justification: dedup table	1,073 GCCGGC 4mC sites at T3; 64_ ratio 1.046 stands on its own data (1,647 all-4mC T3 sites) and is not undefined; GCCGGC-only −300..+50/−5000..−2000 ratio for regulatory genes: 0.743 / 0.709 / 0.684 (T1/T2/T3)	protection_zone_ratio_by_timepoint.tsv	dedup_artifact	The 'undefined' justification is a dedup artefact. Separate caveat: 64_ computes the ratio on all 4mC (GCCGGC+AAGCCCG-4mC) with upstream −500..0 vs −2000..−500 in 200-bp bins, whereas Methods L160 describes GCCGGC with a −5 kb..−2 kb background.
62	0.839 at T1 (protected), increased marginally to 0.844 at T2	0.839 / 0.844	64_timepoint_TSS C2 (canonical file)	0.839 / 0.844 reproduced by file; GCCGGC-only recompute 0.743/0.709 (pz −300..+50)	64_ C2 + protection_zone_ratio_by_timepoint.tsv	canonical_ok	All-4mC not GCCGGC-specific; see L62 note.
79	the number retaining a site fell from 62 at T1 to 0 at T2 (and 1 at T3)	62 → 0 → 1	52_shielded_exposed_boundary/scripts/Exposed_dynamicA_define_and_verify.py reading 37_ dedup table; SuppTable1 nearest_GCCGGC_T2/T3 columns reproduce it exactly	62 → 56 → 45 within 293 bp (58/47 within 1 kb)	exposed62_promoter_methylation_by_timepoint.tsv	dedup_artifact	
79	median nearest-site distance increasing from 172 bp to >50 kb	172 bp → >50 kb (57,884.5 bp)	same as above	median 172 → 181 → 184 bp	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
79	the T1 and T2 GCCGGC methylomes are non-overlapping (Jaccard = 0; R2)	Jaccard 0	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	Jaccard 0.700	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
79	at T2, essentially no regulatory promoter retains GCCGGC methylation	0 of 62	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	56 of 62 Exposed; 20 of 989 Shielded within 293 bp at T2	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
112	even as the absolute site number collapses (GCCGGC 4mC 1,289 → 407 → 21)	1,289 → 407 → 21	79_C4_region_by_timepoint (reads 23_ 4mC_final_census.csv)	1,289 → 1,595 → 1,073	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	Region-composition percentages in Supp Fig 14 not recomputed.
112	T3 strata are small, n = 15–38	n = 15–38	79_C4_region_by_timepoint	T3 has 1,073 GCCGGC / 574 AAGCCCG-4mC / 443 AAGCCCG-6mA canonical sites; strata not recomputed	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
160	only 21 GCCGGC 4mC sites remain genome-wide at that timepoint	21	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	1,073	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	Same as L62.
193	Jaccard similarity = 0.000 between the T1 and T2 core methylomes	0.000	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	0.700 (all sites); core-only shared 978 of T1-core 1,070	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
199	The abrupt, near-complete displacement to arm-localized loci at T2 (Jaccard similarity = 0.000 …)	0.000; displacement to arms	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	T2 core 66%; Jaccard 0.700	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	
199	concentration of GCCGGC methylation within the core region (83% of all modified sites)	83%	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21) (T1)	83.0%	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	canonical_ok	
201	near-simultaneous collapse of GCCGGC protection within the core and its redeployment to the arms	collapse/redeployment	07_motif_analysis/methylation_site_sequences.csv → 23_expanded_motif_search/01_expanded_motif_discovery.py drop_duplicates (L139) → 4mC_final_census.csv → 37_defense_island_GCCGGC/tables/GCCGGC_sites_by_timepoint.tsv (1,289/407/21)	core fraction 83% → 66% → 69%; site count 1,289 → 1,595 → 1,073	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/)	dedup_artifact	Directional shift toward arms is real but partial (core share −17 pp), not a collapse.
203	62% of T1 sites, versus 45% expected from compartment size; odds ratio = 1.96	62%; OR 1.96	76_FIRE_methylation_crossref (T1 from 37_ table = canonical T1)	61.5% (793/1,289) in 2.3–6.2 Mb; genomic GCCGGC expectation 42.4%; OR not recomputed	01_integration/high_confidence_sites_weighted.csv (90_ recompute; tables in 90_per_timepoint_census_audit/tables/) core_arm_fraction_permutation.tsv	canonical_ok	
203	Compartment-A occupancy falling from 62% at T1 to 4% at T2	62% → 4%	76_FIRE_methylation_crossref via 37_ dedup table (4.18% of 407)	62% → 47% → 51% (T1/T2/T3; 793/1,289, 746/1,595, 548/1,073)	core_arm_fraction_permutation.tsv	dedup_artifact	
