source	gene_set	n_tss	timepoint	n_sites_genomewide	pz_density_-300..+50	far_upstream_density_-5000..-2000	protection_ratio_pz/far	n_sites_in_pz	n_sites_in_far	ratio_64def_(-500..0)/(-2000..-500)
canonical	all_Jeong2016_TSS	3570	T1	1289	0.12725	0.16667	0.7635	159	1785	0.9375
canonical	all_Jeong2016_TSS	3570	T2	1595	0.14326	0.1887	0.7592	179	2021	0.9226
canonical	all_Jeong2016_TSS	3570	T3	1073	0.10724	0.13557	0.791	134	1452	1.0303
canonical	regulatory_n1051	1051	T1	1289	0.10058	0.13543	0.7427	37	427	0.84
canonical	regulatory_n1051	1051	T2	1595	0.12505	0.17634	0.7091	46	556	0.8356
canonical	regulatory_n1051	1051	T3	1073	0.08155	0.11925	0.6839	30	376	0.8615
canonical	Exposed62	62	T1	1289	1.65899	0.17204	9.6429	36	32	5.25
canonical	Exposed62	62	T2	1595	1.6129	0.17204	9.375	35	32	5.8333
canonical	Exposed62	62	T3	1073	1.19816	0.12903	9.2857	26	24	5.3077
canonical	Shielded989	989	T1	1289	0.00289	0.13313	0.0217	1	395	0.4098
canonical	Shielded989	989	T2	1595	0.03178	0.17661	0.1799	11	524	0.5143
canonical	Shielded989	989	T3	1073	0.01156	0.11864	0.0974	4	352	0.544
dedup_first_appearance	all_Jeong2016_TSS	3570	T1	1289	0.12725	0.16667	0.7635	159	1785	0.9375
dedup_first_appearance	all_Jeong2016_TSS	3570	T2	407	0.02401	0.03511	0.6839	30	376	0.9
dedup_first_appearance	all_Jeong2016_TSS	3570	T3	21	0.0016	0.00205	0.7792	2	22	1.2
dedup_first_appearance	regulatory_n1051	1051	T1	1289	0.10058	0.13543	0.7427	37	427	0.84
dedup_first_appearance	regulatory_n1051	1051	T2	407	0.02718	0.05265	0.5164	10	166	0.7416
dedup_first_appearance	regulatory_n1051	1051	T3	21	0.0	0.0019	0.0	0	6	3.0
dedup_first_appearance	Exposed62	62	T1	1289	1.65899	0.17204	9.6429	36	32	5.25
dedup_first_appearance	Exposed62	62	T2	407	0.0	0.01075	0.0	0	2	
dedup_first_appearance	Exposed62	62	T3	21	0.0	0.0		0	0	
dedup_first_appearance	Shielded989	989	T1	1289	0.00289	0.13313	0.0217	1	395	0.4098
dedup_first_appearance	Shielded989	989	T2	407	0.02889	0.05527	0.5226	10	164	0.7079
dedup_first_appearance	Shielded989	989	T3	21	0.0	0.00202	0.0	0	6	3.0
