threshold	stratum	n_both	n_A_only	n_C_only	n_neither	OR	CI_lo	CI_hi	p	note
0.5	pooled (79_ reproduction)	25125.0	22947.0	28094.0	124146.0	4.838372574792637	4.7326636429146465	4.946442624874234	0.0	
0.5	replicate 1-1	7581.0	6886.0	8437.0	36940.0	4.820236203539098	4.629854376971495	5.018446621879995	0.0	
0.5	replicate 1-2	6974.0	6456.0	7656.0	34327.0	4.843422406671509	4.644459623417985	5.050908504224144	0.0	
0.5	replicate 1-3	10570.0	9605.0	12001.0	52879.0	4.848902102163012	4.686802667120021	5.016607966302235	0.0	
0.5	Mantel-Haenszel by instance (k=1333 strata)					1.0664884874213003	1.0377843731426026	1.0959865298009093	3.375681446038392e-06	Breslow-Day homogeneity p=nan; instances with all margins>=5: 647; of which OR>1: 347 (53.6%)
0.5	cross-instance same-read null (reads>=2 inst: 44857; ordered pairs)	38277.0	34697.0	42055.0	178799.0	4.6902221599331515	4.606565932431084	4.77539760250834	0.0	
0.5	same-instance OR restricted to reads>=2 inst	16034.0	14699.0	17638.0	76799.0	4.749635874605757	4.619755760147906	4.8831674470642925	0.0	
0.75	pooled (79_ reproduction)	10108.0	16052.0	28856.0	145296.0	3.170688746464481	3.0834210690410684	3.260426293345339	0.0	
0.75	replicate 1-1	3010.0	4797.0	8737.0	43300.0	3.109727525375024	2.9549794230611885	3.272579567426265	0.0	
0.75	replicate 1-2	2816.0	4500.0	7855.0	40242.0	3.2059260768088267	3.04062801845655	3.380210255110411	0.0	
0.75	replicate 1-3	4282.0	6755.0	12264.0	61754.0	3.1919366341184783	3.057868726962482	3.331882558067914	0.0	
0.75	Mantel-Haenszel by instance (k=1333 strata)					1.0185189617202597	0.9868787752528508	1.0511735599115766	0.2534921261117632	Breslow-Day homogeneity p=nan; instances with all margins>=5: 642; of which OR>1: 311 (48.4%)
0.75	cross-instance same-read null (reads>=2 inst: 44857; ordered pairs)	15664.0	24011.0	43353.0	210800.0	3.1720781432453875	3.1011040055854155	3.244676647004507	0.0	
0.75	same-instance OR restricted to reads>=2 inst	6374.0	10314.0	18218.0	90264.0	3.061955039895274	2.9564907122399653	3.171181504993364	0.0	
0.9	pooled (79_ reproduction)	2927.0	8913.0	22691.0	165781.0	2.399274482509404	2.295998258926112	2.50719617057254	1.2241346038187672e-291	
0.9	replicate 1-1	865.0	2705.0	6929.0	49345.0	2.277306207749102	2.100996508833868	2.4684113191273687	9.389833652683992e-79	
0.9	replicate 1-2	846.0	2511.0	6166.0	45890.0	2.50748409883312	2.3093256104404425	2.7226461601929617	4.948677223302282e-93	
0.9	replicate 1-3	1216.0	3697.0	9596.0	70546.0	2.418055580141532	2.25861381317793	2.5887527803731585	1.772935544373434e-124	
0.9	Mantel-Haenszel by instance (k=1333 strata)					0.9650378748968003	0.9201072422320968	1.0121625580580016	0.14394012348744456	Breslow-Day homogeneity p=nan; instances with all margins>=5: 571; of which OR>1: 247 (43.3%)
0.9	cross-instance same-read null (reads>=2 inst: 44857; ordered pairs)	4691.0	13274.0	34336.0	241527.0	2.4858768296353535	2.3999970590894186	2.574829660192376	0.0	
0.9	same-instance OR restricted to reads>=2 inst	1819.0	5707.0	14337.0	103307.0	2.29665780381111	2.172473442602818	2.4279408734621812	1.326305238894491e-166	
